level,county,county_fips,ctv,municipality,MCD_FIPS,reporting_unit,rep_unit_2024,USSDEM24,PREDEM24,PREREP24,USSREP24,GOVDEM22,GOVREP22,USSDEM22,USSREP22,PREREP20,PREDEM20,GOVDEM18,GOVREP18,USSREP18,USSDEM18,USSREP16,USSDEM16,PREDEM16,PREREP16,GOVDEM14,GOVREP14,USSDEM12,GOVDEM12,GOVREP12,PREDEM12,PREREP12,USSREP12
reporting unit,ADAMS,55001,T,ADAMS,5500100300,TOWN OF ADAMS WARDS 1-3,ADAMS - TOWN OF ADAMS WARDS 1-3,286,264,479,471,246,352,243,367,465.9668246445498,263.6824644549763,233.62559241706165,356.73933649289097,316.6398104265403,283.73933649289097,326.7251184834123,244.6824644549763,207.6824644549763,377.7962085308057,233.62559241706165,258.5260663507109,335.90995260663504,239.781990521327,280.6824644549763,358.0379146919431,270.6255924170616,260.61137440758296
reporting unit,ADAMS,55001,T,BIG FLATS,5500107300,TOWN OF BIG FLATS WARDS 1 & 2,ADAMS - TOWN OF BIG FLATS WARDS 1-2,202,177,401,419,164,295,155,315,358,190,162,262,232,198,251,189,169,300,187,205,281,168,215,282,209,180
reporting unit,ADAMS,55001,T,COLBURN,5500116075,TOWN OF COLBURN WARD 1,ADAMS - TOWN OF COLBURN WARD 1,45,37,112,115,42,108,36,113,97,44,40,63,54,49,85,39,42,85,43,59,69,46,60,63,58,45
reporting unit,ADAMS,55001,T,DELL PRAIRIE,5500119575,TOWN OF DELL PRAIRIE WARDS 1 & 2,ADAMS - TOWN OF DELL PRAIRIE WARDS 1-3,405,379,601,568,331,460,308,500,630,358,333,270,369,395,441,339,301,474,310,359,406,277,387,429,411,408
reporting unit,ADAMS,55001,T,EASTON,5500122000,TOWN OF EASTON WARD 1,ADAMS - TOWN OF EASTON WARD 1,223,199,406,404,159,302,153,313,377,184,184,272,252,208,300,189,169,336,171,209,254,175,204,270,237,234
reporting unit,ADAMS,55001,T,JACKSON,5500137625,TOWN OF JACKSON WARDS 1 & 2,ADAMS - TOWN OF JACKSON WARDS 1-2,297,277,468,446,254,346,241,362,406,262,235,274,276,248,294,247,225,314,214,241,297,202,263,310,253,259
reporting unit,ADAMS,55001,T,LEOLA,5500143425,TOWN OF LEOLA WARD 1,ADAMS - TOWN OF LEOLA WARD 1,37,34,140,130,33,109,36,107,132,35,19,113,102,28,101,32,18,116,33,88,51,19,98,50,102,96
reporting unit,ADAMS,55001,T,LINCOLN,5500144250,TOWN OF LINCOLN WARD 1,ADAMS - TOWN OF LINCOLN WARD 1,70,67,131,126,58,108,53,116,140,71,74,79,69,86,98,70,76,98,72,69,82,64,69,84,80,69
reporting unit,ADAMS,55001,T,MONROE,5500153725,TOWN OF MONROE WARD 1,ADAMS - TOWN OF MONROE WARD 1,127,120,190,195,101,142,93,150,173,122,88,145,124,110,119,102,102,129,101,114,145,101,132,135,126,110
reporting unit,ADAMS,55001,T,NEW CHESTER,5500156525,TOWN OF NEW CHESTER WARDS 1-3,ADAMS - TOWN OF NEW CHESTER WARDS 1-3,192,166,332,325,159,237,143,259,351,174,152,209,179,184,202,172,138,247,147,153,231,160,168,266,160,175
reporting unit,ADAMS,55001,T,NEW HAVEN,5500156750,TOWN OF NEW HAVEN WARD 1,ADAMS - TOWN OF NEW HAVEN WARD 1,169,150,246,236,124,181,118,195,243,168,158,158,152,173,156,170,145,176,145,143,195,158,154,207,152,166
reporting unit,ADAMS,55001,T,PRESTON,5500165450,TOWN OF PRESTON WARDS 1 & 2,ADAMS - TOWN OF PRESTON WARDS 1-2,314,285,554,523,254,379,234,408,494,291,279,364,344,318,372,286,270,397,263,261,393,272,282,393,286,270
reporting unit,ADAMS,55001,T,QUINCY,5500165825,TOWN OF QUINCY WARDS 1 & 2,ADAMS - TOWN OF QUINCY WARDS 1-2,349,325,479,455,263,360,260,376,438,309,277,325,298,313,319,288,269,357,245,256,394,242,257,497,253,236
reporting unit,ADAMS,55001,T,RICHFIELD,5500167425,TOWN OF RICHFIELD WARD 1,ADAMS - TOWN OF RICHFIELD WARD 1,29,27,62,65,22,64,20,68,75,27,23,61,46,36,46,29,27,56,27,41,41,25,53,44,42,39
reporting unit,ADAMS,55001,T,ROME,5500169275,TOWN OF ROME WARDS 1-4,ADAMS - TOWN OF ROME WARDS 1-4,967,924,1521,1501,828,1264,777,1333,1390,849,766,1104,1009,887,1120,755,715,1169,716,929,842,655,966,826,1025,911
reporting unit,ADAMS,55001,T,SPRINGVILLE,5500176350,TOWN OF SPRINGVILLE WARDS 1 & 2,ADAMS - TOWN OF SPRINGVILLE WARDS 1-2,301,287,513,485,233,344,217,369,508,269,219,341,326,246,390,251,211,414,196,293,322,196,267,313,284,281
reporting unit,ADAMS,55001,T,STRONGS PRAIRIE,5500177800,TOWN OF STRONGS PRAIRIE,ADAMS - TOWN OF STRONGS PRAIRIE WARDS 1-3,306,284,472,472,231,355,225,367,438,269,235,312,271,283,342,231,213,376,231,272,216,227,249,329,279,247
reporting unit,ADAMS,55001,V,FRIENDSHIP,5500127950,VILLAGE OF FRIENDSHIP WARD 1,ADAMS - VILLAGE OF FRIENDSHIP WARD 1,128,120,162,158,97,118,85,131,173,113,113,138,121,131,129,123,117,154,122,92,164,118,106,185,109,116
reporting unit,ADAMS,55001,C,ADAMS,5500100275,CITY OF ADAMS WARDS 1-5,ADAMS - CITY OF ADAMS WARDS 1-5,348,312,481,445,255,320,243,339,457.0331753554502,321.3175355450237,293.3744075829384,355.26066350710903,304.3601895734597,352.26066350710903,342.2748815165877,328.3175355450237,324.3175355450237,376.2037914691943,297.3744075829384,251.4739336492891,437.0900473933649,307.21800947867297,278.3175355450237,495.9620853080569,297.3744075829384,291.38862559241704
reporting unit,ASHLAND,55003,T,AGENDA,5500300550,TOWN OF AGENDA,ASHLAND - TOWN OF AGENDA WARD 1,81,70,206,187,60,153,55,155,191,65,66,133,105,91,139,75,68,151,77,117,103,77,137,101,136,128
reporting unit,ASHLAND,55003,T,ASHLAND,5500303250,TOWN OF ASHLAND,ASHLAND - TOWN OF ASHLAND WARD 1,143,137,208,189,142,140,126,152,159,152,152,91,89,153,141,156,144,147,171,89,218,160,87,211,105,204
reporting unit,ASHLAND,55003,T,CHIPPEWA,5500314550,TOWN OF CHIPPEWA,ASHLAND - TOWN OF CHIPPEWA WARD 1,87,78,171,159,57,125,53,129,147,75,67,107,92,85,118,83,72,128,67,96,111,65,107,105,111,107
reporting unit,ASHLAND,55003,T,GINGLES,5500329250,TOWN OF GINGLES W 1-2,ASHLAND - TOWN OF GINGLES WARDS 1-2,237,223,268,248,211,191,208,196,254,239,248,144,143,255,219,250,233,222,250,138,269,236,138,276,143,148
reporting unit,ASHLAND,55003,T,GORDON,5500329875,TOWN OF GORDON,ASHLAND - TOWN OF GORDON WARD 1,72,66,129,114,57,104,56,110,113,67,53,81,80,61,91,54,49,94,57,68,100,77,79,100,82,76
reporting unit,ASHLAND,55003,T,JACOBS,5500337775,TOWN OF JACOBS W 1-2,ASHLAND - TOWN OF JACOBS WARDS 1-2,126,114,281,253,91,202,95,202,249,116,110,165,157,120,188,132,120,204,140,132,203,150,173,216,156,160
reporting unit,ASHLAND,55003,T,LA POINTE,5500342562,TOWN OF LA POINTE,ASHLAND - TOWN OF LA POINTE WARD 1,251,246,62,56,225,48,224,52,52,236,192,54,40,211,50,190,159,53,178,52,209,187,61,209,51,52
reporting unit,ASHLAND,55003,T,MARENGO,5500349200,TOWN OF MARENGO,ASHLAND - TOWN OF MARENGO WARD 1,99,93,153,148,88,93,86,97,113,110,113,90,88,117,93,113,92,101,115,74,132,110,62,125,82,78
reporting unit,ASHLAND,55003,T,MORSE,5500354400,TOWN OF MORSE W 1-2,ASHLAND - TOWN OF MORSE WARDS 1-2,149,136,190,181,117,138,113,150,175,158,134,113,106,147,145,139,150,138,140,106,179,145,113,183,121,125
reporting unit,ASHLAND,55003,T,PEEKSVILLE,5500361600,TOWN OF PEEKSVILLE,ASHLAND - TOWN OF PEEKSVILLE WARD 1,41,34,75,63,21,65,21,66,64,34,30,43,41,33,49,40,33,52,38,44,48,44,52,50,54,53
reporting unit,ASHLAND,55003,T,SANBORN,5500371350,TOWN OF SANBORN W 1-2,ASHLAND - TOWN OF SANBORN WARDS 1-2,438,427,97,80,330,57,319,75,85,442,371,66,58,390,76,395,398,72,352,50,475,389,48,503,68,79
