rep_unit_2024,pop_per_sq_mi,pop,pop_hisp,pop_white,pop_black,pop_asian,pop_aian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_asian,vap_aian,vap_nhpi,vap_other,vap_two
ADAMS - CITY OF ADAMS WARDS 1-5,599.0224129244841,1761,75,1591,32,5,49,1,8,0,1394,51,1287,17,4,28,1,6,0
"ADAMS - CITY OF WISCONSIN DELLS WARDS 5,9",60.85771617111502,105,43,34,25,2,1,0,0,0,97,43,28,25,0,1,0,0,0
ADAMS - TOWN OF ADAMS WARDS 1-3,28.61165927216744,1433,66,1312,10,8,18,1,15,3,1202,42,1121,6,4,18,1,9,1
ADAMS - TOWN OF BIG FLATS WARDS 1-2,19.79397768881855,948,26,885,10,1,11,1,10,4,816,19,774,5,0,5,0,10,3
ADAMS - TOWN OF COLBURN WARD 1,5.994418012230875,215,11,197,0,0,0,1,2,4,195,6,185,0,0,0,1,2,1
ADAMS - TOWN OF DELL PRAIRIE WARDS 1-3,51.81112898637438,1631,77,1440,25,17,39,0,29,4,1324,46,1184,19,9,37,0,25,4
ADAMS - TOWN OF EASTON WARD 1,29.479956147268016,1062,41,967,17,11,13,1,10,2,890,29,832,4,8,8,1,6,2
ADAMS - TOWN OF JACKSON WARDS 1-2,32.92899192270509,1141,36,1053,9,5,22,0,9,7,972,25,902,6,5,22,0,7,5
ADAMS - TOWN OF LEOLA WARD 1,7.700877483669468,287,3,272,1,1,1,0,7,2,228,1,216,0,1,1,0,7,2
ADAMS - TOWN OF LINCOLN WARD 1,8.877428077065098,320,8,302,3,2,2,2,1,0,263,6,247,3,2,2,2,1,0
ADAMS - TOWN OF MONROE WARD 1,17.87887160394251,391,8,373,3,0,0,1,6,0,361,4,349,1,0,0,1,6,0
ADAMS - TOWN OF NEW CHESTER WARDS 1-3,63.022549954122105,1960,172,1178,469,18,108,1,10,4,1811,148,1072,459,18,102,1,8,3
ADAMS - TOWN OF NEW HAVEN WARD 1,23.344051963710413,680,21,627,1,2,14,0,14,1,537,15,493,0,2,14,0,12,1
ADAMS - TOWN OF PRESTON WARDS 1-2,38.97834189987462,1377,43,1276,13,2,22,2,13,6,1134,22,1069,8,2,17,2,11,3
ADAMS - TOWN OF QUINCY WARDS 1-2,35.60165539937118,1159,20,1097,5,8,14,1,12,2,1026,14,984,1,7,14,1,3,2
ADAMS - TOWN OF RICHFIELD WARD 1,3.8828899992753367,138,5,127,0,0,2,0,4,0,125,2,117,0,0,2,0,4,0
ADAMS - TOWN OF ROME WARDS 1-4,55.889938066480845,3025,51,2873,16,14,40,1,29,1,2726,32,2606,8,12,40,1,27,0
ADAMS - TOWN OF SPRINGVILLE WARDS 1-2,29.33377584122534,1283,54,1156,24,4,15,1,28,1,1086,32,1000,11,4,15,1,22,1
ADAMS - TOWN OF STRONGS PRAIRIE WARDS 1-3,24.221729013678544,1145,15,1077,20,1,10,1,18,3,968,6,927,8,1,10,0,13,3
ADAMS - VILLAGE OF FRIENDSHIP WARD 1,659.3794698213491,593,22,535,10,12,6,0,6,2,489,10,450,8,11,6,0,2,2
ASHLAND - CITY OF ASHLAND WARDS 1-21,593.0697003583979,7895,223,6281,108,105,1060,12,69,37,6447,139,5328,77,82,731,8,58,24
ASHLAND - CITY OF MELLEN WARD 1,377.26595508553737,698,5,653,1,6,30,0,0,3,555,3,524,1,5,20,0,0,2
ASHLAND - TOWN OF AGENDA WARD 1,4.176839920205899,370,1,352,1,0,11,0,4,1,318,1,307,0,0,6,0,3,1
ASHLAND - TOWN OF ASHLAND WARD 1,14.316845527497494,589,11,540,2,6,25,0,5,0,440,7,399,1,4,24,0,5,0
ASHLAND - TOWN OF CHIPPEWA WARD 1,2.809490277072004,349,6,327,2,3,6,0,4,1,292,5,278,1,0,4,0,3,1
ASHLAND - TOWN OF GINGLES WARDS 1-2,19.03988866427889,738,17,617,6,7,77,1,6,7,596,7,522,0,4,53,1,6,3
ASHLAND - TOWN OF GORDON WARD 1,2.499977291208553,261,0,256,0,0,3,0,2,0,244,0,241,0,0,1,0,2,0
ASHLAND - TOWN OF JACOBS WARDS 1-2,12.737718617545294,646,10,606,4,5,15,0,4,2,517,5,494,3,1,9,0,3,2
ASHLAND - TOWN OF LA POINTE WARD 1,4.978937363071957,386,7,337,21,1,14,0,3,3,333,6,299,14,0,9,0,3,2
