contest,candidate,votes,reporting_unit,county,ctv,municipality
PRESIDENT / VICE PRESIDENT,DEMHARRIS/ WALZ,264,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
PRESIDENT / VICE PRESIDENT,REPTRUMP/ VANCE,479,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
PRESIDENT / VICE PRESIDENT,CONTERRY/ BRODEN,1,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
PRESIDENT / VICE PRESIDENT,LIBOLIVER/ TER MAAT,3,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
PRESIDENT / VICE PRESIDENT,WGRSTEIN/ WARE,15,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
PRESIDENT / VICE PRESIDENT,INDDE LA CRUZ/ GARCIA,2,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
PRESIDENT / VICE PRESIDENT,"INDKENNEDY,JR. / SHANAHAN",25,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
PRESIDENT / VICE PRESIDENT,WRITE-INTOTALS,4,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
PRESIDENT / VICE PRESIDENT,CONTESTTOTALS,800,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
UNITED STATES SENATOR,DEMTAMMYBALDWIN,286,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
UNITED STATES SENATOR,REPERICHOVDE,471,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
UNITED STATES SENATOR,INDPHIL ANDERSON,12,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
UNITED STATES SENATOR,INDTHOMASLEAGER,20,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
UNITED STATES SENATOR,WRITE-INTOTALS,2,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
UNITED STATES SENATOR,CONTESTTOTALS,800,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
REPRESENTATIVE IN CONGRESS DIST 3,DEMREBECCACOOKE,301,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
REPRESENTATIVE IN CONGRESS DIST 3,REPDERRICKVANORDEN,487,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
REPRESENTATIVE IN CONGRESS DIST 3,PRECINCTSUMMARY-11/05/2024 10:57PM PAGE1 OF,57,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
STATE SENATOR DIST 24,DEMCOLLINMCNAMARA,262,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
STATE SENATOR DIST 24,REPPATRICKTESTIN,517,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
STATE SENATOR DIST 24,WRITE-INTOTALS,0,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
STATE SENATOR DIST 24,CONTESTTOTALS,800,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
REPRESENTATIVEASSEMBLY DIST 72,DEMSUZANNEM. CAMPBELL,267,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
REPRESENTATIVEASSEMBLY DIST 72,REPSCOTTKRUG,512,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
REPRESENTATIVEASSEMBLY DIST 72,WRITE-INTOTALS,0,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
REPRESENTATIVEASSEMBLY DIST 72,CONTESTTOTALS,800,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
ADAMS CO. DISTRICTATTORNEY,INDREBECCAL. MAKI-WALLANDER,623,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
ADAMS CO. DISTRICTATTORNEY,WRITE-INTOTALS,9,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
ADAMS CO. DISTRICTATTORNEY,CONTESTTOTALS,800,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
ADAMS CO. CLERK,REPLIANASPARBYGLAVIN,681,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
ADAMS CO. CLERK,WRITE-INTOTALS,16,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
ADAMS CO. CLERK,CONTESTTOTALS,800,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
ADAMS CO. TREASURER,REPKARADOLEZAL,347,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
ADAMS CO. TREASURER,INDKIM MEINHARDT,421,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
ADAMS CO. TREASURER,WRITE-INTOTALS,0,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
ADAMS CO. TREASURER,CONTESTTOTALS,800,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
ADAMS CO. TREASURER,PRECINCTSUMMARY-11/05/202410:57PM PAGE2 OF,57,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
ADAMS CO. REGISTEROF DEEDS,REPJULIE SCHNOLIS,683,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
ADAMS CO. REGISTEROF DEEDS,WRITE-INTOTALS,13,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
ADAMS CO. REGISTEROF DEEDS,CONTESTTOTALS,800,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
STATE REFERENDUM,YES,620,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
STATE REFERENDUM,NO,155,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
STATE REFERENDUM,CONTESTTOTALS,800,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
STATE REFERENDUM,PRECINCTSUMMARY-11/05/202410:57PM PAGE3 OF,57,TOWN OF ADAMS WARDS 1-3,ADAMS,T,ADAMS
PRESIDENT / VICE PRESIDENT,DEMHARRIS/ WALZ,177,TOWN OF BIG FLATS WARDS 1 & 2,ADAMS,T,BIG FLATS
PRESIDENT / VICE PRESIDENT,REPTRUMP/ VANCE,401,TOWN OF BIG FLATS WARDS 1 & 2,ADAMS,T,BIG FLATS
PRESIDENT / VICE PRESIDENT,CONTERRY/ BRODEN,1,TOWN OF BIG FLATS WARDS 1 & 2,ADAMS,T,BIG FLATS
PRESIDENT / VICE PRESIDENT,LIBOLIVER/ TER MAAT,5,TOWN OF BIG FLATS WARDS 1 & 2,ADAMS,T,BIG FLATS
PRESIDENT / VICE PRESIDENT,WGRSTEIN/ WARE,15,TOWN OF BIG FLATS WARDS 1 & 2,ADAMS,T,BIG FLATS
PRESIDENT / VICE PRESIDENT,INDDELA CRUZ/ GARCIA,4,TOWN OF BIG FLATS WARDS 1 & 2,ADAMS,T,BIG FLATS
PRESIDENT / VICE PRESIDENT,INDWEST/ ABDULLAH,7,TOWN OF BIG FLATS WARDS 1 & 2,ADAMS,T,BIG FLATS
PRESIDENT / VICE PRESIDENT,JR. / SHANAHAN,41,TOWN OF BIG FLATS WARDS 1 & 2,ADAMS,T,BIG FLATS
PRESIDENT / VICE PRESIDENT,WRITE-INTOTALS,0,TOWN OF BIG FLATS WARDS 1 & 2,ADAMS,T,BIG FLATS
PRESIDENT / VICE PRESIDENT,CONTESTTOTALS,657,TOWN OF BIG FLATS WARDS 1 & 2,ADAMS,T,BIG FLATS
UNITED STATES SENATOR,DEMTAMMYBALDWIN,202,TOWN OF BIG FLATS WARDS 1 & 2,ADAMS,T,BIG FLATS
UNITED STATES SENATOR,REPERICHOVDE,419,TOWN OF BIG FLATS WARDS 1 & 2,ADAMS,T,BIG FLATS
UNITED STATES SENATOR,INDPHILANDERSON,12,TOWN OF BIG FLATS WARDS 1 & 2,ADAMS,T,BIG FLATS
UNITED STATES SENATOR,INDTHOMASLEAGER,13,TOWN OF BIG FLATS WARDS 1 & 2,ADAMS,T,BIG FLATS
UNITED STATES SENATOR,WRITE-INTOTALS,0,TOWN OF BIG FLATS WARDS 1 & 2,ADAMS,T,BIG FLATS
UNITED STATES SENATOR,CONTESTTOTALS,657,TOWN OF BIG FLATS WARDS 1 & 2,ADAMS,T,BIG FLATS
REPRESENTATIVE IN CONGRESS DIST 3,DEMREBECCACOOKE,218,TOWN OF BIG FLATS WARDS 1 & 2,ADAMS,T,BIG FLATS
REPRESENTATIVE IN CONGRESS DIST 3,REPDERRICKVANORDEN,419,TOWN OF BIG FLATS WARDS 1 & 2,ADAMS,T,BIG FLATS
REPRESENTATIVE IN CONGRESS DIST 3,CONTESTTOTALS,657,TOWN OF BIG FLATS WARDS 1 & 2,ADAMS,T,BIG FLATS
REPRESENTATIVE IN CONGRESS DIST 3,PRECINCTSUMMARY- 11/05/202410:57PM PAGE4 OF,57,TOWN OF BIG FLATS WARDS 1 & 2,ADAMS,T,BIG FLATS
STATE SENATOR DIST 24,DEMCOLLINMCNAMARA,184,TOWN OF BIG FLATS WARDS 1 & 2,ADAMS,T,BIG FLATS
