reporting_unit,contest,candidate,votes,county,ctv,municipality
TOWN OF AGENDA,NA_PRESIDENT VICE PRESIDENT,HARRIS WALZ,70,ASHLAND,T,AGENDA
TOWN OF AGENDA,NA_PRESIDENT VICE PRESIDENT,TRUMP VANCE,206,ASHLAND,T,AGENDA
TOWN OF AGENDA,NA_PRESIDENT VICE PRESIDENT,TERRY BRODEN,0,ASHLAND,T,AGENDA
TOWN OF AGENDA,NA_PRESIDENT VICE PRESIDENT,OLIVER MAAT,0,ASHLAND,T,AGENDA
TOWN OF AGENDA,NA_PRESIDENT VICE PRESIDENT,STEIN WARE,0,ASHLAND,T,AGENDA
TOWN OF AGENDA,NA_PRESIDENT VICE PRESIDENT,DE LA CRUZ GARCIA,0,ASHLAND,T,AGENDA
TOWN OF AGENDA,NA_PRESIDENT VICE PRESIDENT,WEST ABDULLAH,0,ASHLAND,T,AGENDA
TOWN OF AGENDA,NA_PRESIDENT VICE PRESIDENT,KENNEDY JR. SHANAHAN,1,ASHLAND,T,AGENDA
TOWN OF AGENDA,NA_PRESIDENT VICE PRESIDENT,SONSKI/ONAK (REG WRITE IN),0,ASHLAND,T,AGENDA
TOWN OF AGENDA,NA_PRESIDENT VICE PRESIDENT,FOX (REG WRITE IN),0,ASHLAND,T,AGENDA
TOWN OF AGENDA,NA_PRESIDENT VICE PRESIDENT,KIENITZ (REG WRITE IN),0,ASHLAND,T,AGENDA
TOWN OF AGENDA,NA_PRESIDENT VICE PRESIDENT,JENKINS/LALONDE (REG WRITE IN),0,ASHLAND,T,AGENDA
TOWN OF AGENDA,NA_PRESIDENT VICE PRESIDENT,POTUS/KENNEDY (REG WRITE IN),0,ASHLAND,T,AGENDA
TOWN OF AGENDA,NA_PRESIDENT VICE PRESIDENT,"MCNEIL, SR. (REG WRITE IN)",0,ASHLAND,T,AGENDA
TOWN OF AGENDA,NA_PRESIDENT VICE PRESIDENT,SCATTERING,0,ASHLAND,T,AGENDA
TOWN OF ASHLAND,NA_PRESIDENT VICE PRESIDENT,HARRIS WALZ,137,ASHLAND,T,ASHLAND
TOWN OF ASHLAND,NA_PRESIDENT VICE PRESIDENT,TRUMP VANCE,208,ASHLAND,T,ASHLAND
TOWN OF ASHLAND,NA_PRESIDENT VICE PRESIDENT,TERRY BRODEN,0,ASHLAND,T,ASHLAND
TOWN OF ASHLAND,NA_PRESIDENT VICE PRESIDENT,OLIVER MAAT,0,ASHLAND,T,ASHLAND
TOWN OF ASHLAND,NA_PRESIDENT VICE PRESIDENT,STEIN WARE,1,ASHLAND,T,ASHLAND
TOWN OF ASHLAND,NA_PRESIDENT VICE PRESIDENT,DE LA CRUZ GARCIA,0,ASHLAND,T,ASHLAND
TOWN OF ASHLAND,NA_PRESIDENT VICE PRESIDENT,WEST ABDULLAH,3,ASHLAND,T,ASHLAND
TOWN OF ASHLAND,NA_PRESIDENT VICE PRESIDENT,KENNEDY JR. SHANAHAN,0,ASHLAND,T,ASHLAND
TOWN OF ASHLAND,NA_PRESIDENT VICE PRESIDENT,SONSKI/ONAK (REG WRITE IN),0,ASHLAND,T,ASHLAND
TOWN OF ASHLAND,NA_PRESIDENT VICE PRESIDENT,FOX (REG WRITE IN),0,ASHLAND,T,ASHLAND
TOWN OF ASHLAND,NA_PRESIDENT VICE PRESIDENT,KIENITZ (REG WRITE IN),0,ASHLAND,T,ASHLAND
TOWN OF ASHLAND,NA_PRESIDENT VICE PRESIDENT,JENKINS/LALONDE (REG WRITE IN),0,ASHLAND,T,ASHLAND
TOWN OF ASHLAND,NA_PRESIDENT VICE PRESIDENT,POTUS/KENNEDY (REG WRITE IN),0,ASHLAND,T,ASHLAND
TOWN OF ASHLAND,NA_PRESIDENT VICE PRESIDENT,"MCNEIL, SR. (REG WRITE IN)",0,ASHLAND,T,ASHLAND
TOWN OF ASHLAND,NA_PRESIDENT VICE PRESIDENT,SCATTERING,0,ASHLAND,T,ASHLAND
TOWN OF CHIPPEWA,NA_PRESIDENT VICE PRESIDENT,HARRIS WALZ,78,ASHLAND,T,CHIPPEWA
TOWN OF CHIPPEWA,NA_PRESIDENT VICE PRESIDENT,TRUMP VANCE,171,ASHLAND,T,CHIPPEWA
TOWN OF CHIPPEWA,NA_PRESIDENT VICE PRESIDENT,TERRY BRODEN,1,ASHLAND,T,CHIPPEWA
TOWN OF CHIPPEWA,NA_PRESIDENT VICE PRESIDENT,OLIVER MAAT,0,ASHLAND,T,CHIPPEWA
TOWN OF CHIPPEWA,NA_PRESIDENT VICE PRESIDENT,STEIN WARE,0,ASHLAND,T,CHIPPEWA
TOWN OF CHIPPEWA,NA_PRESIDENT VICE PRESIDENT,DE LA CRUZ GARCIA,0,ASHLAND,T,CHIPPEWA
TOWN OF CHIPPEWA,NA_PRESIDENT VICE PRESIDENT,WEST ABDULLAH,1,ASHLAND,T,CHIPPEWA
TOWN OF CHIPPEWA,NA_PRESIDENT VICE PRESIDENT,KENNEDY JR. SHANAHAN,6,ASHLAND,T,CHIPPEWA
TOWN OF CHIPPEWA,NA_PRESIDENT VICE PRESIDENT,SONSKI/ONAK (REG WRITE IN),0,ASHLAND,T,CHIPPEWA
TOWN OF CHIPPEWA,NA_PRESIDENT VICE PRESIDENT,FOX (REG WRITE IN),0,ASHLAND,T,CHIPPEWA
TOWN OF CHIPPEWA,NA_PRESIDENT VICE PRESIDENT,KIENITZ (REG WRITE IN),0,ASHLAND,T,CHIPPEWA
TOWN OF CHIPPEWA,NA_PRESIDENT VICE PRESIDENT,JENKINS/LALONDE (REG WRITE IN),0,ASHLAND,T,CHIPPEWA
TOWN OF CHIPPEWA,NA_PRESIDENT VICE PRESIDENT,POTUS/KENNEDY (REG WRITE IN),0,ASHLAND,T,CHIPPEWA
TOWN OF CHIPPEWA,NA_PRESIDENT VICE PRESIDENT,"MCNEIL, SR. (REG WRITE IN)",0,ASHLAND,T,CHIPPEWA
TOWN OF CHIPPEWA,NA_PRESIDENT VICE PRESIDENT,SCATTERING,1,ASHLAND,T,CHIPPEWA
TOWN OF GINGLES W 1-2,NA_PRESIDENT VICE PRESIDENT,HARRIS WALZ,223,ASHLAND,T,GINGLES 
TOWN OF GINGLES W 1-2,NA_PRESIDENT VICE PRESIDENT,TRUMP VANCE,268,ASHLAND,T,GINGLES 
TOWN OF GINGLES W 1-2,NA_PRESIDENT VICE PRESIDENT,TERRY BRODEN,1,ASHLAND,T,GINGLES 
TOWN OF GINGLES W 1-2,NA_PRESIDENT VICE PRESIDENT,OLIVER MAAT,0,ASHLAND,T,GINGLES 
