contest,candidate,reporting_unit,votes,county,ctv,municipality
US SENATE,TAMMY BALDWIN,CITY OF BARRON WARDS 1-7,640,BARRON,C,BARRON
US SENATE,TAMMY BALDWIN,CITY OF CHETEK WARDS 1-4,429,BARRON,C,CHETEK
US SENATE,TAMMY BALDWIN,CITY OF CUMBERLAND WARDS 1-5,528,BARRON,C,CUMBERLAND
US SENATE,TAMMY BALDWIN,CITY OF RICE LAKE WARDS 1-20,1952,BARRON,C,RICE LAKE
US SENATE,TAMMY BALDWIN,TOWN OF ALMENA WARDS 1-2,183,BARRON,T,ALMENA
US SENATE,TAMMY BALDWIN,TOWN OF ARLAND WARD 1,132,BARRON,T,ARLAND
US SENATE,TAMMY BALDWIN,TOWN OF BARRON WARDS 1-2,119,BARRON,T,BARRON
US SENATE,TAMMY BALDWIN,TOWN OF BEAR LAKE WARD 1,185,BARRON,T,BEAR LAKE
US SENATE,TAMMY BALDWIN,TOWN OF CEDAR LAKE WARDS 1-2,257,BARRON,T,CEDAR LAKE
US SENATE,TAMMY BALDWIN,TOWN OF CHETEK WARDS 1-3,459,BARRON,T,CHETEK
US SENATE,TAMMY BALDWIN,TOWN OF CLINTON WARD 1,121,BARRON,T,CLINTON
US SENATE,TAMMY BALDWIN,TOWN OF CRYSTAL LAKE WARD 1,154,BARRON,T,CRYSTAL LAKE
US SENATE,TAMMY BALDWIN,TOWN OF CUMBERLAND WARD 1,192,BARRON,T,CUMBERLAND
US SENATE,TAMMY BALDWIN,TOWN OF DALLAS WARDS 1-2,85,BARRON,T,DALLAS
US SENATE,TAMMY BALDWIN,TOWN OF DOVRE WARD 1,148,BARRON,T,DOVRE
US SENATE,TAMMY BALDWIN,TOWN OF DOYLE WARDS 1-2,100,BARRON,T,DOYLE
US SENATE,TAMMY BALDWIN,TOWN OF LAKELAND WARDS 1-2,226,BARRON,T,LAKELAND
US SENATE,TAMMY BALDWIN,TOWN OF MAPLE GROVE WARDS 1-2,141,BARRON,T,MAPLE GROVE
US SENATE,TAMMY BALDWIN,TOWN OF MAPLE PLAIN WARD 1,242,BARRON,T,MAPLE PLAIN
US SENATE,TAMMY BALDWIN,TOWN OF OAK GROVE WARDS 1-2,180,BARRON,T,OAK GROVE
US SENATE,TAMMY BALDWIN,TOWN OF PRAIRIE FARM WARDS 1-2,99,BARRON,T,PRAIRIE FARM
US SENATE,TAMMY BALDWIN,TOWN OF PRAIRIE LAKE WARDS 1-2,333,BARRON,T,PRAIRIE LAKE
US SENATE,TAMMY BALDWIN,TOWN OF RICE LAKE WARDS 1-4,653,BARRON,T,RICE LAKE
US SENATE,TAMMY BALDWIN,TOWN OF SIOUX CREEK WARD 1,116,BARRON,T,SIOUX CREEK
US SENATE,TAMMY BALDWIN,TOWN OF STANFOLD WARD 1,123,BARRON,T,STANFOLD
US SENATE,TAMMY BALDWIN,TOWN OF STANLEY WARDS 1-4,454,BARRON,T,STANLEY
US SENATE,TAMMY BALDWIN,TOWN OF SUMNER WARD 1,128,BARRON,T,SUMNER
US SENATE,TAMMY BALDWIN,TOWN OF TURTLE LAKE WARD 1,112,BARRON,T,TURTLE LAKE
US SENATE,TAMMY BALDWIN,TOWN OF VANCE CREEK WARD 1,128,BARRON,T,VANCE CREEK
US SENATE,TAMMY BALDWIN,VILLAGE OF ALMENA WARD 1,98,BARRON,V,ALMENA
US SENATE,TAMMY BALDWIN,VILLAGE OF CAMERON WARDS 1-3,305,BARRON,V,CAMERON
US SENATE,TAMMY BALDWIN,VILLAGE OF DALLAS WARD 1,46,BARRON,V,DALLAS
US SENATE,TAMMY BALDWIN,VILLAGE OF HAUGEN WARD 1,60,BARRON,V,HAUGEN
US SENATE,TAMMY BALDWIN,VILLAGE OF NEW AUBURN WARD 2,4,BARRON,V,NEW AUBURN
US SENATE,TAMMY BALDWIN,VILLAGE OF PRAIRIE FARM WARD 1,71,BARRON,V,PRAIRIE FARM
US SENATE,TAMMY BALDWIN,VILLAGE OF TURTLE LAKE WARD 1,149,BARRON,V,TURTLE LAKE
US SENATE,ERIC HOVDE,CITY OF BARRON WARDS 1-7,817,BARRON,C,BARRON
US SENATE,ERIC HOVDE,CITY OF CHETEK WARDS 1-4,718,BARRON,C,CHETEK
US SENATE,ERIC HOVDE,CITY OF CUMBERLAND WARDS 1-5,686,BARRON,C,CUMBERLAND
US SENATE,ERIC HOVDE,CITY OF RICE LAKE WARDS 1-20,2429,BARRON,C,RICE LAKE
US SENATE,ERIC HOVDE,TOWN OF ALMENA WARDS 1-2,393,BARRON,T,ALMENA
US SENATE,ERIC HOVDE,TOWN OF ARLAND WARD 1,216,BARRON,T,ARLAND
US SENATE,ERIC HOVDE,TOWN OF BARRON WARDS 1-2,318,BARRON,T,BARRON
US SENATE,ERIC HOVDE,TOWN OF BEAR LAKE WARD 1,249,BARRON,T,BEAR LAKE
US SENATE,ERIC HOVDE,TOWN OF CEDAR LAKE WARDS 1-2,571,BARRON,T,CEDAR LAKE
US SENATE,ERIC HOVDE,TOWN OF CHETEK WARDS 1-3,757,BARRON,T,CHETEK
US SENATE,ERIC HOVDE,TOWN OF CLINTON WARD 1,278,BARRON,T,CLINTON
US SENATE,ERIC HOVDE,TOWN OF CRYSTAL LAKE WARD 1,338,BARRON,T,CRYSTAL LAKE
US SENATE,ERIC HOVDE,TOWN OF CUMBERLAND WARD 1,323,BARRON,T,CUMBERLAND
US SENATE,ERIC HOVDE,TOWN OF DALLAS WARDS 1-2,234,BARRON,T,DALLAS
US SENATE,ERIC HOVDE,TOWN OF DOVRE WARD 1,330,BARRON,T,DOVRE
US SENATE,ERIC HOVDE,TOWN OF DOYLE WARDS 1-2,241,BARRON,T,DOYLE
US SENATE,ERIC HOVDE,TOWN OF LAKELAND WARDS 1-2,423,BARRON,T,LAKELAND
US SENATE,ERIC HOVDE,TOWN OF MAPLE GROVE WARDS 1-2,371,BARRON,T,MAPLE GROVE
US SENATE,ERIC HOVDE,TOWN OF MAPLE PLAIN WARD 1,311,BARRON,T,MAPLE PLAIN
US SENATE,ERIC HOVDE,TOWN OF OAK GROVE WARDS 1-2,380,BARRON,T,OAK GROVE
US SENATE,ERIC HOVDE,TOWN OF PRAIRIE FARM WARDS 1-2,244,BARRON,T,PRAIRIE FARM
US SENATE,ERIC HOVDE,TOWN OF PRAIRIE LAKE WARDS 1-2,732,BARRON,T,PRAIRIE LAKE
US SENATE,ERIC HOVDE,TOWN OF RICE LAKE WARDS 1-4,1082,BARRON,T,RICE LAKE
US SENATE,ERIC HOVDE,TOWN OF SIOUX CREEK WARD 1,286,BARRON,T,SIOUX CREEK
US SENATE,ERIC HOVDE,TOWN OF STANFOLD WARD 1,278,BARRON,T,STANFOLD
US SENATE,ERIC HOVDE,TOWN OF STANLEY WARDS 1-4,1068,BARRON,T,STANLEY
US SENATE,ERIC HOVDE,TOWN OF SUMNER WARD 1,320,BARRON,T,SUMNER
US SENATE,ERIC HOVDE,TOWN OF TURTLE LAKE WARD 1,282,BARRON,T,TURTLE LAKE
US SENATE,ERIC HOVDE,TOWN OF VANCE CREEK WARD 1,271,BARRON,T,VANCE CREEK
US SENATE,ERIC HOVDE,VILLAGE OF ALMENA WARD 1,208,BARRON,V,ALMENA
US SENATE,ERIC HOVDE,VILLAGE OF CAMERON WARDS 1-3,642,BARRON,V,CAMERON
US SENATE,ERIC HOVDE,VILLAGE OF DALLAS WARD 1,132,BARRON,V,DALLAS
US SENATE,ERIC HOVDE,VILLAGE OF HAUGEN WARD 1,101,BARRON,V,HAUGEN
US SENATE,ERIC HOVDE,VILLAGE OF NEW AUBURN WARD 2,12,BARRON,V,NEW AUBURN
US SENATE,ERIC HOVDE,VILLAGE OF PRAIRIE FARM WARD 1,151,BARRON,V,PRAIRIE FARM
US SENATE,ERIC HOVDE,VILLAGE OF TURTLE LAKE WARD 1,207,BARRON,V,TURTLE LAKE
US SENATE,PHIL ANDERSON,CITY OF BARRON WARDS 1-7,37,BARRON,C,BARRON
US SENATE,PHIL ANDERSON,CITY OF CHETEK WARDS 1-4,23,BARRON,C,CHETEK
US SENATE,PHIL ANDERSON,CITY OF CUMBERLAND WARDS 1-5,31,BARRON,C,CUMBERLAND
US SENATE,PHIL ANDERSON,CITY OF RICE LAKE WARDS 1-20,71,BARRON,C,RICE LAKE
US SENATE,PHIL ANDERSON,TOWN OF ALMENA WARDS 1-2,7,BARRON,T,ALMENA
US SENATE,PHIL ANDERSON,TOWN OF ARLAND WARD 1,1,BARRON,T,ARLAND
US SENATE,PHIL ANDERSON,TOWN OF BARRON WARDS 1-2,2,BARRON,T,BARRON
US SENATE,PHIL ANDERSON,TOWN OF BEAR LAKE WARD 1,6,BARRON,T,BEAR LAKE
US SENATE,PHIL ANDERSON,TOWN OF CEDAR LAKE WARDS 1-2,3,BARRON,T,CEDAR LAKE
US SENATE,PHIL ANDERSON,TOWN OF CHETEK WARDS 1-3,12,BARRON,T,CHETEK
US SENATE,PHIL ANDERSON,TOWN OF CLINTON WARD 1,3,BARRON,T,CLINTON
US SENATE,PHIL ANDERSON,TOWN OF CRYSTAL LAKE WARD 1,3,BARRON,T,CRYSTAL LAKE
US SENATE,PHIL ANDERSON,TOWN OF CUMBERLAND WARD 1,4,BARRON,T,CUMBERLAND
US SENATE,PHIL ANDERSON,TOWN OF DALLAS WARDS 1-2,2,BARRON,T,DALLAS
US SENATE,PHIL ANDERSON,TOWN OF DOVRE WARD 1,4,BARRON,T,DOVRE
US SENATE,PHIL ANDERSON,TOWN OF DOYLE WARDS 1-2,3,BARRON,T,DOYLE
US SENATE,PHIL ANDERSON,TOWN OF LAKELAND WARDS 1-2,8,BARRON,T,LAKELAND
US SENATE,PHIL ANDERSON,TOWN OF MAPLE GROVE WARDS 1-2,8,BARRON,T,MAPLE GROVE
US SENATE,PHIL ANDERSON,TOWN OF MAPLE PLAIN WARD 1,3,BARRON,T,MAPLE PLAIN
US SENATE,PHIL ANDERSON,TOWN OF OAK GROVE WARDS 1-2,6,BARRON,T,OAK GROVE
US SENATE,PHIL ANDERSON,TOWN OF PRAIRIE FARM WARDS 1-2,4,BARRON,T,PRAIRIE FARM
US SENATE,PHIL ANDERSON,TOWN OF PRAIRIE LAKE WARDS 1-2,8,BARRON,T,PRAIRIE LAKE
US SENATE,PHIL ANDERSON,TOWN OF RICE LAKE WARDS 1-4,15,BARRON,T,RICE LAKE
US SENATE,PHIL ANDERSON,TOWN OF SIOUX CREEK WARD 1,5,BARRON,T,SIOUX CREEK
US SENATE,PHIL ANDERSON,TOWN OF STANFOLD WARD 1,4,BARRON,T,STANFOLD
US SENATE,PHIL ANDERSON,TOWN OF STANLEY WARDS 1-4,18,BARRON,T,STANLEY
US SENATE,PHIL ANDERSON,TOWN OF SUMNER WARD 1,10,BARRON,T,SUMNER
US SENATE,PHIL ANDERSON,TOWN OF TURTLE LAKE WARD 1,5,BARRON,T,TURTLE LAKE
US SENATE,PHIL ANDERSON,TOWN OF VANCE CREEK WARD 1,11,BARRON,T,VANCE CREEK
US SENATE,PHIL ANDERSON,VILLAGE OF ALMENA WARD 1,8,BARRON,V,ALMENA
US SENATE,PHIL ANDERSON,VILLAGE OF CAMERON WARDS 1-3,13,BARRON,V,CAMERON
US SENATE,PHIL ANDERSON,VILLAGE OF DALLAS WARD 1,1,BARRON,V,DALLAS
US SENATE,PHIL ANDERSON,VILLAGE OF HAUGEN WARD 1,5,BARRON,V,HAUGEN
US SENATE,PHIL ANDERSON,VILLAGE OF NEW AUBURN WARD 2,2,BARRON,V,NEW AUBURN
US SENATE,PHIL ANDERSON,VILLAGE OF PRAIRIE FARM WARD 1,7,BARRON,V,PRAIRIE FARM
US SENATE,PHIL ANDERSON,VILLAGE OF TURTLE LAKE WARD 1,5,BARRON,V,TURTLE LAKE
US SENATE,THOMAS LEAGER,CITY OF BARRON WARDS 1-7,34,BARRON,C,BARRON
US SENATE,THOMAS LEAGER,CITY OF CHETEK WARDS 1-4,21,BARRON,C,CHETEK
US SENATE,THOMAS LEAGER,CITY OF CUMBERLAND WARDS 1-5,20,BARRON,C,CUMBERLAND
US SENATE,THOMAS LEAGER,CITY OF RICE LAKE WARDS 1-20,56,BARRON,C,RICE LAKE
US SENATE,THOMAS LEAGER,TOWN OF ALMENA WARDS 1-2,11,BARRON,T,ALMENA
US SENATE,THOMAS LEAGER,TOWN OF ARLAND WARD 1,10,BARRON,T,ARLAND
US SENATE,THOMAS LEAGER,TOWN OF BARRON WARDS 1-2,7,BARRON,T,BARRON
US SENATE,THOMAS LEAGER,TOWN OF BEAR LAKE WARD 1,2,BARRON,T,BEAR LAKE
US SENATE,THOMAS LEAGER,TOWN OF CEDAR LAKE WARDS 1-2,7,BARRON,T,CEDAR LAKE
US SENATE,THOMAS LEAGER,TOWN OF CHETEK WARDS 1-3,13,BARRON,T,CHETEK
US SENATE,THOMAS LEAGER,TOWN OF CLINTON WARD 1,6,BARRON,T,CLINTON
US SENATE,THOMAS LEAGER,TOWN OF CRYSTAL LAKE WARD 1,4,BARRON,T,CRYSTAL LAKE
US SENATE,THOMAS LEAGER,TOWN OF CUMBERLAND WARD 1,2,BARRON,T,CUMBERLAND
US SENATE,THOMAS LEAGER,TOWN OF DALLAS WARDS 1-2,2,BARRON,T,DALLAS
US SENATE,THOMAS LEAGER,TOWN OF DOVRE WARD 1,8,BARRON,T,DOVRE
US SENATE,THOMAS LEAGER,TOWN OF DOYLE WARDS 1-2,2,BARRON,T,DOYLE
US SENATE,THOMAS LEAGER,TOWN OF LAKELAND WARDS 1-2,6,BARRON,T,LAKELAND
US SENATE,THOMAS LEAGER,TOWN OF MAPLE GROVE WARDS 1-2,7,BARRON,T,MAPLE GROVE
US SENATE,THOMAS LEAGER,TOWN OF MAPLE PLAIN WARD 1,2,BARRON,T,MAPLE PLAIN
US SENATE,THOMAS LEAGER,TOWN OF OAK GROVE WARDS 1-2,8,BARRON,T,OAK GROVE
US SENATE,THOMAS LEAGER,TOWN OF PRAIRIE FARM WARDS 1-2,4,BARRON,T,PRAIRIE FARM
US SENATE,THOMAS LEAGER,TOWN OF PRAIRIE LAKE WARDS 1-2,6,BARRON,T,PRAIRIE LAKE
US SENATE,THOMAS LEAGER,TOWN OF RICE LAKE WARDS 1-4,19,BARRON,T,RICE LAKE
US SENATE,THOMAS LEAGER,TOWN OF SIOUX CREEK WARD 1,5,BARRON,T,SIOUX CREEK
US SENATE,THOMAS LEAGER,TOWN OF STANFOLD WARD 1,7,BARRON,T,STANFOLD
US SENATE,THOMAS LEAGER,TOWN OF STANLEY WARDS 1-4,19,BARRON,T,STANLEY
US SENATE,THOMAS LEAGER,TOWN OF SUMNER WARD 1,9,BARRON,T,SUMNER
US SENATE,THOMAS LEAGER,TOWN OF TURTLE LAKE WARD 1,3,BARRON,T,TURTLE LAKE
US SENATE,THOMAS LEAGER,TOWN OF VANCE CREEK WARD 1,5,BARRON,T,VANCE CREEK
US SENATE,THOMAS LEAGER,VILLAGE OF ALMENA WARD 1,11,BARRON,V,ALMENA
US SENATE,THOMAS LEAGER,VILLAGE OF CAMERON WARDS 1-3,12,BARRON,V,CAMERON
US SENATE,THOMAS LEAGER,VILLAGE OF DALLAS WARD 1,4,BARRON,V,DALLAS
US SENATE,THOMAS LEAGER,VILLAGE OF HAUGEN WARD 1,2,BARRON,V,HAUGEN
US SENATE,THOMAS LEAGER,VILLAGE OF NEW AUBURN WARD 2,1,BARRON,V,NEW AUBURN
US SENATE,THOMAS LEAGER,VILLAGE OF PRAIRIE FARM WARD 1,2,BARRON,V,PRAIRIE FARM
US SENATE,THOMAS LEAGER,VILLAGE OF TURTLE LAKE WARD 1,11,BARRON,V,TURTLE LAKE
US SENATE,JOHN SCHIESS (WRITE-IN),CITY OF BARRON WARDS 1-7,0,BARRON,C,BARRON
US SENATE,JOHN SCHIESS (WRITE-IN),CITY OF CHETEK WARDS 1-4,0,BARRON,C,CHETEK
US SENATE,JOHN SCHIESS (WRITE-IN),CITY OF CUMBERLAND WARDS 1-5,0,BARRON,C,CUMBERLAND
US SENATE,JOHN SCHIESS (WRITE-IN),CITY OF RICE LAKE WARDS 1-20,0,BARRON,C,RICE LAKE
US SENATE,JOHN SCHIESS (WRITE-IN),TOWN OF ALMENA WARDS 1-2,0,BARRON,T,ALMENA
US SENATE,JOHN SCHIESS (WRITE-IN),TOWN OF ARLAND WARD 1,0,BARRON,T,ARLAND
US SENATE,JOHN SCHIESS (WRITE-IN),TOWN OF BARRON WARDS 1-2,0,BARRON,T,BARRON
US SENATE,JOHN SCHIESS (WRITE-IN),TOWN OF BEAR LAKE WARD 1,0,BARRON,T,BEAR LAKE
US SENATE,JOHN SCHIESS (WRITE-IN),TOWN OF CEDAR LAKE WARDS 1-2,0,BARRON,T,CEDAR LAKE
US SENATE,JOHN SCHIESS (WRITE-IN),TOWN OF CHETEK WARDS 1-3,0,BARRON,T,CHETEK
US SENATE,JOHN SCHIESS (WRITE-IN),TOWN OF CLINTON WARD 1,0,BARRON,T,CLINTON
US SENATE,JOHN SCHIESS (WRITE-IN),TOWN OF CRYSTAL LAKE WARD 1,0,BARRON,T,CRYSTAL LAKE
US SENATE,JOHN SCHIESS (WRITE-IN),TOWN OF CUMBERLAND WARD 1,0,BARRON,T,CUMBERLAND
US SENATE,JOHN SCHIESS (WRITE-IN),TOWN OF DALLAS WARDS 1-2,0,BARRON,T,DALLAS
US SENATE,JOHN SCHIESS (WRITE-IN),TOWN OF DOVRE WARD 1,0,BARRON,T,DOVRE
US SENATE,JOHN SCHIESS (WRITE-IN),TOWN OF DOYLE WARDS 1-2,1,BARRON,T,DOYLE
US SENATE,JOHN SCHIESS (WRITE-IN),TOWN OF LAKELAND WARDS 1-2,0,BARRON,T,LAKELAND
US SENATE,JOHN SCHIESS (WRITE-IN),TOWN OF MAPLE GROVE WARDS 1-2,0,BARRON,T,MAPLE GROVE
US SENATE,JOHN SCHIESS (WRITE-IN),TOWN OF MAPLE PLAIN WARD 1,0,BARRON,T,MAPLE PLAIN
US SENATE,JOHN SCHIESS (WRITE-IN),TOWN OF OAK GROVE WARDS 1-2,0,BARRON,T,OAK GROVE
