reporting_unit,contest,candidate,votes,county,ctv,municipality
BARKSDALE,PRESIDENT / VICE PRESIDENT,TIM WALZ,282,BAYFIELD,T,BARKSDALE
BARKSDALE,PRESIDENT / VICE PRESIDENT,JD VANCE,243,BAYFIELD,T,BARKSDALE
BARKSDALE,PRESIDENT / VICE PRESIDENT,STEPHEN BRODEN,1,BAYFIELD,T,BARKSDALE
BARKSDALE,PRESIDENT / VICE PRESIDENT,MIKE TER MAAT,3,BAYFIELD,T,BARKSDALE
BARKSDALE,PRESIDENT / VICE PRESIDENT,RUDOLPH WARE,1,BAYFIELD,T,BARKSDALE
BARKSDALE,PRESIDENT / VICE PRESIDENT,KARINA GARCIA,0,BAYFIELD,T,BARKSDALE
BARKSDALE,PRESIDENT / VICE PRESIDENT,MELINA ABDULLAH,3,BAYFIELD,T,BARKSDALE
BARKSDALE,PRESIDENT / VICE PRESIDENT,NICOLE SHANAHAN,1,BAYFIELD,T,BARKSDALE
BARKSDALE,PRESIDENT / VICE PRESIDENT,LAUREN ONAK,0,BAYFIELD,T,BARKSDALE
BARKSDALE,PRESIDENT / VICE PRESIDENT,LAUREN ONAK,0,BAYFIELD,T,BARKSDALE
BARKSDALE,PRESIDENT / VICE PRESIDENT,LAUREN ONAK,0,BAYFIELD,T,BARKSDALE
BARKSDALE,PRESIDENT / VICE PRESIDENT,KIMBERLY LALONDE,0,BAYFIELD,T,BARKSDALE
BARKSDALE,PRESIDENT / VICE PRESIDENT,JESSICA KENNEDY,0,BAYFIELD,T,BARKSDALE
BARKSDALE,PRESIDENT / VICE PRESIDENT,JESSICA KENNEDY,0,BAYFIELD,T,BARKSDALE
BARNES,PRESIDENT / VICE PRESIDENT,TIM WALZ,315,BAYFIELD,T,BARNES
BARNES,PRESIDENT / VICE PRESIDENT,JD VANCE,386,BAYFIELD,T,BARNES
BARNES,PRESIDENT / VICE PRESIDENT,STEPHEN BRODEN,0,BAYFIELD,T,BARNES
BARNES,PRESIDENT / VICE PRESIDENT,MIKE TER MAAT,0,BAYFIELD,T,BARNES
BARNES,PRESIDENT / VICE PRESIDENT,RUDOLPH WARE,9,BAYFIELD,T,BARNES
BARNES,PRESIDENT / VICE PRESIDENT,KARINA GARCIA,0,BAYFIELD,T,BARNES
BARNES,PRESIDENT / VICE PRESIDENT,MELINA ABDULLAH,2,BAYFIELD,T,BARNES
BARNES,PRESIDENT / VICE PRESIDENT,NICOLE SHANAHAN,12,BAYFIELD,T,BARNES
BARNES,PRESIDENT / VICE PRESIDENT,LAUREN ONAK,0,BAYFIELD,T,BARNES
BARNES,PRESIDENT / VICE PRESIDENT,LAUREN ONAK,0,BAYFIELD,T,BARNES
BARNES,PRESIDENT / VICE PRESIDENT,LAUREN ONAK,0,BAYFIELD,T,BARNES
BARNES,PRESIDENT / VICE PRESIDENT,KIMBERLY LALONDE,0,BAYFIELD,T,BARNES
BARNES,PRESIDENT / VICE PRESIDENT,JESSICA KENNEDY,0,BAYFIELD,T,BARNES
BARNES,PRESIDENT / VICE PRESIDENT,JESSICA KENNEDY,0,BAYFIELD,T,BARNES
T. BAYFIELD,PRESIDENT / VICE PRESIDENT,TIM WALZ,406,BAYFIELD,T,BAYFIELD
T. BAYFIELD,PRESIDENT / VICE PRESIDENT,JD VANCE,163,BAYFIELD,T,BAYFIELD
T. BAYFIELD,PRESIDENT / VICE PRESIDENT,STEPHEN BRODEN,1,BAYFIELD,T,BAYFIELD
T. BAYFIELD,PRESIDENT / VICE PRESIDENT,MIKE TER MAAT,1,BAYFIELD,T,BAYFIELD
T. BAYFIELD,PRESIDENT / VICE PRESIDENT,RUDOLPH WARE,5,BAYFIELD,T,BAYFIELD
T. BAYFIELD,PRESIDENT / VICE PRESIDENT,KARINA GARCIA,0,BAYFIELD,T,BAYFIELD
T. BAYFIELD,PRESIDENT / VICE PRESIDENT,MELINA ABDULLAH,1,BAYFIELD,T,BAYFIELD
T. BAYFIELD,PRESIDENT / VICE PRESIDENT,NICOLE SHANAHAN,3,BAYFIELD,T,BAYFIELD
T. BAYFIELD,PRESIDENT / VICE PRESIDENT,LAUREN ONAK,0,BAYFIELD,T,BAYFIELD
T. BAYFIELD,PRESIDENT / VICE PRESIDENT,LAUREN ONAK,0,BAYFIELD,T,BAYFIELD
T. BAYFIELD,PRESIDENT / VICE PRESIDENT,LAUREN ONAK,0,BAYFIELD,T,BAYFIELD
T. BAYFIELD,PRESIDENT / VICE PRESIDENT,KIMBERLY LALONDE,0,BAYFIELD,T,BAYFIELD
T. BAYFIELD,PRESIDENT / VICE PRESIDENT,JESSICA KENNEDY,0,BAYFIELD,T,BAYFIELD
T. BAYFIELD,PRESIDENT / VICE PRESIDENT,JESSICA KENNEDY,0,BAYFIELD,T,BAYFIELD
BAYVIEW,PRESIDENT / VICE PRESIDENT,TIM WALZ,221,BAYFIELD,T,BAYVIEW
BAYVIEW,PRESIDENT / VICE PRESIDENT,JD VANCE,141,BAYFIELD,T,BAYVIEW
BAYVIEW,PRESIDENT / VICE PRESIDENT,STEPHEN BRODEN,0,BAYFIELD,T,BAYVIEW
BAYVIEW,PRESIDENT / VICE PRESIDENT,MIKE TER MAAT,1,BAYFIELD,T,BAYVIEW
BAYVIEW,PRESIDENT / VICE PRESIDENT,RUDOLPH WARE,3,BAYFIELD,T,BAYVIEW
BAYVIEW,PRESIDENT / VICE PRESIDENT,KARINA GARCIA,0,BAYFIELD,T,BAYVIEW
BAYVIEW,PRESIDENT / VICE PRESIDENT,MELINA ABDULLAH,2,BAYFIELD,T,BAYVIEW
BAYVIEW,PRESIDENT / VICE PRESIDENT,NICOLE SHANAHAN,3,BAYFIELD,T,BAYVIEW
BAYVIEW,PRESIDENT / VICE PRESIDENT,LAUREN ONAK,0,BAYFIELD,T,BAYVIEW
BAYVIEW,PRESIDENT / VICE PRESIDENT,LAUREN ONAK,0,BAYFIELD,T,BAYVIEW
BAYVIEW,PRESIDENT / VICE PRESIDENT,LAUREN ONAK,0,BAYFIELD,T,BAYVIEW
BAYVIEW,PRESIDENT / VICE PRESIDENT,KIMBERLY LALONDE,0,BAYFIELD,T,BAYVIEW
BAYVIEW,PRESIDENT / VICE PRESIDENT,JESSICA KENNEDY,0,BAYFIELD,T,BAYVIEW
BAYVIEW,PRESIDENT / VICE PRESIDENT,JESSICA KENNEDY,0,BAYFIELD,T,BAYVIEW
BELL,PRESIDENT / VICE PRESIDENT,TIM WALZ,196,BAYFIELD,T,BELL
BELL,PRESIDENT / VICE PRESIDENT,JD VANCE,85,BAYFIELD,T,BELL
BELL,PRESIDENT / VICE PRESIDENT,STEPHEN BRODEN,1,BAYFIELD,T,BELL
BELL,PRESIDENT / VICE PRESIDENT,MIKE TER MAAT,6,BAYFIELD,T,BELL
BELL,PRESIDENT / VICE PRESIDENT,RUDOLPH WARE,0,BAYFIELD,T,BELL
BELL,PRESIDENT / VICE PRESIDENT,KARINA GARCIA,0,BAYFIELD,T,BELL
BELL,PRESIDENT / VICE PRESIDENT,MELINA ABDULLAH,0,BAYFIELD,T,BELL
BELL,PRESIDENT / VICE PRESIDENT,NICOLE SHANAHAN,1,BAYFIELD,T,BELL
BELL,PRESIDENT / VICE PRESIDENT,LAUREN ONAK,0,BAYFIELD,T,BELL
BELL,PRESIDENT / VICE PRESIDENT,LAUREN ONAK,0,BAYFIELD,T,BELL
BELL,PRESIDENT / VICE PRESIDENT,LAUREN ONAK,0,BAYFIELD,T,BELL
BELL,PRESIDENT / VICE PRESIDENT,KIMBERLY LALONDE,0,BAYFIELD,T,BELL
BELL,PRESIDENT / VICE PRESIDENT,JESSICA KENNEDY,0,BAYFIELD,T,BELL
BELL,PRESIDENT / VICE PRESIDENT,JESSICA KENNEDY,0,BAYFIELD,T,BELL
CABLE,PRESIDENT / VICE PRESIDENT,TIM WALZ,259,BAYFIELD,T,CABLE
CABLE,PRESIDENT / VICE PRESIDENT,JD VANCE,358,BAYFIELD,T,CABLE
CABLE,PRESIDENT / VICE PRESIDENT,STEPHEN BRODEN,0,BAYFIELD,T,CABLE
CABLE,PRESIDENT / VICE PRESIDENT,MIKE TER MAAT,2,BAYFIELD,T,CABLE
CABLE,PRESIDENT / VICE PRESIDENT,RUDOLPH WARE,0,BAYFIELD,T,CABLE
CABLE,PRESIDENT / VICE PRESIDENT,KARINA GARCIA,0,BAYFIELD,T,CABLE
CABLE,PRESIDENT / VICE PRESIDENT,MELINA ABDULLAH,0,BAYFIELD,T,CABLE
CABLE,PRESIDENT / VICE PRESIDENT,NICOLE SHANAHAN,4,BAYFIELD,T,CABLE
CABLE,PRESIDENT / VICE PRESIDENT,LAUREN ONAK,0,BAYFIELD,T,CABLE
CABLE,PRESIDENT / VICE PRESIDENT,LAUREN ONAK,0,BAYFIELD,T,CABLE
CABLE,PRESIDENT / VICE PRESIDENT,LAUREN ONAK,0,BAYFIELD,T,CABLE
CABLE,PRESIDENT / VICE PRESIDENT,KIMBERLY LALONDE,0,BAYFIELD,T,CABLE
CABLE,PRESIDENT / VICE PRESIDENT,JESSICA KENNEDY,0,BAYFIELD,T,CABLE
CABLE,PRESIDENT / VICE PRESIDENT,JESSICA KENNEDY,0,BAYFIELD,T,CABLE
CLOVER,PRESIDENT / VICE PRESIDENT,TIM WALZ,121,BAYFIELD,T,CLOVER
CLOVER,PRESIDENT / VICE PRESIDENT,JD VANCE,90,BAYFIELD,T,CLOVER
CLOVER,PRESIDENT / VICE PRESIDENT,STEPHEN BRODEN,0,BAYFIELD,T,CLOVER
CLOVER,PRESIDENT / VICE PRESIDENT,MIKE TER MAAT,0,BAYFIELD,T,CLOVER
CLOVER,PRESIDENT / VICE PRESIDENT,RUDOLPH WARE,4,BAYFIELD,T,CLOVER
CLOVER,PRESIDENT / VICE PRESIDENT,KARINA GARCIA,0,BAYFIELD,T,CLOVER
CLOVER,PRESIDENT / VICE PRESIDENT,MELINA ABDULLAH,0,BAYFIELD,T,CLOVER
CLOVER,PRESIDENT / VICE PRESIDENT,NICOLE SHANAHAN,0,BAYFIELD,T,CLOVER
CLOVER,PRESIDENT / VICE PRESIDENT,LAUREN ONAK,0,BAYFIELD,T,CLOVER
CLOVER,PRESIDENT / VICE PRESIDENT,LAUREN ONAK,0,BAYFIELD,T,CLOVER
CLOVER,PRESIDENT / VICE PRESIDENT,LAUREN ONAK,0,BAYFIELD,T,CLOVER
CLOVER,PRESIDENT / VICE PRESIDENT,KIMBERLY LALONDE,0,BAYFIELD,T,CLOVER
CLOVER,PRESIDENT / VICE PRESIDENT,JESSICA KENNEDY,0,BAYFIELD,T,CLOVER
CLOVER,PRESIDENT / VICE PRESIDENT,JESSICA KENNEDY,0,BAYFIELD,T,CLOVER
DELTA,PRESIDENT / VICE PRESIDENT,TIM WALZ,118,BAYFIELD,T,DELTA
DELTA,PRESIDENT / VICE PRESIDENT,JD VANCE,140,BAYFIELD,T,DELTA
DELTA,PRESIDENT / VICE PRESIDENT,STEPHEN BRODEN,0,BAYFIELD,T,DELTA
DELTA,PRESIDENT / VICE PRESIDENT,MIKE TER MAAT,0,BAYFIELD,T,DELTA
DELTA,PRESIDENT / VICE PRESIDENT,RUDOLPH WARE,1,BAYFIELD,T,DELTA
DELTA,PRESIDENT / VICE PRESIDENT,KARINA GARCIA,1,BAYFIELD,T,DELTA
DELTA,PRESIDENT / VICE PRESIDENT,MELINA ABDULLAH,0,BAYFIELD,T,DELTA
DELTA,PRESIDENT / VICE PRESIDENT,NICOLE SHANAHAN,2,BAYFIELD,T,DELTA
DELTA,PRESIDENT / VICE PRESIDENT,LAUREN ONAK,0,BAYFIELD,T,DELTA
DELTA,PRESIDENT / VICE PRESIDENT,LAUREN ONAK,0,BAYFIELD,T,DELTA
DELTA,PRESIDENT / VICE PRESIDENT,LAUREN ONAK,0,BAYFIELD,T,DELTA
DELTA,PRESIDENT / VICE PRESIDENT,KIMBERLY LALONDE,0,BAYFIELD,T,DELTA
DELTA,PRESIDENT / VICE PRESIDENT,JESSICA KENNEDY,0,BAYFIELD,T,DELTA
DELTA,PRESIDENT / VICE PRESIDENT,JESSICA KENNEDY,0,BAYFIELD,T,DELTA
DRUMMOND,PRESIDENT / VICE PRESIDENT,TIM WALZ,208,BAYFIELD,T,DRUMMOND
DRUMMOND,PRESIDENT / VICE PRESIDENT,JD VANCE,182,BAYFIELD,T,DRUMMOND
