reporting_unit,contest,candidate,votes,county,ctv,municipality
TOWN OF EATON W1-2,PRESIDENT/VICE PRESIDENT,DEM KAMALAD. HARRIS/TIMWALZ,325,BROWN,T,EATON
TOWN OF EATON W1-2,PRESIDENT/VICE PRESIDENT,REP DONALD J.TRUMP/JDVANCE,779,BROWN,T,EATON
TOWN OF EATON W1-2,PRESIDENT/VICE PRESIDENT,CON RANDALL TERRY/STEPHENBRODEN,2,BROWN,T,EATON
TOWN OF EATON W1-2,PRESIDENT/VICE PRESIDENT,LIB CHASE RUSSELL OLIVER/MIKE TERMAAT,4,BROWN,T,EATON
TOWN OF EATON W1-2,PRESIDENT/VICE PRESIDENT,WGR JILL STEIN/RUDOLPHWARE,4,BROWN,T,EATON
TOWN OF EATON W1-2,PRESIDENT/VICE PRESIDENT,IND CLAUDIADE LA CRUZ/KARINAGARCIA,0,BROWN,T,EATON
TOWN OF EATON W1-2,PRESIDENT/VICE PRESIDENT,IND CORNEL WEST/MELINA ABDULLAH,0,BROWN,T,EATON
TOWN OF EATON W1-2,PRESIDENT/VICE PRESIDENT,"IND ROBERT F.KENNEDY, JR./NICOLE SHANAHAN",6,BROWN,T,EATON
TOWN OF EATON W1-2,PRESIDENT/VICE PRESIDENT,WRITE-IN TOTALS,1,BROWN,T,EATON
TOWN OF GLENMORE W1-2,PRESIDENT/VICE PRESIDENT,DEM KAMALAD. HARRIS/TIMWALZ,180,BROWN,T,GLENMORE
TOWN OF GLENMORE W1-2,PRESIDENT/VICE PRESIDENT,REP DONALD J.TRUMP/JDVANCE,525,BROWN,T,GLENMORE
TOWN OF GLENMORE W1-2,PRESIDENT/VICE PRESIDENT,CON RANDALL TERRY/STEPHENBRODEN,0,BROWN,T,GLENMORE
TOWN OF GLENMORE W1-2,PRESIDENT/VICE PRESIDENT,LIB CHASE RUSSELL OLIVER/MIKE TERMAAT,0,BROWN,T,GLENMORE
TOWN OF GLENMORE W1-2,PRESIDENT/VICE PRESIDENT,WGR JILL STEIN/RUDOLPHWARE,0,BROWN,T,GLENMORE
TOWN OF GLENMORE W1-2,PRESIDENT/VICE PRESIDENT,IND CLAUDIADE LA CRUZ/KARINAGARCIA,0,BROWN,T,GLENMORE
TOWN OF GLENMORE W1-2,PRESIDENT/VICE PRESIDENT,IND CORNEL WEST/MELINA ABDULLAH,0,BROWN,T,GLENMORE
TOWN OF GLENMORE W1-2,PRESIDENT/VICE PRESIDENT,"IND ROBERT F.KENNEDY, JR./NICOLE SHANAHAN",7,BROWN,T,GLENMORE
TOWN OF GLENMORE W1-2,PRESIDENT/VICE PRESIDENT,WRITE-IN TOTALS,0,BROWN,T,GLENMORE
TOWN OF GREEN BAY W1-3,PRESIDENT/VICE PRESIDENT,DEM KAMALAD. HARRIS/TIMWALZ,414,BROWN,T,GREEN BAY
TOWN OF GREEN BAY W1-3,PRESIDENT/VICE PRESIDENT,REP DONALD J.TRUMP/JDVANCE,1071,BROWN,T,GREEN BAY
TOWN OF GREEN BAY W1-3,PRESIDENT/VICE PRESIDENT,CON RANDALL TERRY/STEPHENBRODEN,2,BROWN,T,GREEN BAY
TOWN OF GREEN BAY W1-3,PRESIDENT/VICE PRESIDENT,LIB CHASE RUSSELL OLIVER/MIKE TERMAAT,4,BROWN,T,GREEN BAY
TOWN OF GREEN BAY W1-3,PRESIDENT/VICE PRESIDENT,WGR JILL STEIN/RUDOLPHWARE,2,BROWN,T,GREEN BAY
TOWN OF GREEN BAY W1-3,PRESIDENT/VICE PRESIDENT,IND CLAUDIADE LA CRUZ/KARINAGARCIA,0,BROWN,T,GREEN BAY
TOWN OF GREEN BAY W1-3,PRESIDENT/VICE PRESIDENT,IND CORNEL WEST/MELINA ABDULLAH,0,BROWN,T,GREEN BAY
TOWN OF GREEN BAY W1-3,PRESIDENT/VICE PRESIDENT,"IND ROBERT F.KENNEDY, JR./NICOLE SHANAHAN",5,BROWN,T,GREEN BAY
TOWN OF GREEN BAY W1-3,PRESIDENT/VICE PRESIDENT,WRITE-IN TOTALS,0,BROWN,T,GREEN BAY
TOWN OF HOLLAND W1-2,PRESIDENT/VICE PRESIDENT,DEM KAMALAD. HARRIS/TIMWALZ,301,BROWN,T,HOLLAND
TOWN OF HOLLAND W1-2,PRESIDENT/VICE PRESIDENT,REP DONALD J.TRUMP/JDVANCE,732,BROWN,T,HOLLAND
TOWN OF HOLLAND W1-2,PRESIDENT/VICE PRESIDENT,CON RANDALL TERRY/STEPHENBRODEN,1,BROWN,T,HOLLAND
TOWN OF HOLLAND W1-2,PRESIDENT/VICE PRESIDENT,LIB CHASE RUSSELL OLIVER/MIKE TERMAAT,1,BROWN,T,HOLLAND
TOWN OF HOLLAND W1-2,PRESIDENT/VICE PRESIDENT,WGR JILL STEIN/RUDOLPHWARE,4,BROWN,T,HOLLAND
TOWN OF HOLLAND W1-2,PRESIDENT/VICE PRESIDENT,IND CLAUDIADE LA CRUZ/KARINAGARCIA,0,BROWN,T,HOLLAND
TOWN OF HOLLAND W1-2,PRESIDENT/VICE PRESIDENT,IND CORNEL WEST/MELINA ABDULLAH,0,BROWN,T,HOLLAND
TOWN OF HOLLAND W1-2,PRESIDENT/VICE PRESIDENT,"IND ROBERT F.KENNEDY, JR./NICOLE SHANAHAN",1,BROWN,T,HOLLAND
TOWN OF HOLLAND W1-2,PRESIDENT/VICE PRESIDENT,WRITE-IN TOTALS,0,BROWN,T,HOLLAND
TOWN OF HUMBOLDT W1-2,PRESIDENT/VICE PRESIDENT,DEM KAMALAD. HARRIS/TIMWALZ,216,BROWN,T,HUMBOLDT
TOWN OF HUMBOLDT W1-2,PRESIDENT/VICE PRESIDENT,REP DONALD J.TRUMP/JDVANCE,662,BROWN,T,HUMBOLDT
TOWN OF HUMBOLDT W1-2,PRESIDENT/VICE PRESIDENT,CON RANDALL TERRY/STEPHENBRODEN,0,BROWN,T,HUMBOLDT
TOWN OF HUMBOLDT W1-2,PRESIDENT/VICE PRESIDENT,LIB CHASE RUSSELL OLIVER/MIKE TERMAAT,1,BROWN,T,HUMBOLDT
TOWN OF HUMBOLDT W1-2,PRESIDENT/VICE PRESIDENT,WGR JILL STEIN/RUDOLPHWARE,0,BROWN,T,HUMBOLDT
TOWN OF HUMBOLDT W1-2,PRESIDENT/VICE PRESIDENT,IND CLAUDIADE LA CRUZ/KARINAGARCIA,1,BROWN,T,HUMBOLDT
