reporting_unit,contest,candidate,votes,county,ctv,municipality
TOWN OF ANDERSON,STATE REFERENDUM QUESTION 1 ELIGIBILITY TO VOTE,YES,246,BURNETT,T,ANDERSON
TOWN OF ANDERSON,STATE REFERENDUM QUESTION 1 ELIGIBILITY TO VOTE,NO,36,BURNETT,T,ANDERSON
TOWN OF ANDERSON,UNITED STATES PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),61,BURNETT,T,ANDERSON
TOWN OF ANDERSON,UNITED STATES PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP / JD VANCE (REPUBLICAN,225,BURNETT,T,ANDERSON
TOWN OF ANDERSON,UNITED STATES PRESIDENT/VICE PRESIDENT,RANDALL TERRY/ STEPHEN BRODEN (CONSTITUTION),0,BURNETT,T,ANDERSON
TOWN OF ANDERSON,UNITED STATES PRESIDENT/VICE PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT (LIBERTARIAN),0,BURNETT,T,ANDERSON
TOWN OF ANDERSON,UNITED STATES PRESIDENT/VICE PRESIDENT,JILL STEIN / RUDOLPH WARE (WISCONSIN GREEN),1,BURNETT,T,ANDERSON
TOWN OF ANDERSON,UNITED STATES PRESIDENT/VICE PRESIDENT,CLAUDIA DE LA CRUZ / KARINA GARCIA (PARTY FOR SOCIALISM AND LIBERATION),0,BURNETT,T,ANDERSON
TOWN OF ANDERSON,UNITED STATES PRESIDENT/VICE PRESIDENT,CORNEL WEST / MELINA ABDULLAH (JUSTICE FOR ALL),0,BURNETT,T,ANDERSON
TOWN OF ANDERSON,UNITED STATES PRESIDENT/VICE PRESIDENT,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN (WE THE PEOPLE)",0,BURNETT,T,ANDERSON
TOWN OF ANDERSON,UNITED STATES PRESIDENT/VICE PRESIDENT,PETER SONSKI/LAUREN ONAK WRITE - IN,0,BURNETT,T,ANDERSON
TOWN OF ANDERSON,UNITED STATES PRESIDENT/VICE PRESIDENT,CHERUNDA LYNN FOX WRITE - IN,0,BURNETT,T,ANDERSON
TOWN OF ANDERSON,UNITED STATES PRESIDENT/VICE PRESIDENT,BRIAN KIENITZ WRITE - IN,0,BURNETT,T,ANDERSON
TOWN OF ANDERSON,UNITED STATES PRESIDENT/VICE PRESIDENT,DOUG JENKINS / KIMBERLY LALONDE WRITE - IN,0,BURNETT,T,ANDERSON
TOWN OF ANDERSON,UNITED STATES PRESIDENT/VICE PRESIDENT,FUTURE MADAM POTUS / JESSICA KENNEDY WRITE - IN,0,BURNETT,T,ANDERSON
TOWN OF ANDERSON,UNITED STATES PRESIDENT/VICE PRESIDENT,"ANDRE RAMONE MCNEIL, SR. WRITE - IN",0,BURNETT,T,ANDERSON
TOWN OF ANDERSON,UNITED STATES PRESIDENT/VICE PRESIDENT,SCATTERING,0,BURNETT,T,ANDERSON
TOWN OF ANDERSON,UNITED STATES SENATOR,TAMMY BALDWIN (DEMOCRATIC),58,BURNETT,T,ANDERSON
TOWN OF ANDERSON,UNITED STATES SENATOR,ERIC HOVDE (REPUBLICAN),220,BURNETT,T,ANDERSON
TOWN OF ANDERSON,UNITED STATES SENATOR,PHIL ANDERSON (DISRUPT THE CORRUPTION),3,BURNETT,T,ANDERSON
TOWN OF ANDERSON,UNITED STATES SENATOR,THOMAS LEAGER (AMERICA FIRST),3,BURNETT,T,ANDERSON
TOWN OF ANDERSON,UNITED STATES SENATOR,JOHN SCHIESS WRITE - IN,0,BURNETT,T,ANDERSON
TOWN OF ANDERSON,UNITED STATES SENATOR,SCATTERING,0,BURNETT,T,ANDERSON
TOWN OF ANDERSON,REPRESENTATIVE IN CONGRESS DISTRICT 7,KYLE KILBOURN (DEMOCRATIC),55,BURNETT,T,ANDERSON
TOWN OF ANDERSON,REPRESENTATIVE IN CONGRESS DISTRICT 7,TOM TIFFANY (REPUBLICAN),225,BURNETT,T,ANDERSON
TOWN OF ANDERSON,REPRESENTATIVE IN CONGRESS DISTRICT 7,SCATTERING,0,BURNETT,T,ANDERSON
TOWN OF ANDERSON,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 74,JEANNE RAND BRUCE (DEMOCRATIC),NA,BURNETT,T,ANDERSON
TOWN OF ANDERSON,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 74,CHANZ J. GREEN (REPUBLICAN),NA,BURNETT,T,ANDERSON
TOWN OF ANDERSON,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 74,SCATTERING,NA,BURNETT,T,ANDERSON
TOWN OF ANDERSON,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 75,JANE KLEISS (DEMOCRATIC),55,BURNETT,T,ANDERSON
TOWN OF ANDERSON,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 75,DUKE TUCKER (REPUBLICAN),230,BURNETT,T,ANDERSON
TOWN OF ANDERSON,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 75,SCATTERING,0,BURNETT,T,ANDERSON
TOWN OF ANDERSON,BURNETT COUNTY DISTRICT ATTORNEY,KEVIN SCHMIDT (INDEPENDENT),241,BURNETT,T,ANDERSON
TOWN OF ANDERSON,BURNETT COUNTY DISTRICT ATTORNEY,SCATTERING,0,BURNETT,T,ANDERSON
TOWN OF ANDERSON,COUNTY CLERK,WANDA HINRICHS (DEMOCRATIC),221,BURNETT,T,ANDERSON
TOWN OF ANDERSON,COUNTY CLERK,SCATTERING,0,BURNETT,T,ANDERSON
TOWN OF ANDERSON,COUNTY TREASURER,BOBBI JO WICKMAN (INDEPENDENT),246,BURNETT,T,ANDERSON
TOWN OF ANDERSON,COUNTY TREASURER,SCATTERING,0,BURNETT,T,ANDERSON
TOWN OF ANDERSON,REGISTER OF DEEDS,JEANNE TAYLOR (INDEPENDENT),248,BURNETT,T,ANDERSON
TOWN OF ANDERSON,REGISTER OF DEEDS,SCATTERING,0,BURNETT,T,ANDERSON
TOWN OF ANDERSON,NORTHWOOD SCHOOL DISTRICT - EXCEED THE REVENUE LIMIT,YES,NA,BURNETT,T,ANDERSON
TOWN OF ANDERSON,NORTHWOOD SCHOOL DISTRICT - EXCEED THE REVENUE LIMIT,NO,NA,BURNETT,T,ANDERSON
TOWN OF ANDERSON,FREDERIC SCHOOL DISTRICT - EXCEED THE REVENUE LIMIT,YES,NA,BURNETT,T,ANDERSON
TOWN OF ANDERSON,FREDERIC SCHOOL DISTRICT - EXCEED THE REVENUE LIMIT,NO,NA,BURNETT,T,ANDERSON
TOWN OF ANDERSON,SHELL LAKE SCHOOL REFERENDUM - EXCEED THE REVENUE LIMIT,YES,NA,BURNETT,T,ANDERSON
TOWN OF ANDERSON,SHELL LAKE SCHOOL REFERENDUM - EXCEED THE REVENUE LIMIT,NO,NA,BURNETT,T,ANDERSON
TOWN OF ANDERSON,SIREN SCHOOL REFERENDUM - ISSUE GENERAL OBILIGATION BONDS,YES,NA,BURNETT,T,ANDERSON
TOWN OF ANDERSON,SIREN SCHOOL REFERENDUM - ISSUE GENERAL OBILIGATION BONDS,NO,NA,BURNETT,T,ANDERSON
TOWN OF BLAINE,STATE REFERENDUM QUESTION 1 ELIGIBILITY TO VOTE,YES,144,BURNETT,T,BLAINE
TOWN OF BLAINE,STATE REFERENDUM QUESTION 1 ELIGIBILITY TO VOTE,NO,17,BURNETT,T,BLAINE
TOWN OF BLAINE,UNITED STATES PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),38,BURNETT,T,BLAINE
TOWN OF BLAINE,UNITED STATES PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP / JD VANCE (REPUBLICAN,128,BURNETT,T,BLAINE
TOWN OF BLAINE,UNITED STATES PRESIDENT/VICE PRESIDENT,RANDALL TERRY/ STEPHEN BRODEN (CONSTITUTION),0,BURNETT,T,BLAINE
TOWN OF BLAINE,UNITED STATES PRESIDENT/VICE PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT (LIBERTARIAN),0,BURNETT,T,BLAINE
TOWN OF BLAINE,UNITED STATES PRESIDENT/VICE PRESIDENT,JILL STEIN / RUDOLPH WARE (WISCONSIN GREEN),0,BURNETT,T,BLAINE
TOWN OF BLAINE,UNITED STATES PRESIDENT/VICE PRESIDENT,CLAUDIA DE LA CRUZ / KARINA GARCIA (PARTY FOR SOCIALISM AND LIBERATION),0,BURNETT,T,BLAINE
TOWN OF BLAINE,UNITED STATES PRESIDENT/VICE PRESIDENT,CORNEL WEST / MELINA ABDULLAH (JUSTICE FOR ALL),0,BURNETT,T,BLAINE
TOWN OF BLAINE,UNITED STATES PRESIDENT/VICE PRESIDENT,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN (WE THE PEOPLE)",2,BURNETT,T,BLAINE
