contest,candidate,votes,reporting_unit,county,ctv,municipality
PRESIDENT / VICE PRESIDENT,DEM HARRIS / WALZ,243,T BRILLION WDS 1-2,CALUMET,T,BRILLION
PRESIDENT / VICE PRESIDENT,REP TRUMP / VANCE,733,T BRILLION WDS 1-2,CALUMET,T,BRILLION
PRESIDENT / VICE PRESIDENT,CON TERRY / BRODEN,1,T BRILLION WDS 1-2,CALUMET,T,BRILLION
PRESIDENT / VICE PRESIDENT,LIB OLIVER / TER MAAT,7,T BRILLION WDS 1-2,CALUMET,T,BRILLION
PRESIDENT / VICE PRESIDENT,WGP STEIN / WARE,5,T BRILLION WDS 1-2,CALUMET,T,BRILLION
PRESIDENT / VICE PRESIDENT,IND DE LA CRUZ / GARCIA,2,T BRILLION WDS 1-2,CALUMET,T,BRILLION
PRESIDENT / VICE PRESIDENT,IND WEST / ABDULLAH,1,T BRILLION WDS 1-2,CALUMET,T,BRILLION
PRESIDENT / VICE PRESIDENT,"IND KENNEDY, JR. / SHANAHAN",10,T BRILLION WDS 1-2,CALUMET,T,BRILLION
PRESIDENT / VICE PRESIDENT,WRITE-IN TOTALS,3,T BRILLION WDS 1-2,CALUMET,T,BRILLION
REP. IN CONGRESS DIST 8 EXPIRING,DEM KRISTIN LYERLY,266,T BRILLION WDS 1-2,CALUMET,T,BRILLION
REP. IN CONGRESS DIST 8 EXPIRING,REP TONY WIED,723,T BRILLION WDS 1-2,CALUMET,T,BRILLION
REP. IN CONGRESS DIST 8 EXPIRING,WRITE-IN TOTALS,1,T BRILLION WDS 1-2,CALUMET,T,BRILLION
UNITED STATES SENATOR,DEM TAMMY BALDWIN,253,T BRILLION WDS 1-2,CALUMET,T,BRILLION
UNITED STATES SENATOR,REP ERIC HOVDE,717,T BRILLION WDS 1-2,CALUMET,T,BRILLION
UNITED STATES SENATOR,IND PHIL ANDERSON,9,T BRILLION WDS 1-2,CALUMET,T,BRILLION
UNITED STATES SENATOR,IND THOMAS LEAGER,16,T BRILLION WDS 1-2,CALUMET,T,BRILLION
UNITED STATES SENATOR,WRITE-IN TOTALS,1,T BRILLION WDS 1-2,CALUMET,T,BRILLION
REP. IN CONGRESS DIST 8 FULL TERM,DEM KRISTIN LYERLY,272,T BRILLION WDS 1-2,CALUMET,T,BRILLION
REP. IN CONGRESS DIST 8 FULL TERM,REP TONY WIED,711,T BRILLION WDS 1-2,CALUMET,T,BRILLION
REP. IN CONGRESS DIST 8 FULL TERM,WRITE-IN TOTALS,1,T BRILLION WDS 1-2,CALUMET,T,BRILLION
REPRESENTATIVE TO THE ASSEMBLY DIST 3,DEM JASON SCHMITZ,212,T BRILLION WDS 1-2,CALUMET,T,BRILLION
REPRESENTATIVE TO THE ASSEMBLY DIST 3,REP RON TUSLER,765,T BRILLION WDS 1-2,CALUMET,T,BRILLION
REPRESENTATIVE TO THE ASSEMBLY DIST 3,WRITE-IN TOTALS,3,T BRILLION WDS 1-2,CALUMET,T,BRILLION
CALUMET DISTRICT ATTORNEY,REP NATHAN F. HABERMAN,838,T BRILLION WDS 1-2,CALUMET,T,BRILLION
CALUMET DISTRICT ATTORNEY,WRITE-IN TOTALS,9,T BRILLION WDS 1-2,CALUMET,T,BRILLION
CALUMET COUNTY CLERK,REP BETH A. HAUSER,885,T BRILLION WDS 1-2,CALUMET,T,BRILLION
CALUMET COUNTY CLERK,WRITE-IN TOTALS,10,T BRILLION WDS 1-2,CALUMET,T,BRILLION
CALUMET TREASURER,REP MICHAEL V. SCHLAAK,875,T BRILLION WDS 1-2,CALUMET,T,BRILLION
CALUMET TREASURER,WRITE-IN TOTALS,10,T BRILLION WDS 1-2,CALUMET,T,BRILLION
CALUMET REGISTER OF DEEDS,REP TAMI J. ALTEN,882,T BRILLION WDS 1-2,CALUMET,T,BRILLION
CALUMET REGISTER OF DEEDS,WRITE-IN TOTALS,9,T BRILLION WDS 1-2,CALUMET,T,BRILLION
ELIGIBILITY TO VOTE,YES,822,T BRILLION WDS 1-2,CALUMET,T,BRILLION
ELIGIBILITY TO VOTE,NO,122,T BRILLION WDS 1-2,CALUMET,T,BRILLION
PRESIDENT / VICE PRESIDENT,DEM HARRIS / WALZ,200,T BROTHERTOWN WDS 1-2,CALUMET,T,BROTHERTOWN
PRESIDENT / VICE PRESIDENT,REP TRUMP / VANCE,653,T BROTHERTOWN WDS 1-2,CALUMET,T,BROTHERTOWN
PRESIDENT / VICE PRESIDENT,CON TERRY / BRODEN,0,T BROTHERTOWN WDS 1-2,CALUMET,T,BROTHERTOWN
PRESIDENT / VICE PRESIDENT,LIB OLIVER / TER MAAT,0,T BROTHERTOWN WDS 1-2,CALUMET,T,BROTHERTOWN
PRESIDENT / VICE PRESIDENT,WGP STEIN / WARE,2,T BROTHERTOWN WDS 1-2,CALUMET,T,BROTHERTOWN
PRESIDENT / VICE PRESIDENT,IND DE LA CRUZ / GARCIA,1,T BROTHERTOWN WDS 1-2,CALUMET,T,BROTHERTOWN
PRESIDENT / VICE PRESIDENT,IND WEST / ABDULLAH,0,T BROTHERTOWN WDS 1-2,CALUMET,T,BROTHERTOWN
PRESIDENT / VICE PRESIDENT,"IND KENNEDY, JR. / SHANAHAN",9,T BROTHERTOWN WDS 1-2,CALUMET,T,BROTHERTOWN
PRESIDENT / VICE PRESIDENT,WRITE-IN TOTALS,0,T BROTHERTOWN WDS 1-2,CALUMET,T,BROTHERTOWN
UNITED STATES SENATOR,DEM TAMMY BALDWIN,209,T BROTHERTOWN WDS 1-2,CALUMET,T,BROTHERTOWN
UNITED STATES SENATOR,REP ERIC HOVDE,643,T BROTHERTOWN WDS 1-2,CALUMET,T,BROTHERTOWN
UNITED STATES SENATOR,IND PHIL ANDERSON,9,T BROTHERTOWN WDS 1-2,CALUMET,T,BROTHERTOWN
UNITED STATES SENATOR,IND THOMAS LEAGER,6,T BROTHERTOWN WDS 1-2,CALUMET,T,BROTHERTOWN
UNITED STATES SENATOR,WRITE-IN TOTALS,0,T BROTHERTOWN WDS 1-2,CALUMET,T,BROTHERTOWN
REPRESENTATIVE IN CONGRESS DIST 6,DEM JOHN ZARBANO,166,T BROTHERTOWN WDS 1-2,CALUMET,T,BROTHERTOWN
REPRESENTATIVE IN CONGRESS DIST 6,REP GLENN GROTHMAN,670,T BROTHERTOWN WDS 1-2,CALUMET,T,BROTHERTOWN
