reporting_unit,contest,candidate,votes,county,ctv,municipality
T / ANSON W1-3,US SENATE,BALDWIN,594,CHIPPEWA,T,ANSON
T / ANSON W1-3,US SENATE,HOVDE,970,CHIPPEWA,T,ANSON
T / ANSON W1-3,US SENATE,ANDERSON,21,CHIPPEWA,T,ANSON
T / ANSON W1-3,US SENATE,LEAGER,13,CHIPPEWA,T,ANSON
T / ANSON W1-3,US SENATE,SCHIESS,0,CHIPPEWA,T,ANSON
T / ANSON W1-3,US SENATE,WRITE-IN,0,CHIPPEWA,T,ANSON
T / ARTHUR,US SENATE,BALDWIN,120,CHIPPEWA,T,ARTHUR
T / ARTHUR,US SENATE,HOVDE,301,CHIPPEWA,T,ARTHUR
T / ARTHUR,US SENATE,ANDERSON,11,CHIPPEWA,T,ARTHUR
T / ARTHUR,US SENATE,LEAGER,6,CHIPPEWA,T,ARTHUR
T / ARTHUR,US SENATE,SCHIESS,0,CHIPPEWA,T,ARTHUR
T / ARTHUR,US SENATE,WRITE-IN,0,CHIPPEWA,T,ARTHUR
T / AUBURN,US SENATE,BALDWIN,125,CHIPPEWA,T,AUBURN
T / AUBURN,US SENATE,HOVDE,316,CHIPPEWA,T,AUBURN
T / AUBURN,US SENATE,ANDERSON,5,CHIPPEWA,T,AUBURN
T / AUBURN,US SENATE,LEAGER,5,CHIPPEWA,T,AUBURN
T / AUBURN,US SENATE,SCHIESS,0,CHIPPEWA,T,AUBURN
T / AUBURN,US SENATE,WRITE-IN,0,CHIPPEWA,T,AUBURN
T / BIRCH CREEK,US SENATE,BALDWIN,133,CHIPPEWA,T,BIRCH CREEK
T / BIRCH CREEK,US SENATE,HOVDE,218,CHIPPEWA,T,BIRCH CREEK
T / BIRCH CREEK,US SENATE,ANDERSON,1,CHIPPEWA,T,BIRCH CREEK
T / BIRCH CREEK,US SENATE,LEAGER,3,CHIPPEWA,T,BIRCH CREEK
T / BIRCH CREEK,US SENATE,SCHIESS,0,CHIPPEWA,T,BIRCH CREEK
T / BIRCH CREEK,US SENATE,WRITE-IN,0,CHIPPEWA,T,BIRCH CREEK
T / BLOOMER W1-2,US SENATE,BALDWIN,180,CHIPPEWA,T,BLOOMER
T / BLOOMER W1-2,US SENATE,HOVDE,439,CHIPPEWA,T,BLOOMER
T / BLOOMER W1-2,US SENATE,ANDERSON,10,CHIPPEWA,T,BLOOMER
T / BLOOMER W1-2,US SENATE,LEAGER,7,CHIPPEWA,T,BLOOMER
T / BLOOMER W1-2,US SENATE,SCHIESS,0,CHIPPEWA,T,BLOOMER
T / BLOOMER W1-2,US SENATE,WRITE-IN,0,CHIPPEWA,T,BLOOMER
T / CLEVELAND,US SENATE,BALDWIN,184,CHIPPEWA,T,CLEVELAND
T / CLEVELAND,US SENATE,HOVDE,345,CHIPPEWA,T,CLEVELAND
T / CLEVELAND,US SENATE,ANDERSON,6,CHIPPEWA,T,CLEVELAND
T / CLEVELAND,US SENATE,LEAGER,8,CHIPPEWA,T,CLEVELAND
T / CLEVELAND,US SENATE,SCHIESS,0,CHIPPEWA,T,CLEVELAND
T / CLEVELAND,US SENATE,WRITE-IN,0,CHIPPEWA,T,CLEVELAND
T / COLBURN,US SENATE,BALDWIN,124,CHIPPEWA,T,COLBURN
T / COLBURN,US SENATE,HOVDE,347,CHIPPEWA,T,COLBURN
T / COLBURN,US SENATE,ANDERSON,11,CHIPPEWA,T,COLBURN
T / COLBURN,US SENATE,LEAGER,12,CHIPPEWA,T,COLBURN
T / COLBURN,US SENATE,SCHIESS,0,CHIPPEWA,T,COLBURN
T / COLBURN,US SENATE,WRITE-IN,0,CHIPPEWA,T,COLBURN
T / COOKS VALLEY,US SENATE,BALDWIN,119,CHIPPEWA,T,COOKS VALLEY
T / COOKS VALLEY,US SENATE,HOVDE,345,CHIPPEWA,T,COOKS VALLEY
T / COOKS VALLEY,US SENATE,ANDERSON,2,CHIPPEWA,T,COOKS VALLEY
T / COOKS VALLEY,US SENATE,LEAGER,3,CHIPPEWA,T,COOKS VALLEY
T / COOKS VALLEY,US SENATE,SCHIESS,0,CHIPPEWA,T,COOKS VALLEY
T / COOKS VALLEY,US SENATE,WRITE-IN,0,CHIPPEWA,T,COOKS VALLEY
T / DELMAR W1-2,US SENATE,BALDWIN,152,CHIPPEWA,T,DELMAR
T / DELMAR W1-2,US SENATE,HOVDE,381,CHIPPEWA,T,DELMAR
T / DELMAR W1-2,US SENATE,ANDERSON,6,CHIPPEWA,T,DELMAR
T / DELMAR W1-2,US SENATE,LEAGER,8,CHIPPEWA,T,DELMAR
T / DELMAR W1-2,US SENATE,SCHIESS,0,CHIPPEWA,T,DELMAR
T / DELMAR W1-2,US SENATE,WRITE-IN,0,CHIPPEWA,T,DELMAR
T / EAGLE POINT W1-5,US SENATE,BALDWIN,781,CHIPPEWA,T,EAGLE POINT
T / EAGLE POINT W1-5,US SENATE,HOVDE,1200,CHIPPEWA,T,EAGLE POINT
T / EAGLE POINT W1-5,US SENATE,ANDERSON,31,CHIPPEWA,T,EAGLE POINT
T / EAGLE POINT W1-5,US SENATE,LEAGER,8,CHIPPEWA,T,EAGLE POINT
T / EAGLE POINT W1-5,US SENATE,SCHIESS,0,CHIPPEWA,T,EAGLE POINT
T / EAGLE POINT W1-5,US SENATE,WRITE-IN,0,CHIPPEWA,T,EAGLE POINT
T / EAGLE POINT W6,US SENATE,BALDWIN,85,CHIPPEWA,T,EAGLE POINT
T / EAGLE POINT W6,US SENATE,HOVDE,99,CHIPPEWA,T,EAGLE POINT
T / EAGLE POINT W6,US SENATE,ANDERSON,1,CHIPPEWA,T,EAGLE POINT
T / EAGLE POINT W6,US SENATE,LEAGER,0,CHIPPEWA,T,EAGLE POINT
T / EAGLE POINT W6,US SENATE,SCHIESS,0,CHIPPEWA,T,EAGLE POINT
T / EAGLE POINT W6,US SENATE,WRITE-IN,0,CHIPPEWA,T,EAGLE POINT
T / EDSON W1-2,US SENATE,BALDWIN,156,CHIPPEWA,T,EDSON
T / EDSON W1-2,US SENATE,HOVDE,344,CHIPPEWA,T,EDSON
T / EDSON W1-2,US SENATE,ANDERSON,6,CHIPPEWA,T,EDSON
T / EDSON W1-2,US SENATE,LEAGER,6,CHIPPEWA,T,EDSON
T / EDSON W1-2,US SENATE,SCHIESS,0,CHIPPEWA,T,EDSON
T / EDSON W1-2,US SENATE,WRITE-IN,1,CHIPPEWA,T,EDSON
T / ESTELLA W1-2,US SENATE,BALDWIN,49,CHIPPEWA,T,ESTELLA
T / ESTELLA W1-2,US SENATE,HOVDE,217,CHIPPEWA,T,ESTELLA
T / ESTELLA W1-2,US SENATE,ANDERSON,5,CHIPPEWA,T,ESTELLA
T / ESTELLA W1-2,US SENATE,LEAGER,5,CHIPPEWA,T,ESTELLA
T / ESTELLA W1-2,US SENATE,SCHIESS,0,CHIPPEWA,T,ESTELLA
T / ESTELLA W1-2,US SENATE,WRITE-IN,0,CHIPPEWA,T,ESTELLA
T / GOETZ,US SENATE,BALDWIN,166,CHIPPEWA,T,GOETZ
T / GOETZ,US SENATE,HOVDE,292,CHIPPEWA,T,GOETZ
T / GOETZ,US SENATE,ANDERSON,7,CHIPPEWA,T,GOETZ
T / GOETZ,US SENATE,LEAGER,4,CHIPPEWA,T,GOETZ
T / GOETZ,US SENATE,SCHIESS,0,CHIPPEWA,T,GOETZ
T / GOETZ,US SENATE,WRITE-IN,0,CHIPPEWA,T,GOETZ
T / HALLIE,US SENATE,BALDWIN,62,CHIPPEWA,T,HALLIE
T / HALLIE,US SENATE,HOVDE,57,CHIPPEWA,T,HALLIE
T / HALLIE,US SENATE,ANDERSON,6,CHIPPEWA,T,HALLIE
T / HALLIE,US SENATE,LEAGER,0,CHIPPEWA,T,HALLIE
T / HALLIE,US SENATE,SCHIESS,0,CHIPPEWA,T,HALLIE
T / HALLIE,US SENATE,WRITE-IN,0,CHIPPEWA,T,HALLIE
T / HOWARD,US SENATE,BALDWIN,181,CHIPPEWA,T,HOWARD
T / HOWARD,US SENATE,HOVDE,319,CHIPPEWA,T,HOWARD
T / HOWARD,US SENATE,ANDERSON,7,CHIPPEWA,T,HOWARD
T / HOWARD,US SENATE,LEAGER,4,CHIPPEWA,T,HOWARD
T / HOWARD,US SENATE,SCHIESS,0,CHIPPEWA,T,HOWARD
T / HOWARD,US SENATE,WRITE-IN,0,CHIPPEWA,T,HOWARD
T / LAFAYETTE W1-8,US SENATE,BALDWIN,1753,CHIPPEWA,T,LAFAYETTE
T / LAFAYETTE W1-8,US SENATE,HOVDE,2511,CHIPPEWA,T,LAFAYETTE
T / LAFAYETTE W1-8,US SENATE,ANDERSON,52,CHIPPEWA,T,LAFAYETTE
T / LAFAYETTE W1-8,US SENATE,LEAGER,29,CHIPPEWA,T,LAFAYETTE
T / LAFAYETTE W1-8,US SENATE,SCHIESS,0,CHIPPEWA,T,LAFAYETTE
T / LAFAYETTE W1-8,US SENATE,WRITE-IN,0,CHIPPEWA,T,LAFAYETTE
T / LAKE HOLCOMBE W1-2,US SENATE,BALDWIN,173,CHIPPEWA,T,LAKE HOLCOMBE
T / LAKE HOLCOMBE W1-2,US SENATE,HOVDE,482,CHIPPEWA,T,LAKE HOLCOMBE
T / LAKE HOLCOMBE W1-2,US SENATE,ANDERSON,5,CHIPPEWA,T,LAKE HOLCOMBE
T / LAKE HOLCOMBE W1-2,US SENATE,LEAGER,2,CHIPPEWA,T,LAKE HOLCOMBE
T / LAKE HOLCOMBE W1-2,US SENATE,SCHIESS,0,CHIPPEWA,T,LAKE HOLCOMBE
T / LAKE HOLCOMBE W1-2,US SENATE,WRITE-IN,0,CHIPPEWA,T,LAKE HOLCOMBE
T / RUBY,US SENATE,BALDWIN,62,CHIPPEWA,T,RUBY
T / RUBY,US SENATE,HOVDE,206,CHIPPEWA,T,RUBY
T / RUBY,US SENATE,ANDERSON,2,CHIPPEWA,T,RUBY
T / RUBY,US SENATE,LEAGER,4,CHIPPEWA,T,RUBY
T / RUBY,US SENATE,SCHIESS,0,CHIPPEWA,T,RUBY
T / RUBY,US SENATE,WRITE-IN,0,CHIPPEWA,T,RUBY
T / SAMPSON,US SENATE,BALDWIN,183,CHIPPEWA,T,SAMPSON
T / SAMPSON,US SENATE,HOVDE,425,CHIPPEWA,T,SAMPSON
T / SAMPSON,US SENATE,ANDERSON,6,CHIPPEWA,T,SAMPSON
T / SAMPSON,US SENATE,LEAGER,13,CHIPPEWA,T,SAMPSON
T / SAMPSON,US SENATE,SCHIESS,0,CHIPPEWA,T,SAMPSON
