reporting_unit,contest,candidate,votes,county,ctv,municipality
BEAVER,PRESIDENTIAL AND VICE PRESIDENT,HARRIS WALZ,NA,CLARK,T,BEAVER
BEAVER,PRESIDENTIAL AND VICE PRESIDENT,TRUMP VANCE,NA,CLARK,T,BEAVER
BEAVER,PRESIDENTIAL AND VICE PRESIDENT,TERRY BRODEN,NA,CLARK,T,BEAVER
BEAVER,PRESIDENTIAL AND VICE PRESIDENT,OLIVER MAAT,NA,CLARK,T,BEAVER
BEAVER,PRESIDENTIAL AND VICE PRESIDENT,STEIN WARE,NA,CLARK,T,BEAVER
BEAVER,PRESIDENTIAL AND VICE PRESIDENT,DE LA CRUZ GARCIA,NA,CLARK,T,BEAVER
BEAVER,PRESIDENTIAL AND VICE PRESIDENT,WEST ABDULLAH,NA,CLARK,T,BEAVER
BEAVER,PRESIDENTIAL AND VICE PRESIDENT,KENNEDY SHANAHAN,NA,CLARK,T,BEAVER
BUTLER,PRESIDENTIAL AND VICE PRESIDENT,HARRIS WALZ,NA,CLARK,T,BUTLER
BUTLER,PRESIDENTIAL AND VICE PRESIDENT,TRUMP VANCE,NA,CLARK,T,BUTLER
BUTLER,PRESIDENTIAL AND VICE PRESIDENT,TERRY BRODEN,NA,CLARK,T,BUTLER
BUTLER,PRESIDENTIAL AND VICE PRESIDENT,OLIVER MAAT,NA,CLARK,T,BUTLER
BUTLER,PRESIDENTIAL AND VICE PRESIDENT,STEIN WARE,NA,CLARK,T,BUTLER
BUTLER,PRESIDENTIAL AND VICE PRESIDENT,DE LA CRUZ GARCIA,NA,CLARK,T,BUTLER
BUTLER,PRESIDENTIAL AND VICE PRESIDENT,WEST ABDULLAH,NA,CLARK,T,BUTLER
BUTLER,PRESIDENTIAL AND VICE PRESIDENT,KENNEDY SHANAHAN,NA,CLARK,T,BUTLER
COLBY W 1-2-3,PRESIDENTIAL AND VICE PRESIDENT,HARRIS WALZ,NA,CLARK,T,COLBY 
COLBY W 1-2-3,PRESIDENTIAL AND VICE PRESIDENT,TRUMP VANCE,NA,CLARK,T,COLBY 
COLBY W 1-2-3,PRESIDENTIAL AND VICE PRESIDENT,TERRY BRODEN,NA,CLARK,T,COLBY 
COLBY W 1-2-3,PRESIDENTIAL AND VICE PRESIDENT,OLIVER MAAT,NA,CLARK,T,COLBY 
COLBY W 1-2-3,PRESIDENTIAL AND VICE PRESIDENT,STEIN WARE,NA,CLARK,T,COLBY 
COLBY W 1-2-3,PRESIDENTIAL AND VICE PRESIDENT,DE LA CRUZ GARCIA,NA,CLARK,T,COLBY 
COLBY W 1-2-3,PRESIDENTIAL AND VICE PRESIDENT,WEST ABDULLAH,NA,CLARK,T,COLBY 
COLBY W 1-2-3,PRESIDENTIAL AND VICE PRESIDENT,KENNEDY SHANAHAN,NA,CLARK,T,COLBY 
DEWHURST,PRESIDENTIAL AND VICE PRESIDENT,HARRIS WALZ,NA,CLARK,T,DEWHURST
DEWHURST,PRESIDENTIAL AND VICE PRESIDENT,TRUMP VANCE,NA,CLARK,T,DEWHURST
DEWHURST,PRESIDENTIAL AND VICE PRESIDENT,TERRY BRODEN,NA,CLARK,T,DEWHURST
DEWHURST,PRESIDENTIAL AND VICE PRESIDENT,OLIVER MAAT,NA,CLARK,T,DEWHURST
DEWHURST,PRESIDENTIAL AND VICE PRESIDENT,STEIN WARE,NA,CLARK,T,DEWHURST
DEWHURST,PRESIDENTIAL AND VICE PRESIDENT,DE LA CRUZ GARCIA,NA,CLARK,T,DEWHURST
DEWHURST,PRESIDENTIAL AND VICE PRESIDENT,WEST ABDULLAH,NA,CLARK,T,DEWHURST
DEWHURST,PRESIDENTIAL AND VICE PRESIDENT,KENNEDY SHANAHAN,NA,CLARK,T,DEWHURST
EATON-W 1&2,PRESIDENTIAL AND VICE PRESIDENT,HARRIS WALZ,NA,CLARK,T,EATON
EATON-W 1&2,PRESIDENTIAL AND VICE PRESIDENT,TRUMP VANCE,NA,CLARK,T,EATON
EATON-W 1&2,PRESIDENTIAL AND VICE PRESIDENT,TERRY BRODEN,NA,CLARK,T,EATON
EATON-W 1&2,PRESIDENTIAL AND VICE PRESIDENT,OLIVER MAAT,NA,CLARK,T,EATON
EATON-W 1&2,PRESIDENTIAL AND VICE PRESIDENT,STEIN WARE,NA,CLARK,T,EATON
EATON-W 1&2,PRESIDENTIAL AND VICE PRESIDENT,DE LA CRUZ GARCIA,NA,CLARK,T,EATON
EATON-W 1&2,PRESIDENTIAL AND VICE PRESIDENT,WEST ABDULLAH,NA,CLARK,T,EATON
EATON-W 1&2,PRESIDENTIAL AND VICE PRESIDENT,KENNEDY SHANAHAN,NA,CLARK,T,EATON
FOSTER,PRESIDENTIAL AND VICE PRESIDENT,HARRIS WALZ,NA,CLARK,T,FOSTER
FOSTER,PRESIDENTIAL AND VICE PRESIDENT,TRUMP VANCE,NA,CLARK,T,FOSTER
FOSTER,PRESIDENTIAL AND VICE PRESIDENT,TERRY BRODEN,NA,CLARK,T,FOSTER
FOSTER,PRESIDENTIAL AND VICE PRESIDENT,OLIVER MAAT,NA,CLARK,T,FOSTER
FOSTER,PRESIDENTIAL AND VICE PRESIDENT,STEIN WARE,NA,CLARK,T,FOSTER
FOSTER,PRESIDENTIAL AND VICE PRESIDENT,DE LA CRUZ GARCIA,NA,CLARK,T,FOSTER
FOSTER,PRESIDENTIAL AND VICE PRESIDENT,WEST ABDULLAH,NA,CLARK,T,FOSTER
FOSTER,PRESIDENTIAL AND VICE PRESIDENT,KENNEDY SHANAHAN,NA,CLARK,T,FOSTER
FREMONT-W 1&2,PRESIDENTIAL AND VICE PRESIDENT,HARRIS WALZ,NA,CLARK,T,FREMONT
FREMONT-W 1&2,PRESIDENTIAL AND VICE PRESIDENT,TRUMP VANCE,NA,CLARK,T,FREMONT
FREMONT-W 1&2,PRESIDENTIAL AND VICE PRESIDENT,TERRY BRODEN,NA,CLARK,T,FREMONT
