contest,candidate,votes,reporting_unit,county,ctv,municipality
PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,0,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,0,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,0,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,0,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
PRESIDENT / VICE PRESIDENT,WGR JILL STEIN / RUDOLPH WARE,0,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
PRESIDENT / VICE PRESIDENT,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
PRESIDENT / VICE PRESIDENT,IND CORNEL WEST / MELINA ABDULLAH,0,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
PRESIDENT / VICE PRESIDENT,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",0,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
PRESIDENT / VICE PRESIDENT,WRITE-IN TOTALS,0,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
UNITED STATES SENATOR,DEM TAMMY BALDWIN,0,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
UNITED STATES SENATOR,REP ERIC HOVDE,0,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
UNITED STATES SENATOR,IND PHIL ANDERSON,0,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
UNITED STATES SENATOR,IND THOMAS LEAGER,0,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
UNITED STATES SENATOR,WRITE-IN TOTALS,0,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
REPRESENTATIVE IN CONGRESS DISTRICT 6,DEM JOHN ZARBANO,0,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
REPRESENTATIVE IN CONGRESS DISTRICT 6,REP GLENN GROTHMAN,0,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
REPRESENTATIVE IN CONGRESS DISTRICT 6,WRITE-IN TOTALS,0,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
STATE SENATOR DISTRICT 14,DEM SARAH KEYESKI,0,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
