reporting_unit,contest,candidate,votes,county,ctv,municipality
TOWN OF BRIDGEPORT,"CRAWFORD COUNTY - NOVEMBER 5, 2024-UNOFFICIAL_PRESIDENT/VICE PRESIDENT",HARRIS/ WALZ,224,CRAWFORD,T,BRIDGEPORT
TOWN OF BRIDGEPORT,"CRAWFORD COUNTY - NOVEMBER 5, 2024-UNOFFICIAL_PRESIDENT/VICE PRESIDENT",TRUMP/ VANCE,389,CRAWFORD,T,BRIDGEPORT
TOWN OF BRIDGEPORT,"CRAWFORD COUNTY - NOVEMBER 5, 2024-UNOFFICIAL_PRESIDENT/VICE PRESIDENT",TERRY/ BRODEN,1,CRAWFORD,T,BRIDGEPORT
TOWN OF BRIDGEPORT,"CRAWFORD COUNTY - NOVEMBER 5, 2024-UNOFFICIAL_PRESIDENT/VICE PRESIDENT",OLIVER/ TER MAAT,1,CRAWFORD,T,BRIDGEPORT
TOWN OF BRIDGEPORT,"CRAWFORD COUNTY - NOVEMBER 5, 2024-UNOFFICIAL_PRESIDENT/VICE PRESIDENT",STEIN/ WARE,1,CRAWFORD,T,BRIDGEPORT
TOWN OF BRIDGEPORT,"CRAWFORD COUNTY - NOVEMBER 5, 2024-UNOFFICIAL_PRESIDENT/VICE PRESIDENT",DE LA CRUZ/ GARCIA,0,CRAWFORD,T,BRIDGEPORT
TOWN OF BRIDGEPORT,"CRAWFORD COUNTY - NOVEMBER 5, 2024-UNOFFICIAL_PRESIDENT/VICE PRESIDENT",WEST/ ABDULLAH,0,CRAWFORD,T,BRIDGEPORT
TOWN OF BRIDGEPORT,"CRAWFORD COUNTY - NOVEMBER 5, 2024-UNOFFICIAL_PRESIDENT/VICE PRESIDENT","KENNEDY, JR./SHANAHAN",7,CRAWFORD,T,BRIDGEPORT
TOWN OF BRIDGEPORT,"CRAWFORD COUNTY - NOVEMBER 5, 2024-UNOFFICIAL_PRESIDENT/VICE PRESIDENT",SONSKI/ ONAK (WRITE IN),0,CRAWFORD,T,BRIDGEPORT
TOWN OF BRIDGEPORT,"CRAWFORD COUNTY - NOVEMBER 5, 2024-UNOFFICIAL_PRESIDENT/VICE PRESIDENT",CHERUNDA FOX (WRITE IN),0,CRAWFORD,T,BRIDGEPORT
TOWN OF BRIDGEPORT,"CRAWFORD COUNTY - NOVEMBER 5, 2024-UNOFFICIAL_PRESIDENT/VICE PRESIDENT",BRIAN KIENITZ (WRITE IN),0,CRAWFORD,T,BRIDGEPORT
TOWN OF BRIDGEPORT,"CRAWFORD COUNTY - NOVEMBER 5, 2024-UNOFFICIAL_PRESIDENT/VICE PRESIDENT",JENKINS/ LALONDE (WRITE IN),0,CRAWFORD,T,BRIDGEPORT
TOWN OF BRIDGEPORT,"CRAWFORD COUNTY - NOVEMBER 5, 2024-UNOFFICIAL_PRESIDENT/VICE PRESIDENT",POTUS/ KENNEDY (WRITE IN),0,CRAWFORD,T,BRIDGEPORT
