reporting_unit,contest,candidate,votes,county,ctv,municipality
T ASHIPPUN W1-4,PRESIDENT/VICE PRESIDENT,DEM HARRIS / WALZ,0,DODGE,T,ASHIPPUN
T ASHIPPUN W1-4,PRESIDENT/VICE PRESIDENT,REP TRUMP / VANCE,0,DODGE,T,ASHIPPUN
T ASHIPPUN W1-4,PRESIDENT/VICE PRESIDENT,CON TERRY / BRODEN,0,DODGE,T,ASHIPPUN
T ASHIPPUN W1-4,PRESIDENT/VICE PRESIDENT,LIB OLIVER / TER MAAT,0,DODGE,T,ASHIPPUN
T ASHIPPUN W1-4,PRESIDENT/VICE PRESIDENT,WGR STEIN / WARE,0,DODGE,T,ASHIPPUN
T ASHIPPUN W1-4,PRESIDENT/VICE PRESIDENT,IND DE LA CRUZ / GARCIA,0,DODGE,T,ASHIPPUN
T ASHIPPUN W1-4,PRESIDENT/VICE PRESIDENT,IND WEST / ABDULLAH,0,DODGE,T,ASHIPPUN
T ASHIPPUN W1-4,PRESIDENT/VICE PRESIDENT,"IND KENNEDY, JR. / SHANAHAN",0,DODGE,T,ASHIPPUN
T ASHIPPUN W1-4,PRESIDENT/VICE PRESIDENT,WRITE-IN TOTALS,0,DODGE,T,ASHIPPUN
"T BEAVER DAM W1&2, 7-12",PRESIDENT/VICE PRESIDENT,DEM HARRIS / WALZ,0,DODGE,T,BEAVER DAM
"T BEAVER DAM W1&2, 7-12",PRESIDENT/VICE PRESIDENT,REP TRUMP / VANCE,0,DODGE,T,BEAVER DAM
"T BEAVER DAM W1&2, 7-12",PRESIDENT/VICE PRESIDENT,CON TERRY / BRODEN,0,DODGE,T,BEAVER DAM
"T BEAVER DAM W1&2, 7-12",PRESIDENT/VICE PRESIDENT,LIB OLIVER / TER MAAT,0,DODGE,T,BEAVER DAM
"T BEAVER DAM W1&2, 7-12",PRESIDENT/VICE PRESIDENT,WGR STEIN / WARE,0,DODGE,T,BEAVER DAM
"T BEAVER DAM W1&2, 7-12",PRESIDENT/VICE PRESIDENT,IND DE LA CRUZ / GARCIA,0,DODGE,T,BEAVER DAM
"T BEAVER DAM W1&2, 7-12",PRESIDENT/VICE PRESIDENT,IND WEST / ABDULLAH,0,DODGE,T,BEAVER DAM
"T BEAVER DAM W1&2, 7-12",PRESIDENT/VICE PRESIDENT,"IND KENNEDY, JR. / SHANAHAN",0,DODGE,T,BEAVER DAM
"T BEAVER DAM W1&2, 7-12",PRESIDENT/VICE PRESIDENT,WRITE-IN TOTALS,0,DODGE,T,BEAVER DAM
T BEAVER DAM W3-6,PRESIDENT/VICE PRESIDENT,DEM HARRIS / WALZ,0,DODGE,T,BEAVER DAM
T BEAVER DAM W3-6,PRESIDENT/VICE PRESIDENT,REP TRUMP / VANCE,0,DODGE,T,BEAVER DAM
T BEAVER DAM W3-6,PRESIDENT/VICE PRESIDENT,CON TERRY / BRODEN,0,DODGE,T,BEAVER DAM
T BEAVER DAM W3-6,PRESIDENT/VICE PRESIDENT,LIB OLIVER / TER MAAT,0,DODGE,T,BEAVER DAM
T BEAVER DAM W3-6,PRESIDENT/VICE PRESIDENT,WGR STEIN / WARE,0,DODGE,T,BEAVER DAM
T BEAVER DAM W3-6,PRESIDENT/VICE PRESIDENT,IND DE LA CRUZ / GARCIA,0,DODGE,T,BEAVER DAM
T BEAVER DAM W3-6,PRESIDENT/VICE PRESIDENT,IND WEST / ABDULLAH,0,DODGE,T,BEAVER DAM
T BEAVER DAM W3-6,PRESIDENT/VICE PRESIDENT,"IND KENNEDY, JR. / SHANAHAN",0,DODGE,T,BEAVER DAM
T BEAVER DAM W3-6,PRESIDENT/VICE PRESIDENT,WRITE-IN TOTALS,0,DODGE,T,BEAVER DAM
T BURNETT W1&2,PRESIDENT/VICE PRESIDENT,DEM HARRIS / WALZ,0,DODGE,T,BURNETT
T BURNETT W1&2,PRESIDENT/VICE PRESIDENT,REP TRUMP / VANCE,0,DODGE,T,BURNETT
T BURNETT W1&2,PRESIDENT/VICE PRESIDENT,CON TERRY / BRODEN,0,DODGE,T,BURNETT
T BURNETT W1&2,PRESIDENT/VICE PRESIDENT,LIB OLIVER / TER MAAT,0,DODGE,T,BURNETT
T BURNETT W1&2,PRESIDENT/VICE PRESIDENT,WGR STEIN / WARE,0,DODGE,T,BURNETT
T BURNETT W1&2,PRESIDENT/VICE PRESIDENT,IND DE LA CRUZ / GARCIA,0,DODGE,T,BURNETT
T BURNETT W1&2,PRESIDENT/VICE PRESIDENT,IND WEST / ABDULLAH,0,DODGE,T,BURNETT
T BURNETT W1&2,PRESIDENT/VICE PRESIDENT,"IND KENNEDY, JR. / SHANAHAN",0,DODGE,T,BURNETT
T BURNETT W1&2,PRESIDENT/VICE PRESIDENT,WRITE-IN TOTALS,0,DODGE,T,BURNETT
T CALAMUS W1&2,PRESIDENT/VICE PRESIDENT,DEM HARRIS / WALZ,0,DODGE,T,CALAMUS
T CALAMUS W1&2,PRESIDENT/VICE PRESIDENT,REP TRUMP / VANCE,0,DODGE,T,CALAMUS
T CALAMUS W1&2,PRESIDENT/VICE PRESIDENT,CON TERRY / BRODEN,0,DODGE,T,CALAMUS
T CALAMUS W1&2,PRESIDENT/VICE PRESIDENT,LIB OLIVER / TER MAAT,0,DODGE,T,CALAMUS
T CALAMUS W1&2,PRESIDENT/VICE PRESIDENT,WGR STEIN / WARE,0,DODGE,T,CALAMUS
T CALAMUS W1&2,PRESIDENT/VICE PRESIDENT,IND DE LA CRUZ / GARCIA,0,DODGE,T,CALAMUS
T CALAMUS W1&2,PRESIDENT/VICE PRESIDENT,IND WEST / ABDULLAH,0,DODGE,T,CALAMUS
T CALAMUS W1&2,PRESIDENT/VICE PRESIDENT,"IND KENNEDY, JR. / SHANAHAN",0,DODGE,T,CALAMUS
T CALAMUS W1&2,PRESIDENT/VICE PRESIDENT,WRITE-IN TOTALS,0,DODGE,T,CALAMUS
T CHESTER W1&2,PRESIDENT/VICE PRESIDENT,DEM HARRIS / WALZ,0,DODGE,T,CHESTER
T CHESTER W1&2,PRESIDENT/VICE PRESIDENT,REP TRUMP / VANCE,0,DODGE,T,CHESTER
T CHESTER W1&2,PRESIDENT/VICE PRESIDENT,CON TERRY / BRODEN,0,DODGE,T,CHESTER
T CHESTER W1&2,PRESIDENT/VICE PRESIDENT,LIB OLIVER / TER MAAT,0,DODGE,T,CHESTER
T CHESTER W1&2,PRESIDENT/VICE PRESIDENT,WGR STEIN / WARE,0,DODGE,T,CHESTER
T CHESTER W1&2,PRESIDENT/VICE PRESIDENT,IND DE LA CRUZ / GARCIA,0,DODGE,T,CHESTER
