reporting_unit,contest,candidate,votes,county,ctv,municipality
"TOWN OF BAILEYS HARBOR, WARD 1 - 3","ASSEMBLY, DISTRICT 1 (VOTE FOR 1)",RENEE PAPLHAM (DEM),558,DOOR,T,BAILEYS HARBOR
"TOWN OF BAILEYS HARBOR, WARD 1 - 3","ASSEMBLY, DISTRICT 1 (VOTE FOR 1)",JOEL KITCHENS (REP),432,DOOR,T,BAILEYS HARBOR
"TOWN OF BRUSSELS, WARD 1 & 2","ASSEMBLY, DISTRICT 1 (VOTE FOR 1)",RENEE PAPLHAM (DEM),165,DOOR,T,BRUSSELS
"TOWN OF BRUSSELS, WARD 1 & 2","ASSEMBLY, DISTRICT 1 (VOTE FOR 1)",JOEL KITCHENS (REP),553,DOOR,T,BRUSSELS
"TOWN OF CLAY BANKS, WARD 1","ASSEMBLY, DISTRICT 1 (VOTE FOR 1)",RENEE PAPLHAM (DEM),102,DOOR,T,CLAY BANKS
"TOWN OF CLAY BANKS, WARD 1","ASSEMBLY, DISTRICT 1 (VOTE FOR 1)",JOEL KITCHENS (REP),164,DOOR,T,CLAY BANKS
"TOWN OF EGG HARBOR, WARD 1- 2","ASSEMBLY, DISTRICT 1 (VOTE FOR 1)",RENEE PAPLHAM (DEM),306,DOOR,T,EGG HARBOR
"TOWN OF EGG HARBOR, WARD 1- 2","ASSEMBLY, DISTRICT 1 (VOTE FOR 1)",JOEL KITCHENS (REP),451,DOOR,T,EGG HARBOR
"TOWN OF EGG HARBOR, WARD 3","ASSEMBLY, DISTRICT 1 (VOTE FOR 1)",RENEE PAPLHAM (DEM),173,DOOR,T,EGG HARBOR
"TOWN OF EGG HARBOR, WARD 3","ASSEMBLY, DISTRICT 1 (VOTE FOR 1)",JOEL KITCHENS (REP),197,DOOR,T,EGG HARBOR
"TOWN OF FORESTVILLE, WARD 1 & 2","ASSEMBLY, DISTRICT 1 (VOTE FOR 1)",RENEE PAPLHAM (DEM),189,DOOR,T,FORESTVILLE
"TOWN OF FORESTVILLE, WARD 1 & 2","ASSEMBLY, DISTRICT 1 (VOTE FOR 1)",JOEL KITCHENS (REP),483,DOOR,T,FORESTVILLE
"TOWN OF GARDNER, WARD 1 & 2","ASSEMBLY, DISTRICT 1 (VOTE FOR 1)",RENEE PAPLHAM (DEM),267,DOOR,T,GARDNER
"TOWN OF GARDNER, WARD 1 & 2","ASSEMBLY, DISTRICT 1 (VOTE FOR 1)",JOEL KITCHENS (REP),597,DOOR,T,GARDNER
"TOWN OF GIBRALTAR, WARD 1 & 2","ASSEMBLY, DISTRICT 1 (VOTE FOR 1)",RENEE PAPLHAM (DEM),505,DOOR,T,GIBRALTAR
"TOWN OF GIBRALTAR, WARD 1 & 2","ASSEMBLY, DISTRICT 1 (VOTE FOR 1)",JOEL KITCHENS (REP),478,DOOR,T,GIBRALTAR
"TOWN OF JACKSONPORT, WARD 1 & 2","ASSEMBLY, DISTRICT 1 (VOTE FOR 1)",RENEE PAPLHAM (DEM),253,DOOR,T,JACKSONPORT
"TOWN OF JACKSONPORT, WARD 1 & 2","ASSEMBLY, DISTRICT 1 (VOTE FOR 1)",JOEL KITCHENS (REP),374,DOOR,T,JACKSONPORT
"TOWN OF LIBERTY GROVE, WARD 1 - 3","ASSEMBLY, DISTRICT 1 (VOTE FOR 1)",RENEE PAPLHAM (DEM),872,DOOR,T,LIBERTY GROVE
"TOWN OF LIBERTY GROVE, WARD 1 - 3","ASSEMBLY, DISTRICT 1 (VOTE FOR 1)",JOEL KITCHENS (REP),770,DOOR,T,LIBERTY GROVE
"TOWN OF NASEWAUPEE, WARD 1 - 4","ASSEMBLY, DISTRICT 1 (VOTE FOR 1)",RENEE PAPLHAM (DEM),491,DOOR,T,NASEWAUPEE
"TOWN OF NASEWAUPEE, WARD 1 - 4","ASSEMBLY, DISTRICT 1 (VOTE FOR 1)",JOEL KITCHENS (REP),913,DOOR,T,NASEWAUPEE
"TOWN OF SEVASTOPOL, WARD 1","ASSEMBLY, DISTRICT 1 (VOTE FOR 1)",RENEE PAPLHAM (DEM),95,DOOR,T,SEVASTOPOL
"TOWN OF SEVASTOPOL, WARD 1","ASSEMBLY, DISTRICT 1 (VOTE FOR 1)",JOEL KITCHENS (REP),125,DOOR,T,SEVASTOPOL
"TOWN OF SEVASTOPOL, WARD 2 - 5","ASSEMBLY, DISTRICT 1 (VOTE FOR 1)",RENEE PAPLHAM (DEM),765,DOOR,T,SEVASTOPOL
"TOWN OF SEVASTOPOL, WARD 2 - 5","ASSEMBLY, DISTRICT 1 (VOTE FOR 1)",JOEL KITCHENS (REP),1157,DOOR,T,SEVASTOPOL
"TOWN OF STURGEON BAY, WARD 1","ASSEMBLY, DISTRICT 1 (VOTE FOR 1)",RENEE PAPLHAM (DEM),115,DOOR,T,STURGEON BAY
