contest,candidate,votes,reporting_unit,county,ctv,municipality
PRESIDENT / VICE PRESIDENT,DEM HARRIS / WALZ,328,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
PRESIDENT / VICE PRESIDENT,REP TRUMP / VANCE,390,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
PRESIDENT / VICE PRESIDENT,CON TERRY / BRODEN,0,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
PRESIDENT / VICE PRESIDENT,LIB OLIVER / TER MAAT,0,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
PRESIDENT / VICE PRESIDENT,WGN STEIN / WARE,1,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
PRESIDENT / VICE PRESIDENT,IND DE LA CRUZ / GARCIA,1,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
PRESIDENT / VICE PRESIDENT,IND WEST / ABDULLAH,0,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
PRESIDENT / VICE PRESIDENT,"IND KENNEDY, JR. / SHANAHAN",8,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
PRESIDENT / VICE PRESIDENT,WRITE-IN TOTALS,0,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
UNITED STATES SENATOR,DEM TAMMY BALDWIN,328,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
UNITED STATES SENATOR,REP ERIC HOVDE,379,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
UNITED STATES SENATOR,IND PHIL ANDERSON,6,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
UNITED STATES SENATOR,IND THOMAS LEAGER,5,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
UNITED STATES SENATOR,WRITE-IN TOTALS,2,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
"REP IN CONGRESS, DIST 7",DEM KYLE KILBOURN,315,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
"REP IN CONGRESS, DIST 7",REP TOM TIFFANY,387,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
"REP IN CONGRESS, DIST 7",WRITE-IN TOTALS,0,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
"REP TO THE ASSEMBLY, DIST 73",DEM ANGELA STROUD,327,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
"REP TO THE ASSEMBLY, DIST 73",REP FRANK KOSTKA,385,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
"REP TO THE ASSEMBLY, DIST 73",WRITE-IN TOTALS,0,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
DISTRICT ATTORNEY,DEM MARK FRUEHAUF,477,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
DISTRICT ATTORNEY,WRITE-IN TOTALS,18,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
COUNTY CLERK,DEM KACI JO LUNDGREN,500,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
COUNTY CLERK,WRITE-IN TOTALS,12,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
TREASURER,DEM AMY TYSON,492,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
TREASURER,WRITE-IN TOTALS,9,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
REGISTER OF DEEDS,DEM DARCIE J. BURBUL,491,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
REGISTER OF DEEDS,WRITE-IN TOTALS,11,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
STATE REFERENDUM,YES,505,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
STATE REFERENDUM,NO,178,"TOWN OF AMNICON, WARDS 1 & 2",DOUGLAS,T,AMNICON
PRESIDENT / VICE PRESIDENT,DEM HARRIS / WALZ,178,TOWN OF BENNETT,DOUGLAS,T,BENNETT
PRESIDENT / VICE PRESIDENT,REP TRUMP / VANCE,293,TOWN OF BENNETT,DOUGLAS,T,BENNETT
