reporting_unit,contest,candidate,votes,county,ctv,municipality
T COLFAX,PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS/TIM WALZ,253,DUNN,T,COLFAX
T COLFAX,PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP/JD VANCE,507,DUNN,T,COLFAX
T COLFAX,PRESIDENT/VICE PRESIDENT,RANDALL TERRY/STEPHEN BRODEN,2,DUNN,T,COLFAX
T COLFAX,PRESIDENT/VICE PRESIDENT,CHASE OLIVER/MIKE TER MATT,4,DUNN,T,COLFAX
T COLFAX,PRESIDENT/VICE PRESIDENT,JILL STEIN/RUDOPLH WARE,1,DUNN,T,COLFAX
T COLFAX,PRESIDENT/VICE PRESIDENT,CLAUDIA DE LA CRUZ/KARINA GARCIA,0,DUNN,T,COLFAX
T COLFAX,PRESIDENT/VICE PRESIDENT,CORNEL WEST/ MELINA ABDULLAH,0,DUNN,T,COLFAX
T COLFAX,PRESIDENT/VICE PRESIDENT,ROBERT F. KENNEDY JR./NICOLE SHANAHA,5,DUNN,T,COLFAX
T COLFAX,PRESIDENT/VICE PRESIDENT,PETER SONSKI/LAUREN ONAK (WRITE-IN),0,DUNN,T,COLFAX
T COLFAX,PRESIDENT/VICE PRESIDENT,CHERUNDA LYNN FOX (WRITE-IN),0,DUNN,T,COLFAX
T COLFAX,PRESIDENT/VICE PRESIDENT,BRIAN KIENITZ (WIRTE-IN),0,DUNN,T,COLFAX
T COLFAX,PRESIDENT/VICE PRESIDENT,DOUG JENKINS/KIMBERLY LALONDE (WRIT,0,DUNN,T,COLFAX
T COLFAX,PRESIDENT/VICE PRESIDENT,FUTRE MADAM POTUS/JESSICA KENNEDY,0,DUNN,T,COLFAX
T COLFAX,PRESIDENT/VICE PRESIDENT,"ANDRE RAMONE MCNEILL, SR. (WRITE-IN)",0,DUNN,T,COLFAX
T COLFAX,PRESIDENT/VICE PRESIDENT,SCATTERING,3,DUNN,T,COLFAX
T COLFAX,U.S. SENATE,TAMMY BALDWIN,253,DUNN,T,COLFAX
T COLFAX,U.S. SENATE,ERIC HOVDE,492,DUNN,T,COLFAX
T COLFAX,U.S. SENATE,PHIL ANDERSON,11,DUNN,T,COLFAX
T COLFAX,U.S. SENATE,THOMAS LEAGER,14,DUNN,T,COLFAX
T COLFAX,U.S. SENATE,JOHN SCHIESS (WRITE-IN),0,DUNN,T,COLFAX
T COLFAX,U.S. SENATE,SCATTERING,1,DUNN,T,COLFAX
T COLFAX,U.S. HOUSE,REBECCA COOKE,282,DUNN,T,COLFAX
T COLFAX,U.S. HOUSE,DERRICK VAN ORDERN,477,DUNN,T,COLFAX
T COLFAX,U.S. HOUSE,SCATTERING,3,DUNN,T,COLFAX
T COLFAX,STATE SENATE -10,PAUL HAMBLETON,NA,DUNN,T,COLFAX
T COLFAX,STATE SENATE -10,ROB STAFSHOLT,NA,DUNN,T,COLFAX
T COLFAX,STATE SENATE -10,SCATTERING,NA,DUNN,T,COLFAX
T COLFAX,ASSEMBLY - 28,DANEILLE JOHNSON,NA,DUNN,T,COLFAX
T COLFAX,ASSEMBLY - 28,ROB KREIBICH,NA,DUNN,T,COLFAX
T COLFAX,ASSEMBLY - 28,SCATTERING,NA,DUNN,T,COLFAX
