reporting_unit,contest,candidate,votes,county,ctv,municipality
TOWN OF BRIDGE CREEK W1-3,PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,242,EAU CLAIRE,T,BRIDGE CREEK
TOWN OF BRIDGE CREEK W1-3,PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,495,EAU CLAIRE,T,BRIDGE CREEK
TOWN OF BRIDGE CREEK W1-3,PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,1,EAU CLAIRE,T,BRIDGE CREEK
TOWN OF BRIDGE CREEK W1-3,PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,1,EAU CLAIRE,T,BRIDGE CREEK
TOWN OF BRIDGE CREEK W1-3,PRESIDENT / VICE PRESIDENT,WGR JILL STEIN / RUDOLPH WARE,1,EAU CLAIRE,T,BRIDGE CREEK
TOWN OF BRIDGE CREEK W1-3,PRESIDENT / VICE PRESIDENT,PSL CLAUDIA DE LA CRUZ / KARINA GARCIA,1,EAU CLAIRE,T,BRIDGE CREEK
TOWN OF BRIDGE CREEK W1-3,PRESIDENT / VICE PRESIDENT,JFA CORNEL WEST / MELINA ABDULLAH,0,EAU CLAIRE,T,BRIDGE CREEK
TOWN OF BRIDGE CREEK W1-3,PRESIDENT / VICE PRESIDENT,"WTP ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",2,EAU CLAIRE,T,BRIDGE CREEK
TOWN OF BRIDGE CREEK W1-3,PRESIDENT / VICE PRESIDENT,WRITE-IN TOTALS,0,EAU CLAIRE,T,BRIDGE CREEK
TOWN OF BRUNSWICK W1-2,PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,554,EAU CLAIRE,T,BRUNSWICK
TOWN OF BRUNSWICK W1-2,PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,713,EAU CLAIRE,T,BRUNSWICK
TOWN OF BRUNSWICK W1-2,PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,2,EAU CLAIRE,T,BRUNSWICK
TOWN OF BRUNSWICK W1-2,PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,3,EAU CLAIRE,T,BRUNSWICK
TOWN OF BRUNSWICK W1-2,PRESIDENT / VICE PRESIDENT,WGR JILL STEIN / RUDOLPH WARE,3,EAU CLAIRE,T,BRUNSWICK
TOWN OF BRUNSWICK W1-2,PRESIDENT / VICE PRESIDENT,PSL CLAUDIA DE LA CRUZ / KARINA GARCIA,1,EAU CLAIRE,T,BRUNSWICK
TOWN OF BRUNSWICK W1-2,PRESIDENT / VICE PRESIDENT,JFA CORNEL WEST / MELINA ABDULLAH,0,EAU CLAIRE,T,BRUNSWICK
TOWN OF BRUNSWICK W1-2,PRESIDENT / VICE PRESIDENT,"WTP ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",6,EAU CLAIRE,T,BRUNSWICK
TOWN OF BRUNSWICK W1-2,PRESIDENT / VICE PRESIDENT,WRITE-IN TOTALS,0,EAU CLAIRE,T,BRUNSWICK
TOWN OF CLEAR CREEK W1-2,PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,180,EAU CLAIRE,T,CLEAR CREEK
TOWN OF CLEAR CREEK W1-2,PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,318,EAU CLAIRE,T,CLEAR CREEK
TOWN OF CLEAR CREEK W1-2,PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,2,EAU CLAIRE,T,CLEAR CREEK
TOWN OF CLEAR CREEK W1-2,PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,1,EAU CLAIRE,T,CLEAR CREEK
TOWN OF CLEAR CREEK W1-2,PRESIDENT / VICE PRESIDENT,WGR JILL STEIN / RUDOLPH WARE,1,EAU CLAIRE,T,CLEAR CREEK
TOWN OF CLEAR CREEK W1-2,PRESIDENT / VICE PRESIDENT,PSL CLAUDIA DE LA CRUZ / KARINA GARCIA,0,EAU CLAIRE,T,CLEAR CREEK
TOWN OF CLEAR CREEK W1-2,PRESIDENT / VICE PRESIDENT,JFA CORNEL WEST / MELINA ABDULLAH,0,EAU CLAIRE,T,CLEAR CREEK
TOWN OF CLEAR CREEK W1-2,PRESIDENT / VICE PRESIDENT,"WTP ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",4,EAU CLAIRE,T,CLEAR CREEK
TOWN OF CLEAR CREEK W1-2,PRESIDENT / VICE PRESIDENT,WRITE-IN TOTALS,2,EAU CLAIRE,T,CLEAR CREEK
TOWN OF DRAMMEN W1,PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,182,EAU CLAIRE,T,DRAMMEN
TOWN OF DRAMMEN W1,PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,317,EAU CLAIRE,T,DRAMMEN
TOWN OF DRAMMEN W1,PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,0,EAU CLAIRE,T,DRAMMEN
TOWN OF DRAMMEN W1,PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,0,EAU CLAIRE,T,DRAMMEN
TOWN OF DRAMMEN W1,PRESIDENT / VICE PRESIDENT,WGR JILL STEIN / RUDOLPH WARE,0,EAU CLAIRE,T,DRAMMEN
TOWN OF DRAMMEN W1,PRESIDENT / VICE PRESIDENT,PSL CLAUDIA DE LA CRUZ / KARINA GARCIA,0,EAU CLAIRE,T,DRAMMEN
TOWN OF DRAMMEN W1,PRESIDENT / VICE PRESIDENT,JFA CORNEL WEST / MELINA ABDULLAH,0,EAU CLAIRE,T,DRAMMEN
TOWN OF DRAMMEN W1,PRESIDENT / VICE PRESIDENT,"WTP ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",6,EAU CLAIRE,T,DRAMMEN
TOWN OF DRAMMEN W1,PRESIDENT / VICE PRESIDENT,WRITE-IN TOTALS,0,EAU CLAIRE,T,DRAMMEN
TOWN OF FAIRCHILD W1,PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,42,EAU CLAIRE,T,FAIRCHILD
TOWN OF FAIRCHILD W1,PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,124,EAU CLAIRE,T,FAIRCHILD
TOWN OF FAIRCHILD W1,PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,0,EAU CLAIRE,T,FAIRCHILD
