contest,candidate,reporting_unit,votes,county,ctv,municipality
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),AURORA WARDS 1-3,149,FLORENCE,T,AURORA
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),COMMONWEALTH WARDS 1-3,65,FLORENCE,T,COMMONWEALTH
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),FENCE,26,FLORENCE,T,FENCE
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),FERN,27,FLORENCE,T,FERN
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),FLORENCE WARDS 1-7,406,FLORENCE,T,FLORENCE
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),HOMESTEAD,63,FLORENCE,T,HOMESTEAD
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),LONG LAKE,28,FLORENCE,T,LONG LAKE
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),TIPLER,19,FLORENCE,T,TIPLER
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE (REPUBLICAN),AURORA WARDS 1-3,500,FLORENCE,T,AURORA
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE (REPUBLICAN),COMMONWEALTH WARDS 1-3,210,FLORENCE,T,COMMONWEALTH
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE (REPUBLICAN),FENCE,108,FLORENCE,T,FENCE
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE (REPUBLICAN),FERN,112,FLORENCE,T,FERN
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE (REPUBLICAN),FLORENCE WARDS 1-7,1007,FLORENCE,T,FLORENCE
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE (REPUBLICAN),HOMESTEAD,218,FLORENCE,T,HOMESTEAD
