reporting_unit,contest,candidate,votes,county,ctv,municipality
"TOWN OF ALTO, WARDS 1-2",COUNTY CLERK (VOTE FOR 1),LISA FREIBERG (REP),652,FOND DU LAC,T,ALTO
"TOWN OF ALTO, WARDS 1-2",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,3,FOND DU LAC,T,ALTO
"TOWN OF ASHFORD, WARDS 1-3",COUNTY CLERK (VOTE FOR 1),LISA FREIBERG (REP),1036,FOND DU LAC,T,ASHFORD
"TOWN OF ASHFORD, WARDS 1-3",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,4,FOND DU LAC,T,ASHFORD
"TOWN OF AUBURN, WARDS 1-3",COUNTY CLERK (VOTE FOR 1),LISA FREIBERG (REP),1545,FOND DU LAC,T,AUBURN
"TOWN OF AUBURN, WARDS 1-3",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,7,FOND DU LAC,T,AUBURN
"TOWN OF BYRON, WARDS 1-2",COUNTY CLERK (VOTE FOR 1),LISA FREIBERG (REP),995,FOND DU LAC,T,BYRON
"TOWN OF BYRON, WARDS 1-2",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,5,FOND DU LAC,T,BYRON
"TOWN OF CALUMET, WARDS 1-2",COUNTY CLERK (VOTE FOR 1),LISA FREIBERG (REP),804,FOND DU LAC,T,CALUMET
"TOWN OF CALUMET, WARDS 1-2",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,7,FOND DU LAC,T,CALUMET
"TOWN OF EDEN, WARDS 1-3",COUNTY CLERK (VOTE FOR 1),LISA FREIBERG (REP),644,FOND DU LAC,T,EDEN
"TOWN OF EDEN, WARDS 1-3",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,1,FOND DU LAC,T,EDEN
"TOWN OF ELDORADO, WARDS 1-3",COUNTY CLERK (VOTE FOR 1),LISA FREIBERG (REP),817,FOND DU LAC,T,ELDORADO
"TOWN OF ELDORADO, WARDS 1-3",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,5,FOND DU LAC,T,ELDORADO
"TOWN OF EMPIRE, WARDS 1-4",COUNTY CLERK (VOTE FOR 1),LISA FREIBERG (REP),1620,FOND DU LAC,T,EMPIRE
"TOWN OF EMPIRE, WARDS 1-4",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,17,FOND DU LAC,T,EMPIRE
"TOWN OF FOND DU LAC, WARDS 1-9",COUNTY CLERK (VOTE FOR 1),LISA FREIBERG (REP),2082,FOND DU LAC,T,FOND DU LAC
"TOWN OF FOND DU LAC, WARDS 1-9",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,24,FOND DU LAC,T,FOND DU LAC
"TOWN OF FOREST, WARDS 1-2",COUNTY CLERK (VOTE FOR 1),LISA FREIBERG (REP),620,FOND DU LAC,T,FOREST
"TOWN OF FOREST, WARDS 1-2",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,0,FOND DU LAC,T,FOREST
"TOWN OF FRIENDSHIP, WARDS 1- 3 - NFDL",COUNTY CLERK (VOTE FOR 1),LISA FREIBERG (REP),1325,FOND DU LAC,T,FRIENDSHIP
"TOWN OF FRIENDSHIP, WARDS 1- 3 - NFDL",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,14,FOND DU LAC,T,FRIENDSHIP
"TOWN OF LAMARTINE, WARDS 1- 2",COUNTY CLERK (VOTE FOR 1),LISA FREIBERG (REP),1034,FOND DU LAC,T,LAMARTINE
"TOWN OF LAMARTINE, WARDS 1- 2",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,6,FOND DU LAC,T,LAMARTINE
"TOWN OF MARSHFIELD, WARDS 1- 2",COUNTY CLERK (VOTE FOR 1),LISA FREIBERG (REP),670,FOND DU LAC,T,MARSHFIELD
"TOWN OF MARSHFIELD, WARDS 1- 2",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,4,FOND DU LAC,T,MARSHFIELD
"TOWN OF METOMEN, WARDS 1- 2",COUNTY CLERK (VOTE FOR 1),LISA FREIBERG (REP),421,FOND DU LAC,T,METOMEN
"TOWN OF METOMEN, WARDS 1- 2",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,2,FOND DU LAC,T,METOMEN
"TOWN OF OAKFIELD, WARDS 1-2",COUNTY CLERK (VOTE FOR 1),LISA FREIBERG (REP),415,FOND DU LAC,T,OAKFIELD
"TOWN OF OAKFIELD, WARDS 1-2",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,4,FOND DU LAC,T,OAKFIELD
"TOWN OF OSCEOLA, WARDS 1-2",COUNTY CLERK (VOTE FOR 1),LISA FREIBERG (REP),1103,FOND DU LAC,T,OSCEOLA
"TOWN OF OSCEOLA, WARDS 1-2",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,11,FOND DU LAC,T,OSCEOLA
"TOWN OF RIPON, WARDS 1-2",COUNTY CLERK (VOTE FOR 1),LISA FREIBERG (REP),718,FOND DU LAC,T,RIPON
"TOWN OF RIPON, WARDS 1-2",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,6,FOND DU LAC,T,RIPON
"TOWN OF ROSENDALE, WARD 1",COUNTY CLERK (VOTE FOR 1),LISA FREIBERG (REP),370,FOND DU LAC,T,ROSENDALE
