reporting_unit,contest,candidate,votes,county,municipality,ctv
"ALVIN, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS/TIM WALZ (DEMOCRATIC),28,FOREST,ALVIN,T
"ALVIN, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP/JD VANCE (REPUBLICAN),92,FOREST,ALVIN,T
"ALVIN, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,RANDALL TERRY/STEPHEN BRODEN (CONSTITUTION),0,FOREST,ALVIN,T
"ALVIN, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,CHASE RUSSELL OLIVER/MIKE TER MAAT (LIBERTARIAN),0,FOREST,ALVIN,T
"ALVIN, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,JILL STEIN/RUDOLPH WARE (WISCONSIN GREEN),1,FOREST,ALVIN,T
"ALVIN, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,CLAUDIA DE LA CRUZ/KARINA GARCIA (PARTY FOR SOCIALISM AND LIBERATION),0,FOREST,ALVIN,T
"ALVIN, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,CORNELL WEST/MELINA ABDULLAH (JUSTICE FOR ALL),0,FOREST,ALVIN,T
"ALVIN, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN (WE THE PEOPLE)",0,FOREST,ALVIN,T
"ALVIN, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,PETER SONSKI/LAUREN ONAK (INDEPENDENT) (WRITE-IN),0,FOREST,ALVIN,T
"ALVIN, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,CHERUNDA LYNN FOX (INDEPENDENT) (WRITE-IN),0,FOREST,ALVIN,T
"ALVIN, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,BRIAN KIENITZ (INDEPENDENT) (WRITE-IN),0,FOREST,ALVIN,T
"ALVIN, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,DOUG JENKINS/KIMBERLY LALONDE (INDEPENDENT) (WRITE-IN),0,FOREST,ALVIN,T
"ALVIN, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,FUTURE MADAM POTUS/JESSICA KENNEDY (INDEPENDENT) (WRITE-IN),0,FOREST,ALVIN,T
"ALVIN, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,"ANDRE' RAMONE MCNEIL, SR. (INDEPENDENT) (WRITE-IN)",0,FOREST,ALVIN,T
"ALVIN, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,SCATTERING,0,FOREST,ALVIN,T
"ALVIN, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,TAMMY BALDWIN (DEMOCRATIC),31,FOREST,ALVIN,T
"ALVIN, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,ERIC HOVDE (REPUBLICAN),84,FOREST,ALVIN,T
"ALVIN, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,PHIL ANDERSON (DISRUPT THE CORRUPTION),1,FOREST,ALVIN,T
"ALVIN, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,THOMAS LEAGER (AMERICA FIRST),2,FOREST,ALVIN,T
"ALVIN, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,JOHN SCHIESS (INDEPENDENT) (WRITE-IN),0,FOREST,ALVIN,T
"ALVIN, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,SCATTERING,0,FOREST,ALVIN,T
"ALVIN, WARD 1",CONGRESSIONAL_REPRESENTATIVE IN CONGRESS DISTRICT #7,KYLE KILBOURN (DEMOCRATIC),26,FOREST,ALVIN,T
"ALVIN, WARD 1",CONGRESSIONAL_REPRESENTATIVE IN CONGRESS DISTRICT #7,TOM TIFFANY (REPUBLICAN),89,FOREST,ALVIN,T
"ALVIN, WARD 1",CONGRESSIONAL_REPRESENTATIVE IN CONGRESS DISTRICT #7,SCATTERING,1,FOREST,ALVIN,T
"ALVIN, WARD 1",LEGISLATIVE AND STATE_STATE SENATOR DISTRICT #12,ANDI RICH (DEMOCRATIC),27,FOREST,ALVIN,T
"ALVIN, WARD 1",LEGISLATIVE AND STATE_STATE SENATOR DISTRICT #12,MARY FELZKOWSKI (REPUBLICAN),84,FOREST,ALVIN,T
"ALVIN, WARD 1",LEGISLATIVE AND STATE_STATE SENATOR DISTRICT #12,SCATTERING,1,FOREST,ALVIN,T
"ALVIN, WARD 1",LEGISLATIVE AND STATE_REPRESENTATIVE TO ASSEMBLY DISTRICT #36,BEN MURRAY (DEMOCRATIC),28,FOREST,ALVIN,T
"ALVIN, WARD 1",LEGISLATIVE AND STATE_REPRESENTATIVE TO ASSEMBLY DISTRICT #36,JEFFREY L. MURSAU (REPUBLICAN),83,FOREST,ALVIN,T
"ALVIN, WARD 1",LEGISLATIVE AND STATE_REPRESENTATIVE TO ASSEMBLY DISTRICT #36,SCATTERING,1,FOREST,ALVIN,T
"ALVIN, WARD 1",LEGISLATIVE AND STATE_DISTRICT ATTORNEY,ALEX SEIFERT (INDEPENDENT),76,FOREST,ALVIN,T
"ALVIN, WARD 1",LEGISLATIVE AND STATE_DISTRICT ATTORNEY,SCATTERING,0,FOREST,ALVIN,T
"ALVIN, WARD 1",COUNTY_COUNTY CLERK,NORA MATUSZEWSKI (REPUBLICAN),100,FOREST,ALVIN,T
"ALVIN, WARD 1",COUNTY_COUNTY CLERK,SCATTERING,1,FOREST,ALVIN,T
"ALVIN, WARD 1",COUNTY_COUNTY TREASURER,CHRISTY CONLEY (REPUBLICAN),100,FOREST,ALVIN,T
"ALVIN, WARD 1",COUNTY_COUNTY TREASURER,SCATTERING,1,FOREST,ALVIN,T
"ALVIN, WARD 1",COUNTY_REGISTER OF DEEDS,CORTNEY BRITTEN CLEEREMAN (REPUBLICAN),99,FOREST,ALVIN,T
"ALVIN, WARD 1",COUNTY_REGISTER OF DEEDS,SCATTERING,1,FOREST,ALVIN,T
"ALVIN, WARD 1",STATE_REFERENDUM,YES,105,FOREST,ALVIN,T
"ALVIN, WARD 1",STATE_REFERENDUM,NO,11,FOREST,ALVIN,T
