reporting_unit,municipality,contest,candidate,votes,county,ctv
VILLAGE OF BAGLEY WARD 1,BAGLEY,PRESIDENT,KAMALA D. HARRIS TIM WALZ,99,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,PRESIDENT,DONALD J. TRUMP JD VANCE,117,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,PRESIDENT,RANDALL TERRY STEPHEN BRODEN,1,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,PRESIDENT,CHASE RUSSELL OLIVER MIKE TER MAAT,0,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,PRESIDENT,JILL STEIN RUDOLPH WARE,1,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,PRESIDENT,CLAUDIA DE LA CRUZ KARINA GARCIA,0,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,PRESIDENT,CORNEL WEST MELINA ABDULLAH,0,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,PRESIDENT,"ROBERT F. KENNEDY, JR. NICOLE SHANAHAN",3,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,PRESIDENT,PETER SONSKI,0,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,PRESIDENT,CHERUNDA LYNN FOX (WRITE-IN),0,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,PRESIDENT,BRIAN KIENITZ (WRITE-IN),0,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,PRESIDENT,DOUG JENKINS / KIMBERLY LALONDE (WRITE-IN),0,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,PRESIDENT,FUTURE MADAM POTUS / JESSICA KENNEDY (WRITE-IN),0,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,PRESIDENT,"ANDRÉ RAMONE MCNEIL, SR. (WRITE-IN)",0,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,PRESIDENT,PRESIDENTSCATTERING,0,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,SENATOR,TAMMY BALDWIN,103,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,SENATOR,ERIC HOVDE,107,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,SENATOR,PHIL ANDERSON,3,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,SENATOR,THOMAS LEAGER,6,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,SENATOR,JOHN SCHIESS (WRITE-IN),0,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,SENATOR,SENATOR SCATTERING,0,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,CONGRESS,REBECCA COOKE,103,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,CONGRESS,DERRICK VAN ORDEN,113,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,CONGRESS,CONGRESS SCATTERING,0,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,DIST 49,SCOTT A. WALKER,85,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,DIST 49,TRAVIS TRANEL,132,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,DIST 49,DIST 49 SCATTERING,0,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,DIST 51,ELIZABETH GRABE,NA,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,DIST 51,TODD NOVAK,NA,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,DIST 51,DIST 51 SCATTERING,NA,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,DA,RYAN KIELER,185,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,DA,DA SCATTERING,0,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,COUNTY CLERK,TONYA WHITE,186,GRANT,V
VILLAGE OF BAGLEY WARD 1,BAGLEY,COUNTY CLERK,COUNTY CLERK SCATTERING,0,GRANT,V
