reporting_unit,contest,candidate,votes,county,ctv,municipality
"TOWN OF ALBANY, WARD 1 & 2",ALBANY SCHOOL REFERENDUM (VOTE FOR 1),YES,390,GREEN,T,ALBANY
"TOWN OF ALBANY, WARD 1 & 2",ALBANY SCHOOL REFERENDUM (VOTE FOR 1),NO,383,GREEN,T,ALBANY
"TOWN OF BROOKLYN, WARD 1, 2& 3",ALBANY SCHOOL REFERENDUM (VOTE FOR 1),YES,119,GREEN,T,BROOKLYN
"TOWN OF BROOKLYN, WARD 1, 2& 3",ALBANY SCHOOL REFERENDUM (VOTE FOR 1),NO,124,GREEN,T,BROOKLYN
"TOWN OF DECATUR, WARD 1, 2,3 & 4",ALBANY SCHOOL REFERENDUM (VOTE FOR 1),YES,19,GREEN,T,DECATUR
"TOWN OF DECATUR, WARD 1, 2,3 & 4",ALBANY SCHOOL REFERENDUM (VOTE FOR 1),NO,25,GREEN,T,DECATUR
"TOWN OF MT. PLEASANT, WARD 1, 2 & 3",ALBANY SCHOOL REFERENDUM (VOTE FOR 1),YES,67,GREEN,T,MT. PLEASANT
"TOWN OF MT. PLEASANT, WARD 1, 2 & 3",ALBANY SCHOOL REFERENDUM (VOTE FOR 1),NO,63,GREEN,T,MT. PLEASANT
"TOWN OF SYLVESTER, WARD 1 & 2",ALBANY SCHOOL REFERENDUM (VOTE FOR 1),YES,50,GREEN,T,SYLVESTER
"TOWN OF SYLVESTER, WARD 1 & 2",ALBANY SCHOOL REFERENDUM (VOTE FOR 1),NO,43,GREEN,T,SYLVESTER
"VILLAGE OF ALBANY, WARD 1 & 2",ALBANY SCHOOL REFERENDUM (VOTE FOR 1),YES,311,GREEN,V,ALBANY
"VILLAGE OF ALBANY, WARD 1 & 2",ALBANY SCHOOL REFERENDUM (VOTE FOR 1),NO,243,GREEN,V,ALBANY
"TOWN OF ALBANY, WARD 1 & 2",ALBANY SCHOOL REFERENDUM (VOTE FOR 1),UNRESOLVED WRITE-IN,0,GREEN,T,ALBANY
"TOWN OF BROOKLYN, WARD 1, 2& 3",ALBANY SCHOOL REFERENDUM (VOTE FOR 1),UNRESOLVED WRITE-IN,0,GREEN,T,BROOKLYN
"TOWN OF DECATUR, WARD 1, 2,3 & 4",ALBANY SCHOOL REFERENDUM (VOTE FOR 1),UNRESOLVED WRITE-IN,0,GREEN,T,DECATUR
"TOWN OF MT. PLEASANT, WARD 1, 2 & 3",ALBANY SCHOOL REFERENDUM (VOTE FOR 1),UNRESOLVED WRITE-IN,0,GREEN,T,MT. PLEASANT
"TOWN OF SYLVESTER, WARD 1 & 2",ALBANY SCHOOL REFERENDUM (VOTE FOR 1),UNRESOLVED WRITE-IN,0,GREEN,T,SYLVESTER
"VILLAGE OF ALBANY, WARD 1 & 2",ALBANY SCHOOL REFERENDUM (VOTE FOR 1),UNRESOLVED WRITE-IN,0,GREEN,V,ALBANY
"TOWN OF ADAMS, WARD 1",ARGYLE SCHOOL REFERENDUM (VOTE FOR 1),YES,125,GREEN,T,ADAMS
"TOWN OF ADAMS, WARD 1",ARGYLE SCHOOL REFERENDUM (VOTE FOR 1),NO,110,GREEN,T,ADAMS
"TOWN OF JORDAN, WARD 1 & 2",ARGYLE SCHOOL REFERENDUM (VOTE FOR 1),YES,26,GREEN,T,JORDAN
