municipality,reporting_unit,contest,candidate,votes,county,ctv
BERLIN,WARDS 1-3,PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS/TIM WALZ,184,GREEN LAKE,T
BERLIN,WARDS 1-3,PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP/ JD VANCE,598,GREEN LAKE,T
BERLIN,WARDS 1-3,PRESIDENT/VICE PRESIDENT,RANDALL TERRY/STEPHEN BRODEN,0,GREEN LAKE,T
BERLIN,WARDS 1-3,PRESIDENT/VICE PRESIDENT,CHASE RUSSEL OLIVER?MIKE TER MAAT,1,GREEN LAKE,T
BERLIN,WARDS 1-3,PRESIDENT/VICE PRESIDENT,JILL STEIN/RUDOLPH WARE,0,GREEN LAKE,T
BERLIN,WARDS 1-3,PRESIDENT/VICE PRESIDENT,CLAUDIA DE LA CRUZ/KARINA GARCIA,0,GREEN LAKE,T
BERLIN,WARDS 1-3,PRESIDENT/VICE PRESIDENT,CORNEL WEST/MELINA ABDULLAH,0,GREEN LAKE,T
BERLIN,WARDS 1-3,PRESIDENT/VICE PRESIDENT,"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN",0,GREEN LAKE,T
BERLIN,WARDS 1-3,PRESIDENT/VICE PRESIDENT,PETER SONSKI/LAUREN ONAK (WRITE IN),2,GREEN LAKE,T
BERLIN,WARDS 1-3,PRESIDENT/VICE PRESIDENT,CHERUNDA LYNN FOX (WRITE IN),0,GREEN LAKE,T
BERLIN,WARDS 1-3,PRESIDENT/VICE PRESIDENT,BRIAN KIENITZ (WRITE IN),0,GREEN LAKE,T
BERLIN,WARDS 1-3,PRESIDENT/VICE PRESIDENT,DOUG JENKINS/KIMBERLY LALONDE (WRITE IN),0,GREEN LAKE,T
BERLIN,WARDS 1-3,PRESIDENT/VICE PRESIDENT,FUTURE MADAM POTUS/JESSICA KENNEDY (WRITE IN),0,GREEN LAKE,T
BERLIN,WARDS 1-3,PRESIDENT/VICE PRESIDENT,"ANDRE RAMONE MCNEIL, SR. (WRITE IN)",0,GREEN LAKE,T
BERLIN,WARDS 1-3,PRESIDENT/VICE PRESIDENT,SCATTERING,1,GREEN LAKE,T
BROOKLYN,WARDS 1 - 3,PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS/TIM WALZ,504,GREEN LAKE,T
BROOKLYN,WARDS 1 - 3,PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP/ JD VANCE,827,GREEN LAKE,T
BROOKLYN,WARDS 1 - 3,PRESIDENT/VICE PRESIDENT,RANDALL TERRY/STEPHEN BRODEN,5,GREEN LAKE,T
BROOKLYN,WARDS 1 - 3,PRESIDENT/VICE PRESIDENT,CHASE RUSSEL OLIVER?MIKE TER MAAT,8,GREEN LAKE,T
BROOKLYN,WARDS 1 - 3,PRESIDENT/VICE PRESIDENT,JILL STEIN/RUDOLPH WARE,1,GREEN LAKE,T
BROOKLYN,WARDS 1 - 3,PRESIDENT/VICE PRESIDENT,CLAUDIA DE LA CRUZ/KARINA GARCIA,0,GREEN LAKE,T
BROOKLYN,WARDS 1 - 3,PRESIDENT/VICE PRESIDENT,CORNEL WEST/MELINA ABDULLAH,0,GREEN LAKE,T
BROOKLYN,WARDS 1 - 3,PRESIDENT/VICE PRESIDENT,"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN",8,GREEN LAKE,T
BROOKLYN,WARDS 1 - 3,PRESIDENT/VICE PRESIDENT,PETER SONSKI/LAUREN ONAK (WRITE IN),0,GREEN LAKE,T
BROOKLYN,WARDS 1 - 3,PRESIDENT/VICE PRESIDENT,CHERUNDA LYNN FOX (WRITE IN),0,GREEN LAKE,T
BROOKLYN,WARDS 1 - 3,PRESIDENT/VICE PRESIDENT,BRIAN KIENITZ (WRITE IN),0,GREEN LAKE,T
BROOKLYN,WARDS 1 - 3,PRESIDENT/VICE PRESIDENT,DOUG JENKINS/KIMBERLY LALONDE (WRITE IN),0,GREEN LAKE,T
