reporting_unit,contest,candidate,votes,county,ctv,municipality
TOWN OF ARENA WARDS 13,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,ELIZABETH GRABE,0,IOWA,T,ARENA
TOWN OF ARENA WARDS 13,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,TODD NOVAK,0,IOWA,T,ARENA
TOWN OF ARENA WARDS 13,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,SCATTERING,0,IOWA,T,ARENA
TOWN OF ARENA WARDS 13,IOWA COUNTY DISTRICT ATTORNEY,ZACHARY P. LEIGH,0,IOWA,T,ARENA
TOWN OF ARENA WARDS 13,IOWA COUNTY DISTRICT ATTORNEY,SCATTERING,0,IOWA,T,ARENA
TOWN OF BRIGHAM WARDS 12,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,ELIZABETH GRABE,0,IOWA,T,BRIGHAM
TOWN OF BRIGHAM WARDS 12,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,TODD NOVAK,0,IOWA,T,BRIGHAM
TOWN OF BRIGHAM WARDS 12,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,SCATTERING,0,IOWA,T,BRIGHAM
TOWN OF BRIGHAM WARDS 12,IOWA COUNTY DISTRICT ATTORNEY,ZACHARY P. LEIGH,0,IOWA,T,BRIGHAM
TOWN OF BRIGHAM WARDS 12,IOWA COUNTY DISTRICT ATTORNEY,SCATTERING,0,IOWA,T,BRIGHAM
TOWN OF CLYDE WARD 1,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,ELIZABETH GRABE,0,IOWA,T,CLYDE
TOWN OF CLYDE WARD 1,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,TODD NOVAK,0,IOWA,T,CLYDE
TOWN OF CLYDE WARD 1,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,SCATTERING,0,IOWA,T,CLYDE
TOWN OF CLYDE WARD 1,IOWA COUNTY DISTRICT ATTORNEY,ZACHARY P. LEIGH,0,IOWA,T,CLYDE
TOWN OF CLYDE WARD 1,IOWA COUNTY DISTRICT ATTORNEY,SCATTERING,0,IOWA,T,CLYDE
TOWN OF DODGEVILLE WARDS 13,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,ELIZABETH GRABE,0,IOWA,T,DODGEVILLE
TOWN OF DODGEVILLE WARDS 13,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,TODD NOVAK,0,IOWA,T,DODGEVILLE
TOWN OF DODGEVILLE WARDS 13,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,SCATTERING,0,IOWA,T,DODGEVILLE
TOWN OF DODGEVILLE WARDS 13,IOWA COUNTY DISTRICT ATTORNEY,ZACHARY P. LEIGH,0,IOWA,T,DODGEVILLE
TOWN OF DODGEVILLE WARDS 13,IOWA COUNTY DISTRICT ATTORNEY,SCATTERING,0,IOWA,T,DODGEVILLE
TOWN OF EDEN WARD 1,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,ELIZABETH GRABE,0,IOWA,T,EDEN
TOWN OF EDEN WARD 1,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,TODD NOVAK,0,IOWA,T,EDEN
TOWN OF EDEN WARD 1,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,SCATTERING,0,IOWA,T,EDEN
TOWN OF EDEN WARD 1,IOWA COUNTY DISTRICT ATTORNEY,ZACHARY P. LEIGH,0,IOWA,T,EDEN
TOWN OF EDEN WARD 1,IOWA COUNTY DISTRICT ATTORNEY,SCATTERING,0,IOWA,T,EDEN
TOWN OF HIGHLAND WARDS 14,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,ELIZABETH GRABE,0,IOWA,T,HIGHLAND
TOWN OF HIGHLAND WARDS 14,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,TODD NOVAK,0,IOWA,T,HIGHLAND
TOWN OF HIGHLAND WARDS 14,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,SCATTERING,0,IOWA,T,HIGHLAND
TOWN OF HIGHLAND WARDS 14,IOWA COUNTY DISTRICT ATTORNEY,ZACHARY P. LEIGH,0,IOWA,T,HIGHLAND
TOWN OF HIGHLAND WARDS 14,IOWA COUNTY DISTRICT ATTORNEY,SCATTERING,0,IOWA,T,HIGHLAND
TOWN OF LINDEN WARDS 12,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,ELIZABETH GRABE,0,IOWA,T,LINDEN
TOWN OF LINDEN WARDS 12,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,TODD NOVAK,0,IOWA,T,LINDEN
TOWN OF LINDEN WARDS 12,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,SCATTERING,0,IOWA,T,LINDEN
TOWN OF LINDEN WARDS 12,IOWA COUNTY DISTRICT ATTORNEY,ZACHARY P. LEIGH,0,IOWA,T,LINDEN
TOWN OF LINDEN WARDS 12,IOWA COUNTY DISTRICT ATTORNEY,SCATTERING,0,IOWA,T,LINDEN
TOWN OF MIFFLIN WARD 1,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,ELIZABETH GRABE,0,IOWA,T,MIFFLIN
TOWN OF MIFFLIN WARD 1,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,TODD NOVAK,0,IOWA,T,MIFFLIN
TOWN OF MIFFLIN WARD 1,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,SCATTERING,0,IOWA,T,MIFFLIN
TOWN OF MIFFLIN WARD 1,IOWA COUNTY DISTRICT ATTORNEY,ZACHARY P. LEIGH,0,IOWA,T,MIFFLIN
TOWN OF MIFFLIN WARD 1,IOWA COUNTY DISTRICT ATTORNEY,SCATTERING,0,IOWA,T,MIFFLIN
TOWN OF MINERAL POINT WARDS 13,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,ELIZABETH GRABE,0,IOWA,T,MINERAL POINT
TOWN OF MINERAL POINT WARDS 13,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,TODD NOVAK,0,IOWA,T,MINERAL POINT
TOWN OF MINERAL POINT WARDS 13,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,SCATTERING,0,IOWA,T,MINERAL POINT
TOWN OF MINERAL POINT WARDS 13,IOWA COUNTY DISTRICT ATTORNEY,ZACHARY P. LEIGH,0,IOWA,T,MINERAL POINT
TOWN OF MINERAL POINT WARDS 13,IOWA COUNTY DISTRICT ATTORNEY,SCATTERING,0,IOWA,T,MINERAL POINT
TOWN OF MOSCOW WARD 1,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,ELIZABETH GRABE,0,IOWA,T,MOSCOW
TOWN OF MOSCOW WARD 1,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,TODD NOVAK,0,IOWA,T,MOSCOW
TOWN OF MOSCOW WARD 1,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,SCATTERING,0,IOWA,T,MOSCOW
TOWN OF MOSCOW WARD 1,IOWA COUNTY DISTRICT ATTORNEY,ZACHARY P. LEIGH,0,IOWA,T,MOSCOW
TOWN OF MOSCOW WARD 1,IOWA COUNTY DISTRICT ATTORNEY,SCATTERING,0,IOWA,T,MOSCOW
TOWN OF PULASKI WARD 1,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,ELIZABETH GRABE,0,IOWA,T,PULASKI
TOWN OF PULASKI WARD 1,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,TODD NOVAK,0,IOWA,T,PULASKI
TOWN OF PULASKI WARD 1,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,SCATTERING,0,IOWA,T,PULASKI
TOWN OF PULASKI WARD 1,IOWA COUNTY DISTRICT ATTORNEY,ZACHARY P. LEIGH,0,IOWA,T,PULASKI
