reporting_unit,contest,candidate,votes,county,ctv,municipality
TOWN OF ARENA WARDS 13,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,ELIZABETH GRABE,478,IOWA,T,ARENA
TOWN OF ARENA WARDS 13,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,TODD NOVAK,464,IOWA,T,ARENA
TOWN OF ARENA WARDS 13,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,SCATTERING,0,IOWA,T,ARENA
TOWN OF ARENA WARDS 13,IOWA COUNTY DISTRICT ATTORNEY,ZACHARY P. LEIGH,653,IOWA,T,ARENA
TOWN OF ARENA WARDS 13,IOWA COUNTY DISTRICT ATTORNEY,SCATTERING,33,IOWA,T,ARENA
TOWN OF BRIGHAM WARDS 12,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,ELIZABETH GRABE,446,IOWA,T,BRIGHAM
TOWN OF BRIGHAM WARDS 12,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,TODD NOVAK,328,IOWA,T,BRIGHAM
TOWN OF BRIGHAM WARDS 12,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,SCATTERING,0,IOWA,T,BRIGHAM
TOWN OF BRIGHAM WARDS 12,IOWA COUNTY DISTRICT ATTORNEY,ZACHARY P. LEIGH,544,IOWA,T,BRIGHAM
TOWN OF BRIGHAM WARDS 12,IOWA COUNTY DISTRICT ATTORNEY,SCATTERING,9,IOWA,T,BRIGHAM
TOWN OF CLYDE WARD 1,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,ELIZABETH GRABE,125,IOWA,T,CLYDE
TOWN OF CLYDE WARD 1,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,TODD NOVAK,106,IOWA,T,CLYDE
TOWN OF CLYDE WARD 1,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,SCATTERING,0,IOWA,T,CLYDE
TOWN OF CLYDE WARD 1,IOWA COUNTY DISTRICT ATTORNEY,ZACHARY P. LEIGH,171,IOWA,T,CLYDE
TOWN OF CLYDE WARD 1,IOWA COUNTY DISTRICT ATTORNEY,SCATTERING,6,IOWA,T,CLYDE
TOWN OF DODGEVILLE WARDS 13,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,ELIZABETH GRABE,558,IOWA,T,DODGEVILLE
TOWN OF DODGEVILLE WARDS 13,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,TODD NOVAK,527,IOWA,T,DODGEVILLE
TOWN OF DODGEVILLE WARDS 13,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,SCATTERING,3,IOWA,T,DODGEVILLE
TOWN OF DODGEVILLE WARDS 13,IOWA COUNTY DISTRICT ATTORNEY,ZACHARY P. LEIGH,792,IOWA,T,DODGEVILLE
TOWN OF DODGEVILLE WARDS 13,IOWA COUNTY DISTRICT ATTORNEY,SCATTERING,10,IOWA,T,DODGEVILLE
TOWN OF EDEN WARD 1,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,ELIZABETH GRABE,71,IOWA,T,EDEN
TOWN OF EDEN WARD 1,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,TODD NOVAK,152,IOWA,T,EDEN
TOWN OF EDEN WARD 1,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,SCATTERING,0,IOWA,T,EDEN
TOWN OF EDEN WARD 1,IOWA COUNTY DISTRICT ATTORNEY,ZACHARY P. LEIGH,154,IOWA,T,EDEN
TOWN OF EDEN WARD 1,IOWA COUNTY DISTRICT ATTORNEY,SCATTERING,2,IOWA,T,EDEN
TOWN OF HIGHLAND WARDS 14,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,ELIZABETH GRABE,161,IOWA,T,HIGHLAND
TOWN OF HIGHLAND WARDS 14,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,TODD NOVAK,284,IOWA,T,HIGHLAND
TOWN OF HIGHLAND WARDS 14,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,SCATTERING,1,IOWA,T,HIGHLAND
TOWN OF HIGHLAND WARDS 14,IOWA COUNTY DISTRICT ATTORNEY,ZACHARY P. LEIGH,310,IOWA,T,HIGHLAND
TOWN OF HIGHLAND WARDS 14,IOWA COUNTY DISTRICT ATTORNEY,SCATTERING,7,IOWA,T,HIGHLAND
TOWN OF LINDEN WARDS 12,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,ELIZABETH GRABE,164,IOWA,T,LINDEN
TOWN OF LINDEN WARDS 12,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,TODD NOVAK,285,IOWA,T,LINDEN
TOWN OF LINDEN WARDS 12,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,SCATTERING,1,IOWA,T,LINDEN
TOWN OF LINDEN WARDS 12,IOWA COUNTY DISTRICT ATTORNEY,ZACHARY P. LEIGH,328,IOWA,T,LINDEN
TOWN OF LINDEN WARDS 12,IOWA COUNTY DISTRICT ATTORNEY,SCATTERING,7,IOWA,T,LINDEN
TOWN OF MIFFLIN WARD 1,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,ELIZABETH GRABE,106,IOWA,T,MIFFLIN
TOWN OF MIFFLIN WARD 1,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,TODD NOVAK,199,IOWA,T,MIFFLIN
TOWN OF MIFFLIN WARD 1,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,SCATTERING,0,IOWA,T,MIFFLIN
TOWN OF MIFFLIN WARD 1,IOWA COUNTY DISTRICT ATTORNEY,ZACHARY P. LEIGH,235,IOWA,T,MIFFLIN
TOWN OF MIFFLIN WARD 1,IOWA COUNTY DISTRICT ATTORNEY,SCATTERING,0,IOWA,T,MIFFLIN
TOWN OF MINERAL POINT WARDS 13,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,ELIZABETH GRABE,238,IOWA,T,MINERAL POINT
TOWN OF MINERAL POINT WARDS 13,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,TODD NOVAK,395,IOWA,T,MINERAL POINT
TOWN OF MINERAL POINT WARDS 13,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,SCATTERING,0,IOWA,T,MINERAL POINT
TOWN OF MINERAL POINT WARDS 13,IOWA COUNTY DISTRICT ATTORNEY,ZACHARY P. LEIGH,465,IOWA,T,MINERAL POINT
TOWN OF MINERAL POINT WARDS 13,IOWA COUNTY DISTRICT ATTORNEY,SCATTERING,8,IOWA,T,MINERAL POINT
TOWN OF MOSCOW WARD 1,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,ELIZABETH GRABE,190,IOWA,T,MOSCOW
TOWN OF MOSCOW WARD 1,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,TODD NOVAK,223,IOWA,T,MOSCOW
TOWN OF MOSCOW WARD 1,REPRESENTATIVE TO THE ASSEMBLY - DISTRICT 51,SCATTERING,0,IOWA,T,MOSCOW
