candidate,votes,contest,reporting_unit,municipality,ctv,county
KAMALA D. HARRIS/ TIM WALZ DEMOCATIC,20,PRESIDENT/VICE PRESIDENT,ANDERSON,ANDERSON,T,IRON
DONALD J. TRUMP/JD VANCE REPUBLICAN,23,PRESIDENT/VICE PRESIDENT,ANDERSON,ANDERSON,T,IRON
RANDALL TERRY/STEPHEN BRODEN CONSITITUTION,0,PRESIDENT/VICE PRESIDENT,ANDERSON,ANDERSON,T,IRON
CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,0,PRESIDENT/VICE PRESIDENT,ANDERSON,ANDERSON,T,IRON
JILL STEIN/RUDOLPH WARE WISCONSIN GREEN,1,PRESIDENT/VICE PRESIDENT,ANDERSON,ANDERSON,T,IRON
CLAUDIA DE LA CRUZ/KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/VICE PRESIDENT,ANDERSON,ANDERSON,T,IRON
CORNEL WEST/MELINA ABDULLAH JUSTICE FOR ALL,0,PRESIDENT/VICE PRESIDENT,ANDERSON,ANDERSON,T,IRON
"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN WE THE PEOPLE",0,PRESIDENT/VICE PRESIDENT,ANDERSON,ANDERSON,T,IRON
WRITE - IN,0,PRESIDENT/VICE PRESIDENT,ANDERSON,ANDERSON,T,IRON
TAMMY BALDWIN DEMOCRATIC,21,UNITED STATES SENATOR,ANDERSON,ANDERSON,T,IRON
ERIC HOVDE REPUBLICAN,22,UNITED STATES SENATOR,ANDERSON,ANDERSON,T,IRON
PHIL ANDERSON DISRUPT THE CORRUPTION,1,UNITED STATES SENATOR,ANDERSON,ANDERSON,T,IRON
THOMAS LEAGER AMERICA FIRST,0,UNITED STATES SENATOR,ANDERSON,ANDERSON,T,IRON
WRITE -IN,0,UNITED STATES SENATOR,ANDERSON,ANDERSON,T,IRON
KYLE KILBOURN DEMOCRATIC,18,REPRESENTATIVE IN CONGRESS DISTRICT 7,ANDERSON,ANDERSON,T,IRON
TOM TIFFANY REPUBLICAN,24,REPRESENTATIVE IN CONGRESS DISTRICT 7,ANDERSON,ANDERSON,T,IRON
WRITE-IN,0,REPRESENTATIVE IN CONGRESS DISTRICT 7,ANDERSON,ANDERSON,T,IRON
JEANNE RAND BRUCE DEMOCATIC,17,REPRESENTATIVE TO THE ASSEMBLY DIST 74,ANDERSON,ANDERSON,T,IRON
CHANZ J GREEN REPUBLICAN,23,REPRESENTATIVE TO THE ASSEMBLY DIST 74,ANDERSON,ANDERSON,T,IRON
WRITE- IN,0,REPRESENTATIVE TO THE ASSEMBLY DIST 74,ANDERSON,ANDERSON,T,IRON
MATTHEW J. TINGSTAD,28,DISTRICT ATTORNEY,ANDERSON,ANDERSON,T,IRON
WRITE-IN,1,DISTRICT ATTORNEY,ANDERSON,ANDERSON,T,IRON
YES,30,STATE QUESTION 1,ANDERSON,ANDERSON,T,IRON
NO,9,STATE QUESTION 1,ANDERSON,ANDERSON,T,IRON
KAMALA D. HARRIS/ TIM WALZ DEMOCATIC,29,PRESIDENT/VICE PRESIDENT,CAREY,CAREY,T,IRON
DONALD J. TRUMP/JD VANCE REPUBLICAN,72,PRESIDENT/VICE PRESIDENT,CAREY,CAREY,T,IRON
RANDALL TERRY/STEPHEN BRODEN CONSITITUTION,0,PRESIDENT/VICE PRESIDENT,CAREY,CAREY,T,IRON
CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,0,PRESIDENT/VICE PRESIDENT,CAREY,CAREY,T,IRON
JILL STEIN/RUDOLPH WARE WISCONSIN GREEN,1,PRESIDENT/VICE PRESIDENT,CAREY,CAREY,T,IRON
CLAUDIA DE LA CRUZ/KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/VICE PRESIDENT,CAREY,CAREY,T,IRON
CORNEL WEST/MELINA ABDULLAH JUSTICE FOR ALL,0,PRESIDENT/VICE PRESIDENT,CAREY,CAREY,T,IRON
"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN WE THE PEOPLE",0,PRESIDENT/VICE PRESIDENT,CAREY,CAREY,T,IRON
WRITE - IN,0,PRESIDENT/VICE PRESIDENT,CAREY,CAREY,T,IRON
TAMMY BALDWIN DEMOCRATIC,29,UNITED STATES SENATOR,CAREY,CAREY,T,IRON
ERIC HOVDE REPUBLICAN,70,UNITED STATES SENATOR,CAREY,CAREY,T,IRON
PHIL ANDERSON DISRUPT THE CORRUPTION,1,UNITED STATES SENATOR,CAREY,CAREY,T,IRON
THOMAS LEAGER AMERICA FIRST,1,UNITED STATES SENATOR,CAREY,CAREY,T,IRON
WRITE -IN,0,UNITED STATES SENATOR,CAREY,CAREY,T,IRON
KYLE KILBOURN DEMOCRATIC,28,REPRESENTATIVE IN CONGRESS DISTRICT 7,CAREY,CAREY,T,IRON
TOM TIFFANY REPUBLICAN,74,REPRESENTATIVE IN CONGRESS DISTRICT 7,CAREY,CAREY,T,IRON
WRITE-IN,0,REPRESENTATIVE IN CONGRESS DISTRICT 7,CAREY,CAREY,T,IRON
JEANNE RAND BRUCE DEMOCATIC,27,REPRESENTATIVE TO THE ASSEMBLY DIST 74,CAREY,CAREY,T,IRON
CHANZ J GREEN REPUBLICAN,74,REPRESENTATIVE TO THE ASSEMBLY DIST 74,CAREY,CAREY,T,IRON
WRITE- IN,0,REPRESENTATIVE TO THE ASSEMBLY DIST 74,CAREY,CAREY,T,IRON
MATTHEW J. TINGSTAD,89,DISTRICT ATTORNEY,CAREY,CAREY,T,IRON
WRITE-IN,0,DISTRICT ATTORNEY,CAREY,CAREY,T,IRON
YES,79,STATE QUESTION 1,CAREY,CAREY,T,IRON
NO,19,STATE QUESTION 1,CAREY,CAREY,T,IRON
KAMALA D. HARRIS/ TIM WALZ DEMOCATIC,44,PRESIDENT/VICE PRESIDENT,GURNEY,GURNEY,T,IRON
DONALD J. TRUMP/JD VANCE REPUBLICAN,57,PRESIDENT/VICE PRESIDENT,GURNEY,GURNEY,T,IRON
RANDALL TERRY/STEPHEN BRODEN CONSITITUTION,0,PRESIDENT/VICE PRESIDENT,GURNEY,GURNEY,T,IRON
CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,0,PRESIDENT/VICE PRESIDENT,GURNEY,GURNEY,T,IRON
JILL STEIN/RUDOLPH WARE WISCONSIN GREEN,0,PRESIDENT/VICE PRESIDENT,GURNEY,GURNEY,T,IRON
CLAUDIA DE LA CRUZ/KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/VICE PRESIDENT,GURNEY,GURNEY,T,IRON
CORNEL WEST/MELINA ABDULLAH JUSTICE FOR ALL,0,PRESIDENT/VICE PRESIDENT,GURNEY,GURNEY,T,IRON
"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN WE THE PEOPLE",2,PRESIDENT/VICE PRESIDENT,GURNEY,GURNEY,T,IRON
WRITE - IN,0,PRESIDENT/VICE PRESIDENT,GURNEY,GURNEY,T,IRON
TAMMY BALDWIN DEMOCRATIC,42,UNITED STATES SENATOR,GURNEY,GURNEY,T,IRON
ERIC HOVDE REPUBLICAN,58,UNITED STATES SENATOR,GURNEY,GURNEY,T,IRON
PHIL ANDERSON DISRUPT THE CORRUPTION,3,UNITED STATES SENATOR,GURNEY,GURNEY,T,IRON
THOMAS LEAGER AMERICA FIRST,0,UNITED STATES SENATOR,GURNEY,GURNEY,T,IRON
WRITE -IN,0,UNITED STATES SENATOR,GURNEY,GURNEY,T,IRON
KYLE KILBOURN DEMOCRATIC,45,REPRESENTATIVE IN CONGRESS DISTRICT 7,GURNEY,GURNEY,T,IRON
TOM TIFFANY REPUBLICAN,58,REPRESENTATIVE IN CONGRESS DISTRICT 7,GURNEY,GURNEY,T,IRON
WRITE-IN,0,REPRESENTATIVE IN CONGRESS DISTRICT 7,GURNEY,GURNEY,T,IRON
JEANNE RAND BRUCE DEMOCATIC,46,REPRESENTATIVE TO THE ASSEMBLY DIST 74,GURNEY,GURNEY,T,IRON
CHANZ J GREEN REPUBLICAN,57,REPRESENTATIVE TO THE ASSEMBLY DIST 74,GURNEY,GURNEY,T,IRON
WRITE- IN,0,REPRESENTATIVE TO THE ASSEMBLY DIST 74,GURNEY,GURNEY,T,IRON
MATTHEW J. TINGSTAD,82,DISTRICT ATTORNEY,GURNEY,GURNEY,T,IRON
WRITE-IN,1,DISTRICT ATTORNEY,GURNEY,GURNEY,T,IRON
YES,77,STATE QUESTION 1,GURNEY,GURNEY,T,IRON
NO,25,STATE QUESTION 1,GURNEY,GURNEY,T,IRON
KAMALA D. HARRIS/ TIM WALZ DEMOCATIC,127,PRESIDENT/VICE PRESIDENT,KIMBALL,KIMBALL,T,IRON
DONALD J. TRUMP/JD VANCE REPUBLICAN,228,PRESIDENT/VICE PRESIDENT,KIMBALL,KIMBALL,T,IRON
