reporting_unit,contest,candidate,votes,county,ctv,municipality
"TOWN OF AZTALAN (W1,3)",BALLOT TOTALS,REGISTERED VOTERS,582,JEFFERSON,T,AZTALAN 
"TOWN OF AZTALAN (W1,3)",BALLOT TOTALS,BALLOTS CAST,562,JEFFERSON,T,AZTALAN 
"TOWN OF AZTALAN (W2,4)",BALLOT TOTALS,REGISTERED VOTERS,352,JEFFERSON,T,AZTALAN 
"TOWN OF AZTALAN (W2,4)",BALLOT TOTALS,BALLOTS CAST,341,JEFFERSON,T,AZTALAN 
TOWN OF COLD SPRING (W1),BALLOT TOTALS,REGISTERED VOTERS,499,JEFFERSON,T,COLD SPRING 
TOWN OF COLD SPRING (W1),BALLOT TOTALS,BALLOTS CAST,502,JEFFERSON,T,COLD SPRING 
"TOWN OF CONCORD (W1,2)",BALLOT TOTALS,REGISTERED VOTERS,1417,JEFFERSON,T,CONCORD 
"TOWN OF CONCORD (W1,2)",BALLOT TOTALS,BALLOTS CAST,1387,JEFFERSON,T,CONCORD 
TOWN OF FARMINGTON (W1-3),BALLOT TOTALS,REGISTERED VOTERS,1049,JEFFERSON,T,FARMINGTON 
TOWN OF FARMINGTON (W1-3),BALLOT TOTALS,BALLOTS CAST,993,JEFFERSON,T,FARMINGTON 
"TOWN OF HEBRON (W1,2)",BALLOT TOTALS,REGISTERED VOTERS,740,JEFFERSON,T,HEBRON 
"TOWN OF HEBRON (W1,2)",BALLOT TOTALS,BALLOTS CAST,734,JEFFERSON,T,HEBRON 
TOWN OF IXONIA (W1-6),BALLOT TOTALS,REGISTERED VOTERS,3383,JEFFERSON,T,IXONIA 
TOWN OF IXONIA (W1-6),BALLOT TOTALS,BALLOTS CAST,3239,JEFFERSON,T,IXONIA 
"TOWN OF JEFFERSON (W1,2)",BALLOT TOTALS,REGISTERED VOTERS,929,JEFFERSON,T,JEFFERSON 
"TOWN OF JEFFERSON (W1,2)",BALLOT TOTALS,BALLOTS CAST,912,JEFFERSON,T,JEFFERSON 
"TOWN OF JEFFERSON (W3,4)",BALLOT TOTALS,REGISTERED VOTERS,486,JEFFERSON,T,JEFFERSON 
"TOWN OF JEFFERSON (W3,4)",BALLOT TOTALS,BALLOTS CAST,480,JEFFERSON,T,JEFFERSON 
TOWN OF KOSHKONONG (W1-6),BALLOT TOTALS,REGISTERED VOTERS,2600,JEFFERSON,T,KOSHKONONG 
TOWN OF KOSHKONONG (W1-6),BALLOT TOTALS,BALLOTS CAST,2420,JEFFERSON,T,KOSHKONONG 
TOWN OF LAKE MILLS (W1-3),BALLOT TOTALS,REGISTERED VOTERS,1663,JEFFERSON,T,LAKE MILLS 
TOWN OF LAKE MILLS (W1-3),BALLOT TOTALS,BALLOTS CAST,1585,JEFFERSON,T,LAKE MILLS 
"TOWN OF MILFORD (W1,2)",BALLOT TOTALS,REGISTERED VOTERS,784,JEFFERSON,T,MILFORD 
"TOWN OF MILFORD (W1,2)",BALLOT TOTALS,BALLOTS CAST,757,JEFFERSON,T,MILFORD 
TOWN OF OAKLAND (W1-4),BALLOT TOTALS,REGISTERED VOTERS,2365,JEFFERSON,T,OAKLAND 
TOWN OF OAKLAND (W1-4),BALLOT TOTALS,BALLOTS CAST,2243,JEFFERSON,T,OAKLAND 
"TOWN OF PALMYRA (W1,2)",BALLOT TOTALS,REGISTERED VOTERS,895,JEFFERSON,T,PALMYRA 
"TOWN OF PALMYRA (W1,2)",BALLOT TOTALS,BALLOTS CAST,863,JEFFERSON,T,PALMYRA 
TOWN OF SULLIVAN (W1-4),BALLOT TOTALS,REGISTERED VOTERS,1675,JEFFERSON,T,SULLIVAN 
TOWN OF SULLIVAN (W1-4),BALLOT TOTALS,BALLOTS CAST,1576,JEFFERSON,T,SULLIVAN 
TOWN OF SUMNER (W1),BALLOT TOTALS,REGISTERED VOTERS,612,JEFFERSON,T,SUMNER 
TOWN OF SUMNER (W1),BALLOT TOTALS,BALLOTS CAST,597,JEFFERSON,T,SUMNER 
TOWN OF WATERLOO (W1),BALLOT TOTALS,REGISTERED VOTERS,650,JEFFERSON,T,WATERLOO 
TOWN OF WATERLOO (W1),BALLOT TOTALS,BALLOTS CAST,631,JEFFERSON,T,WATERLOO 
"TOWN OF WATERTOWN (W1,2)",BALLOT TOTALS,REGISTERED VOTERS,1430,JEFFERSON,T,WATERTOWN 
"TOWN OF WATERTOWN (W1,2)",BALLOT TOTALS,BALLOTS CAST,1359,JEFFERSON,T,WATERTOWN 
VILLAGE OF CAMBRIDGE (W1),BALLOT TOTALS,REGISTERED VOTERS,61,JEFFERSON,V,CAMBRIDGE 
VILLAGE OF CAMBRIDGE (W1),BALLOT TOTALS,BALLOTS CAST,60,JEFFERSON,V,CAMBRIDGE 
VILLAGE OF JOHNSON CREEK(W1-4),BALLOT TOTALS,REGISTERED VOTERS,1959,JEFFERSON,V,JOHNSON CREEK
VILLAGE OF JOHNSON CREEK(W1-4),BALLOT TOTALS,BALLOTS CAST,1932,JEFFERSON,V,JOHNSON CREEK
VILLAGE OF LAC LA BELLE (W2),BALLOT TOTALS,REGISTERED VOTERS,0,JEFFERSON,V,LAC LA BELLE 
VILLAGE OF LAC LA BELLE (W2),BALLOT TOTALS,BALLOTS CAST,0,JEFFERSON,V,LAC LA BELLE 
"VILLAGE OF PALMYRA (W1,2)",BALLOT TOTALS,REGISTERED VOTERS,1103,JEFFERSON,V,PALMYRA 
"VILLAGE OF PALMYRA (W1,2)",BALLOT TOTALS,BALLOTS CAST,1026,JEFFERSON,V,PALMYRA 
"VILLAGE OF SULLIVAN (W1,2)",BALLOT TOTALS,REGISTERED VOTERS,429,JEFFERSON,V,SULLIVAN 
"VILLAGE OF SULLIVAN (W1,2)",BALLOT TOTALS,BALLOTS CAST,390,JEFFERSON,V,SULLIVAN 
CITY OF FORT ATKINSON (W1-13),BALLOT TOTALS,REGISTERED VOTERS,7173,JEFFERSON,C,FORT ATKINSON 
CITY OF FORT ATKINSON (W1-13),BALLOT TOTALS,BALLOTS CAST,6789,JEFFERSON,C,FORT ATKINSON 
CITY OF JEFFERSON (W1-10),BALLOT TOTALS,REGISTERED VOTERS,4379,JEFFERSON,C,JEFFERSON 
CITY OF JEFFERSON (W1-10),BALLOT TOTALS,BALLOTS CAST,4215,JEFFERSON,C,JEFFERSON 
CITY OF LAKE MILLS (W1-8),BALLOT TOTALS,REGISTERED VOTERS,4293,JEFFERSON,C,LAKE MILLS 
CITY OF LAKE MILLS (W1-8),BALLOT TOTALS,BALLOTS CAST,4128,JEFFERSON,C,LAKE MILLS 
CITY OF WATERLOO (W1-5),BALLOT TOTALS,REGISTERED VOTERS,2107,JEFFERSON,C,WATERLOO 
CITY OF WATERLOO (W1-5),BALLOT TOTALS,BALLOTS CAST,1967,JEFFERSON,C,WATERLOO 
"CITY OF WATERTOWN (W9,10)",BALLOT TOTALS,REGISTERED VOTERS,1101,JEFFERSON,C,WATERTOWN 
"CITY OF WATERTOWN (W9,10)",BALLOT TOTALS,BALLOTS CAST,1055,JEFFERSON,C,WATERTOWN 
CITY OF WATERTOWN (W11-13),BALLOT TOTALS,REGISTERED VOTERS,1339,JEFFERSON,C,WATERTOWN 
CITY OF WATERTOWN (W11-13),BALLOT TOTALS,BALLOTS CAST,1229,JEFFERSON,C,WATERTOWN 
"CITY OF WATERTOWN (W14,15)",BALLOT TOTALS,REGISTERED VOTERS,896,JEFFERSON,C,WATERTOWN 
"CITY OF WATERTOWN (W14,15)",BALLOT TOTALS,BALLOTS CAST,900,JEFFERSON,C,WATERTOWN 
"CITY OF WATERTOWN (W16,17)",BALLOT TOTALS,REGISTERED VOTERS,1478,JEFFERSON,C,WATERTOWN 
"CITY OF WATERTOWN (W16,17)",BALLOT TOTALS,BALLOTS CAST,1424,JEFFERSON,C,WATERTOWN 
"CITY OF WATERTOWN (W18,19)",BALLOT TOTALS,REGISTERED VOTERS,1411,JEFFERSON,C,WATERTOWN 
"CITY OF WATERTOWN (W18,19)",BALLOT TOTALS,BALLOTS CAST,1342,JEFFERSON,C,WATERTOWN 
CITY OF WATERTOWN (W20-22),BALLOT TOTALS,REGISTERED VOTERS,1680,JEFFERSON,C,WATERTOWN 
CITY OF WATERTOWN (W20-22),BALLOT TOTALS,BALLOTS CAST,0,JEFFERSON,C,WATERTOWN 
CITY OF WHITEWATER (W11-13),BALLOT TOTALS,REGISTERED VOTERS,862,JEFFERSON,C,WHITEWATER 
CITY OF WHITEWATER (W11-13),BALLOT TOTALS,BALLOTS CAST,319,JEFFERSON,C,WHITEWATER 
"TOWN OF AZTALAN (W1,3)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,DEM HARRIS/WALZ,226,JEFFERSON,T,AZTALAN 
"TOWN OF AZTALAN (W1,3)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,REP TRUMP/VANCE,326,JEFFERSON,T,AZTALAN 
"TOWN OF AZTALAN (W1,3)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,CON TERRY/BRODEN,0,JEFFERSON,T,AZTALAN 
"TOWN OF AZTALAN (W1,3)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,LIB OLIVER/TER MAAT,3,JEFFERSON,T,AZTALAN 
"TOWN OF AZTALAN (W1,3)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,WGR STEIN/WARE,0,JEFFERSON,T,AZTALAN 
"TOWN OF AZTALAN (W1,3)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,IND DE LA CRUZ/GARCIA,0,JEFFERSON,T,AZTALAN 
"TOWN OF AZTALAN (W1,3)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,IND WEST/ABDULLAH,0,JEFFERSON,T,AZTALAN 
"TOWN OF AZTALAN (W1,3)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,"IND KENNEDY, JR./SHANAHAN",3,JEFFERSON,T,AZTALAN 
"TOWN OF AZTALAN (W2,4)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,DEM HARRIS/WALZ,131,JEFFERSON,T,AZTALAN 
"TOWN OF AZTALAN (W2,4)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,REP TRUMP/VANCE,197,JEFFERSON,T,AZTALAN 
"TOWN OF AZTALAN (W2,4)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,CON TERRY/BRODEN,1,JEFFERSON,T,AZTALAN 
"TOWN OF AZTALAN (W2,4)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,LIB OLIVER/TER MAAT,3,JEFFERSON,T,AZTALAN 
"TOWN OF AZTALAN (W2,4)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,WGR STEIN/WARE,0,JEFFERSON,T,AZTALAN 
"TOWN OF AZTALAN (W2,4)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,IND DE LA CRUZ/GARCIA,0,JEFFERSON,T,AZTALAN 
"TOWN OF AZTALAN (W2,4)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,IND WEST/ABDULLAH,0,JEFFERSON,T,AZTALAN 
"TOWN OF AZTALAN (W2,4)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,"IND KENNEDY, JR./SHANAHAN",4,JEFFERSON,T,AZTALAN 
TOWN OF COLD SPRING (W1),PRESIDENT / VICE PRESIDENT VOTE FOR 1,DEM HARRIS/WALZ,178,JEFFERSON,T,COLD SPRING 
TOWN OF COLD SPRING (W1),PRESIDENT / VICE PRESIDENT VOTE FOR 1,REP TRUMP/VANCE,314,JEFFERSON,T,COLD SPRING 
TOWN OF COLD SPRING (W1),PRESIDENT / VICE PRESIDENT VOTE FOR 1,CON TERRY/BRODEN,0,JEFFERSON,T,COLD SPRING 
TOWN OF COLD SPRING (W1),PRESIDENT / VICE PRESIDENT VOTE FOR 1,LIB OLIVER/TER MAAT,3,JEFFERSON,T,COLD SPRING 
TOWN OF COLD SPRING (W1),PRESIDENT / VICE PRESIDENT VOTE FOR 1,WGR STEIN/WARE,1,JEFFERSON,T,COLD SPRING 
TOWN OF COLD SPRING (W1),PRESIDENT / VICE PRESIDENT VOTE FOR 1,IND DE LA CRUZ/GARCIA,2,JEFFERSON,T,COLD SPRING 
TOWN OF COLD SPRING (W1),PRESIDENT / VICE PRESIDENT VOTE FOR 1,IND WEST/ABDULLAH,0,JEFFERSON,T,COLD SPRING 
TOWN OF COLD SPRING (W1),PRESIDENT / VICE PRESIDENT VOTE FOR 1,"IND KENNEDY, JR./SHANAHAN",2,JEFFERSON,T,COLD SPRING 
"TOWN OF CONCORD (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,DEM HARRIS/WALZ,403,JEFFERSON,T,CONCORD 
"TOWN OF CONCORD (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,REP TRUMP/VANCE,960,JEFFERSON,T,CONCORD 
"TOWN OF CONCORD (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,CON TERRY/BRODEN,1,JEFFERSON,T,CONCORD 
"TOWN OF CONCORD (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,LIB OLIVER/TER MAAT,7,JEFFERSON,T,CONCORD 
"TOWN OF CONCORD (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,WGR STEIN/WARE,2,JEFFERSON,T,CONCORD 
"TOWN OF CONCORD (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,IND DE LA CRUZ/GARCIA,0,JEFFERSON,T,CONCORD 
"TOWN OF CONCORD (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,IND WEST/ABDULLAH,1,JEFFERSON,T,CONCORD 
"TOWN OF CONCORD (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,"IND KENNEDY, JR./SHANAHAN",6,JEFFERSON,T,CONCORD 
TOWN OF FARMINGTON (W1-3),PRESIDENT / VICE PRESIDENT VOTE FOR 1,DEM HARRIS/WALZ,287,JEFFERSON,T,FARMINGTON 
TOWN OF FARMINGTON (W1-3),PRESIDENT / VICE PRESIDENT VOTE FOR 1,REP TRUMP/VANCE,694,JEFFERSON,T,FARMINGTON 
TOWN OF FARMINGTON (W1-3),PRESIDENT / VICE PRESIDENT VOTE FOR 1,CON TERRY/BRODEN,0,JEFFERSON,T,FARMINGTON 
TOWN OF FARMINGTON (W1-3),PRESIDENT / VICE PRESIDENT VOTE FOR 1,LIB OLIVER/TER MAAT,3,JEFFERSON,T,FARMINGTON 
TOWN OF FARMINGTON (W1-3),PRESIDENT / VICE PRESIDENT VOTE FOR 1,WGR STEIN/WARE,3,JEFFERSON,T,FARMINGTON 
TOWN OF FARMINGTON (W1-3),PRESIDENT / VICE PRESIDENT VOTE FOR 1,IND DE LA CRUZ/GARCIA,0,JEFFERSON,T,FARMINGTON 
TOWN OF FARMINGTON (W1-3),PRESIDENT / VICE PRESIDENT VOTE FOR 1,IND WEST/ABDULLAH,0,JEFFERSON,T,FARMINGTON 
TOWN OF FARMINGTON (W1-3),PRESIDENT / VICE PRESIDENT VOTE FOR 1,"IND KENNEDY, JR./SHANAHAN",2,JEFFERSON,T,FARMINGTON 
"TOWN OF HEBRON (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,DEM HARRIS/WALZ,229,JEFFERSON,T,HEBRON 
"TOWN OF HEBRON (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,REP TRUMP/VANCE,493,JEFFERSON,T,HEBRON 
"TOWN OF HEBRON (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,CON TERRY/BRODEN,0,JEFFERSON,T,HEBRON 
"TOWN OF HEBRON (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,LIB OLIVER/TER MAAT,3,JEFFERSON,T,HEBRON 
"TOWN OF HEBRON (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,WGR STEIN/WARE,3,JEFFERSON,T,HEBRON 
"TOWN OF HEBRON (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,IND DE LA CRUZ/GARCIA,1,JEFFERSON,T,HEBRON 
"TOWN OF HEBRON (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,IND WEST/ABDULLAH,0,JEFFERSON,T,HEBRON 
"TOWN OF HEBRON (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,"IND KENNEDY, JR./SHANAHAN",2,JEFFERSON,T,HEBRON 
TOWN OF IXONIA (W1-6),PRESIDENT / VICE PRESIDENT VOTE FOR 1,DEM HARRIS/WALZ,887,JEFFERSON,T,IXONIA 
TOWN OF IXONIA (W1-6),PRESIDENT / VICE PRESIDENT VOTE FOR 1,REP TRUMP/VANCE,2289,JEFFERSON,T,IXONIA 
TOWN OF IXONIA (W1-6),PRESIDENT / VICE PRESIDENT VOTE FOR 1,CON TERRY/BRODEN,6,JEFFERSON,T,IXONIA 
TOWN OF IXONIA (W1-6),PRESIDENT / VICE PRESIDENT VOTE FOR 1,LIB OLIVER/TER MAAT,10,JEFFERSON,T,IXONIA 
TOWN OF IXONIA (W1-6),PRESIDENT / VICE PRESIDENT VOTE FOR 1,WGR STEIN/WARE,4,JEFFERSON,T,IXONIA 
TOWN OF IXONIA (W1-6),PRESIDENT / VICE PRESIDENT VOTE FOR 1,IND DE LA CRUZ/GARCIA,0,JEFFERSON,T,IXONIA 
TOWN OF IXONIA (W1-6),PRESIDENT / VICE PRESIDENT VOTE FOR 1,IND WEST/ABDULLAH,7,JEFFERSON,T,IXONIA 
TOWN OF IXONIA (W1-6),PRESIDENT / VICE PRESIDENT VOTE FOR 1,"IND KENNEDY, JR./SHANAHAN",21,JEFFERSON,T,IXONIA 
"TOWN OF JEFFERSON (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,DEM HARRIS/WALZ,287,JEFFERSON,T,JEFFERSON 
"TOWN OF JEFFERSON (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,REP TRUMP/VANCE,606,JEFFERSON,T,JEFFERSON 
"TOWN OF JEFFERSON (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,CON TERRY/BRODEN,2,JEFFERSON,T,JEFFERSON 
"TOWN OF JEFFERSON (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,LIB OLIVER/TER MAAT,1,JEFFERSON,T,JEFFERSON 
"TOWN OF JEFFERSON (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,WGR STEIN/WARE,2,JEFFERSON,T,JEFFERSON 
"TOWN OF JEFFERSON (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,IND DE LA CRUZ/GARCIA,0,JEFFERSON,T,JEFFERSON 
"TOWN OF JEFFERSON (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,IND WEST/ABDULLAH,3,JEFFERSON,T,JEFFERSON 
"TOWN OF JEFFERSON (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,"IND KENNEDY, JR./SHANAHAN",2,JEFFERSON,T,JEFFERSON 
"TOWN OF JEFFERSON (W3,4)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,DEM HARRIS/WALZ,167,JEFFERSON,T,JEFFERSON 
"TOWN OF JEFFERSON (W3,4)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,REP TRUMP/VANCE,308,JEFFERSON,T,JEFFERSON 
"TOWN OF JEFFERSON (W3,4)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,CON TERRY/BRODEN,1,JEFFERSON,T,JEFFERSON 
"TOWN OF JEFFERSON (W3,4)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,LIB OLIVER/TER MAAT,0,JEFFERSON,T,JEFFERSON 
"TOWN OF JEFFERSON (W3,4)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,WGR STEIN/WARE,0,JEFFERSON,T,JEFFERSON 
"TOWN OF JEFFERSON (W3,4)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,IND DE LA CRUZ/GARCIA,0,JEFFERSON,T,JEFFERSON 
"TOWN OF JEFFERSON (W3,4)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,IND WEST/ABDULLAH,0,JEFFERSON,T,JEFFERSON 
"TOWN OF JEFFERSON (W3,4)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,"IND KENNEDY, JR./SHANAHAN",2,JEFFERSON,T,JEFFERSON 
TOWN OF KOSHKONONG (W1-6),PRESIDENT / VICE PRESIDENT VOTE FOR 1,DEM HARRIS/WALZ,889,JEFFERSON,T,KOSHKONONG 
TOWN OF KOSHKONONG (W1-6),PRESIDENT / VICE PRESIDENT VOTE FOR 1,REP TRUMP/VANCE,1466,JEFFERSON,T,KOSHKONONG 
TOWN OF KOSHKONONG (W1-6),PRESIDENT / VICE PRESIDENT VOTE FOR 1,CON TERRY/BRODEN,1,JEFFERSON,T,KOSHKONONG 
TOWN OF KOSHKONONG (W1-6),PRESIDENT / VICE PRESIDENT VOTE FOR 1,LIB OLIVER/TER MAAT,12,JEFFERSON,T,KOSHKONONG 
TOWN OF KOSHKONONG (W1-6),PRESIDENT / VICE PRESIDENT VOTE FOR 1,WGR STEIN/WARE,5,JEFFERSON,T,KOSHKONONG 
TOWN OF KOSHKONONG (W1-6),PRESIDENT / VICE PRESIDENT VOTE FOR 1,IND DE LA CRUZ/GARCIA,0,JEFFERSON,T,KOSHKONONG 
TOWN OF KOSHKONONG (W1-6),PRESIDENT / VICE PRESIDENT VOTE FOR 1,IND WEST/ABDULLAH,2,JEFFERSON,T,KOSHKONONG 
TOWN OF KOSHKONONG (W1-6),PRESIDENT / VICE PRESIDENT VOTE FOR 1,"IND KENNEDY, JR./SHANAHAN",24,JEFFERSON,T,KOSHKONONG 
TOWN OF LAKE MILLS (W1-3),PRESIDENT / VICE PRESIDENT VOTE FOR 1,DEM HARRIS/WALZ,804,JEFFERSON,T,LAKE MILLS 
TOWN OF LAKE MILLS (W1-3),PRESIDENT / VICE PRESIDENT VOTE FOR 1,REP TRUMP/VANCE,748,JEFFERSON,T,LAKE MILLS 
TOWN OF LAKE MILLS (W1-3),PRESIDENT / VICE PRESIDENT VOTE FOR 1,CON TERRY/BRODEN,3,JEFFERSON,T,LAKE MILLS 
TOWN OF LAKE MILLS (W1-3),PRESIDENT / VICE PRESIDENT VOTE FOR 1,LIB OLIVER/TER MAAT,10,JEFFERSON,T,LAKE MILLS 
TOWN OF LAKE MILLS (W1-3),PRESIDENT / VICE PRESIDENT VOTE FOR 1,WGR STEIN/WARE,3,JEFFERSON,T,LAKE MILLS 
TOWN OF LAKE MILLS (W1-3),PRESIDENT / VICE PRESIDENT VOTE FOR 1,IND DE LA CRUZ/GARCIA,0,JEFFERSON,T,LAKE MILLS 
TOWN OF LAKE MILLS (W1-3),PRESIDENT / VICE PRESIDENT VOTE FOR 1,IND WEST/ABDULLAH,0,JEFFERSON,T,LAKE MILLS 
TOWN OF LAKE MILLS (W1-3),PRESIDENT / VICE PRESIDENT VOTE FOR 1,"IND KENNEDY, JR./SHANAHAN",9,JEFFERSON,T,LAKE MILLS 
"TOWN OF MILFORD (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,DEM HARRIS/WALZ,285,JEFFERSON,T,MILFORD 
"TOWN OF MILFORD (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,REP TRUMP/VANCE,457,JEFFERSON,T,MILFORD 
"TOWN OF MILFORD (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,CON TERRY/BRODEN,1,JEFFERSON,T,MILFORD 
"TOWN OF MILFORD (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,LIB OLIVER/TER MAAT,3,JEFFERSON,T,MILFORD 
"TOWN OF MILFORD (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,WGR STEIN/WARE,2,JEFFERSON,T,MILFORD 
"TOWN OF MILFORD (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,IND DE LA CRUZ/GARCIA,0,JEFFERSON,T,MILFORD 
"TOWN OF MILFORD (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,IND WEST/ABDULLAH,0,JEFFERSON,T,MILFORD 
"TOWN OF MILFORD (W1,2)",PRESIDENT / VICE PRESIDENT VOTE FOR 1,"IND KENNEDY, JR./SHANAHAN",3,JEFFERSON,T,MILFORD 
