municipality,reporting_unit,contest,candidate,votes,county,ctv
KENOSHA,CITY OF KENOSHA WARDS 1,PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,368,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,313,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,PRESIDENT / VICE PRESIDENT,GRN JILL STEIN / RUDOLPH WARE,13,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,PRESIDENT / VICE PRESIDENT,"WTP ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",4,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,3,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,1,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,PRESIDENT / VICE PRESIDENT,JFA CORNEL WEST / MELINA ABDULLAH,1,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,PRESIDENT / VICE PRESIDENT,PSL CLAUDIA DE LA CRUZ / KARINA GARCIA,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,PRESIDENT / VICE PRESIDENT,WRITE-IN NA,8,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,UNITED STATES SENATOR,DEM TAMMY BALDWIN,381,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,UNITED STATES SENATOR,REP ERIC HOVDE,292,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,UNITED STATES SENATOR,DTC PHIL ANDERSON,13,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,UNITED STATES SENATOR,AFT THOMAS LEAGER,10,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,UNITED STATES SENATOR,WRITE-IN NA,0,KENOSHA,C
