reporting_unit,contest,candidate,votes,county,ctv,municipality
T BRIGHTON W 1-4,PRESIDENT / VICE PRESIDENT,DEM KAMALAD. HARRIS / TIMWALZ,288,KENOSHA,T,BRIGHTON
T BRIGHTON W 1-4,PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JDVANCE,764,KENOSHA,T,BRIGHTON
T BRIGHTON W 1-4,PRESIDENT / VICE PRESIDENT,CON RANDALLTERRY / STEPHEN BRODEN,0,KENOSHA,T,BRIGHTON
T BRIGHTON W 1-4,PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,0,KENOSHA,T,BRIGHTON
T BRIGHTON W 1-4,PRESIDENT / VICE PRESIDENT,GRN JILL STEIN/ RUDOLPHWARE,0,KENOSHA,T,BRIGHTON
T BRIGHTON W 1-4,PRESIDENT / VICE PRESIDENT,PSL CLAUDIA DE LA CRUZ / KARINA GARCIA,0,KENOSHA,T,BRIGHTON
T BRIGHTON W 1-4,PRESIDENT / VICE PRESIDENT,JFA CORNEL WEST / MELINAABDULLAH,0,KENOSHA,T,BRIGHTON
T BRIGHTON W 1-4,PRESIDENT / VICE PRESIDENT,"WTP ROBERT F. KENNEDY, JR. /NICOLE SHANAHAN",3,KENOSHA,T,BRIGHTON
T BRIGHTON W 1-4,PRESIDENT / VICE PRESIDENT,WRITE-IN TOTALS,1,KENOSHA,T,BRIGHTON
"T PARIS W 1,2",PRESIDENT / VICE PRESIDENT,DEM KAMALAD. HARRIS / TIMWALZ,313,KENOSHA,T,PARIS
"T PARIS W 1,2",PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JDVANCE,672,KENOSHA,T,PARIS
"T PARIS W 1,2",PRESIDENT / VICE PRESIDENT,CON RANDALLTERRY / STEPHEN BRODEN,2,KENOSHA,T,PARIS
"T PARIS W 1,2",PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,1,KENOSHA,T,PARIS
"T PARIS W 1,2",PRESIDENT / VICE PRESIDENT,GRN JILL STEIN/ RUDOLPHWARE,4,KENOSHA,T,PARIS
"T PARIS W 1,2",PRESIDENT / VICE PRESIDENT,PSL CLAUDIA DE LA CRUZ / KARINA GARCIA,0,KENOSHA,T,PARIS
"T PARIS W 1,2",PRESIDENT / VICE PRESIDENT,JFA CORNEL WEST / MELINAABDULLAH,0,KENOSHA,T,PARIS
"T PARIS W 1,2",PRESIDENT / VICE PRESIDENT,"WTP ROBERT F. KENNEDY, JR. /NICOLE SHANAHAN",5,KENOSHA,T,PARIS
"T PARIS W 1,2",PRESIDENT / VICE PRESIDENT,WRITE-IN TOTALS,1,KENOSHA,T,PARIS
T RANDALL W 1-6,PRESIDENT / VICE PRESIDENT,DEM KAMALAD. HARRIS / TIMWALZ,629,KENOSHA,T,RANDALL
T RANDALL W 1-6,PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JDVANCE,1547,KENOSHA,T,RANDALL
T RANDALL W 1-6,PRESIDENT / VICE PRESIDENT,CON RANDALLTERRY / STEPHEN BRODEN,3,KENOSHA,T,RANDALL
T RANDALL W 1-6,PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,2,KENOSHA,T,RANDALL
T RANDALL W 1-6,PRESIDENT / VICE PRESIDENT,GRN JILL STEIN/ RUDOLPHWARE,6,KENOSHA,T,RANDALL
T RANDALL W 1-6,PRESIDENT / VICE PRESIDENT,PSL CLAUDIA DE LA CRUZ / KARINA GARCIA,0,KENOSHA,T,RANDALL
T RANDALL W 1-6,PRESIDENT / VICE PRESIDENT,JFA CORNEL WEST / MELINAABDULLAH,1,KENOSHA,T,RANDALL
T RANDALL W 1-6,PRESIDENT / VICE PRESIDENT,"WTP ROBERT F. KENNEDY, JR. /NICOLE SHANAHAN",13,KENOSHA,T,RANDALL
T RANDALL W 1-6,PRESIDENT / VICE PRESIDENT,WRITE-IN TOTALS,8,KENOSHA,T,RANDALL
