contest,candidate,reporting_unit,votes,county,ctv,municipality
PRESIDENT/ VICE PRESIDENT,KAMALA D. HARRIS/ TIM WALZ (DEMOCRATIC),AHNAPEE,224,KEWAUNEE,T,AHNAPEE
PRESIDENT/ VICE PRESIDENT,KAMALA D. HARRIS/ TIM WALZ (DEMOCRATIC),CARLTON,165,KEWAUNEE,T,CARLTON
PRESIDENT/ VICE PRESIDENT,KAMALA D. HARRIS/ TIM WALZ (DEMOCRATIC),CASCO,204,KEWAUNEE,T,CASCO
PRESIDENT/ VICE PRESIDENT,KAMALA D. HARRIS/ TIM WALZ (DEMOCRATIC),FRANKLIN,165,KEWAUNEE,T,FRANKLIN
PRESIDENT/ VICE PRESIDENT,KAMALA D. HARRIS/ TIM WALZ (DEMOCRATIC),LINCOLN,161,KEWAUNEE,T,LINCOLN
PRESIDENT/ VICE PRESIDENT,KAMALA D. HARRIS/ TIM WALZ (DEMOCRATIC),LUXEMBURG,208,KEWAUNEE,T,LUXEMBURG
PRESIDENT/ VICE PRESIDENT,KAMALA D. HARRIS/ TIM WALZ (DEMOCRATIC),MONTPELIER,252,KEWAUNEE,T,MONTPELIER
PRESIDENT/ VICE PRESIDENT,KAMALA D. HARRIS/ TIM WALZ (DEMOCRATIC),PIERCE,182,KEWAUNEE,T,PIERCE
PRESIDENT/ VICE PRESIDENT,KAMALA D. HARRIS/ TIM WALZ (DEMOCRATIC),RED RIVER,254,KEWAUNEE,T,RED RIVER
PRESIDENT/ VICE PRESIDENT,KAMALA D. HARRIS/ TIM WALZ (DEMOCRATIC),WEST KEWAUNEE,176,KEWAUNEE,T,WEST KEWAUNEE
PRESIDENT/ VICE PRESIDENT,KAMALA D. HARRIS/ TIM WALZ (DEMOCRATIC),VILLAGE CASCO,106,KEWAUNEE,V,CASCO
PRESIDENT/ VICE PRESIDENT,KAMALA D. HARRIS/ TIM WALZ (DEMOCRATIC),VILLAGE LUXEMBURG,450,KEWAUNEE,V,LUXEMBURG
PRESIDENT/ VICE PRESIDENT,KAMALA D. HARRIS/ TIM WALZ (DEMOCRATIC),CITY ALGOMA,854,KEWAUNEE,C,ALGOMA
