reporting_unit,contest,candidate,votes,county,ctv,municipality
TOWN OF BANGOR,PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,0,LA CROSSE,T,BANGOR
TOWN OF BANGOR,PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,0,LA CROSSE,T,BANGOR
TOWN OF BANGOR,PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,0,LA CROSSE,T,BANGOR
TOWN OF BANGOR,PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,0,LA CROSSE,T,BANGOR
TOWN OF BANGOR,PRESIDENT / VICE PRESIDENT,WG JILL STEIN / RUDOLPH WARE,0,LA CROSSE,T,BANGOR
TOWN OF BANGOR,PRESIDENT / VICE PRESIDENT,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,LA CROSSE,T,BANGOR
TOWN OF BANGOR,PRESIDENT / VICE PRESIDENT,IND CORNEL WEST / MELINA ABDULLAH,0,LA CROSSE,T,BANGOR
TOWN OF BANGOR,PRESIDENT / VICE PRESIDENT,IND ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,0,LA CROSSE,T,BANGOR
TOWN OF BANGOR,PRESIDENT / VICE PRESIDENT,WRITE-IN TOTALS,0,LA CROSSE,T,BANGOR
TOWN OF BARRE,PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,0,LA CROSSE,T,BARRE
TOWN OF BARRE,PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,0,LA CROSSE,T,BARRE
TOWN OF BARRE,PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,0,LA CROSSE,T,BARRE
TOWN OF BARRE,PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,0,LA CROSSE,T,BARRE
TOWN OF BARRE,PRESIDENT / VICE PRESIDENT,WG JILL STEIN / RUDOLPH WARE,0,LA CROSSE,T,BARRE
TOWN OF BARRE,PRESIDENT / VICE PRESIDENT,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,LA CROSSE,T,BARRE
TOWN OF BARRE,PRESIDENT / VICE PRESIDENT,IND CORNEL WEST / MELINA ABDULLAH,0,LA CROSSE,T,BARRE
TOWN OF BARRE,PRESIDENT / VICE PRESIDENT,IND ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,0,LA CROSSE,T,BARRE
