contest,candidate,reporting_unit,votes,county,ctv,municipality
PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS,TOWN ACKLEY,109,LANGLADE,T,ACKLEY
PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS,TOWN AINSWORTH,92,LANGLADE,T,AINSWORTH
PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS,TOWN ANTIGO WD 1-2,250,LANGLADE,T,ANTIGO
PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS,TOWN ELCHO WD 1-2,270,LANGLADE,T,ELCHO
PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS,TOWN EVERGREEN,85,LANGLADE,T,EVERGREEN
PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS,TOWN LANGLADE WD 1-2,100,LANGLADE,T,LANGLADE
PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS,TOWN NEVA,176,LANGLADE,T,NEVA
PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS,TOWN NORWOOD,163,LANGLADE,T,NORWOOD
PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS,TOWN PARRISH,21,LANGLADE,T,PARRISH
PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS,TOWN PECK,46,LANGLADE,T,PECK
PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS,TOWN POLAR WD 1-2,180,LANGLADE,T,POLAR
PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS,TOWN PRICE WD 1-2,43,LANGLADE,T,PRICE
PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS,TOWN ROLLING WD 1-2,266,LANGLADE,T,ROLLING
PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS,TOWN SUMMIT,32,LANGLADE,T,SUMMIT
PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS,TOWN UPHAM,161,LANGLADE,T,UPHAM
PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS,TOWN VILAS,24,LANGLADE,T,VILAS
PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS,TOWN WOLF RIVER WD 1-2,159,LANGLADE,T,WOLF RIVER
PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS,VILLAGE WHITE LAKE,65,LANGLADE,V,WHITE LAKE
PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS,CITY OF ANTIGO WARD 1,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS,CITY OF ANTIGO WARD 2,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS,CITY OF ANTIGO WARD 3,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS,CITY OF ANTIGO WARD 4,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS,CITY OF ANTIGO WARD 5,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS,CITY OF ANTIGO WARD 6,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS,CITY OF ANTIGO WARD 7,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS,CITY OF ANTIGO WARD 8,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS,CITY OF ANTIGO WARD 9,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,DONALD J. TRUMP,TOWN ACKLEY,210,LANGLADE,T,ACKLEY
PRESIDENT OF THE UNITED STATES,DONALD J. TRUMP,TOWN AINSWORTH,252,LANGLADE,T,AINSWORTH
PRESIDENT OF THE UNITED STATES,DONALD J. TRUMP,TOWN ANTIGO WD 1-2,601,LANGLADE,T,ANTIGO
PRESIDENT OF THE UNITED STATES,DONALD J. TRUMP,TOWN ELCHO WD 1-2,598,LANGLADE,T,ELCHO
PRESIDENT OF THE UNITED STATES,DONALD J. TRUMP,TOWN EVERGREEN,217,LANGLADE,T,EVERGREEN
PRESIDENT OF THE UNITED STATES,DONALD J. TRUMP,TOWN LANGLADE WD 1-2,227,LANGLADE,T,LANGLADE
PRESIDENT OF THE UNITED STATES,DONALD J. TRUMP,TOWN NEVA,396,LANGLADE,T,NEVA
PRESIDENT OF THE UNITED STATES,DONALD J. TRUMP,TOWN NORWOOD,420,LANGLADE,T,NORWOOD
PRESIDENT OF THE UNITED STATES,DONALD J. TRUMP,TOWN PARRISH,51,LANGLADE,T,PARRISH
PRESIDENT OF THE UNITED STATES,DONALD J. TRUMP,TOWN PECK,171,LANGLADE,T,PECK
PRESIDENT OF THE UNITED STATES,DONALD J. TRUMP,TOWN POLAR WD 1-2,476,LANGLADE,T,POLAR
PRESIDENT OF THE UNITED STATES,DONALD J. TRUMP,TOWN PRICE WD 1-2,97,LANGLADE,T,PRICE
PRESIDENT OF THE UNITED STATES,DONALD J. TRUMP,TOWN ROLLING WD 1-2,643,LANGLADE,T,ROLLING
PRESIDENT OF THE UNITED STATES,DONALD J. TRUMP,TOWN SUMMIT,74,LANGLADE,T,SUMMIT
PRESIDENT OF THE UNITED STATES,DONALD J. TRUMP,TOWN UPHAM,385,LANGLADE,T,UPHAM
PRESIDENT OF THE UNITED STATES,DONALD J. TRUMP,TOWN VILAS,114,LANGLADE,T,VILAS
PRESIDENT OF THE UNITED STATES,DONALD J. TRUMP,TOWN WOLF RIVER WD 1-2,394,LANGLADE,T,WOLF RIVER
PRESIDENT OF THE UNITED STATES,DONALD J. TRUMP,VILLAGE WHITE LAKE,110,LANGLADE,V,WHITE LAKE
PRESIDENT OF THE UNITED STATES,DONALD J. TRUMP,CITY OF ANTIGO WARD 1,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,DONALD J. TRUMP,CITY OF ANTIGO WARD 2,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,DONALD J. TRUMP,CITY OF ANTIGO WARD 3,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,DONALD J. TRUMP,CITY OF ANTIGO WARD 4,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,DONALD J. TRUMP,CITY OF ANTIGO WARD 5,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,DONALD J. TRUMP,CITY OF ANTIGO WARD 6,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,DONALD J. TRUMP,CITY OF ANTIGO WARD 7,0,LANGLADE,C,ANTIGO
