contest,candidate,votes,reporting_unit,county,ctv,municipality
PRESIDENT / VICE PRESIDENT,DEM HARRIS / WALZ,89,TOWN OF BIRCH,LINCOLN,T,BIRCH
PRESIDENT / VICE PRESIDENT,REP TRUMP / VANCE,198,TOWN OF BIRCH,LINCOLN,T,BIRCH
PRESIDENT / VICE PRESIDENT,CON TERRY / BRODEN,1,TOWN OF BIRCH,LINCOLN,T,BIRCH
PRESIDENT / VICE PRESIDENT,LIB OLIVER / TER MAAT,1,TOWN OF BIRCH,LINCOLN,T,BIRCH
PRESIDENT / VICE PRESIDENT,WGP STEIN / WARE,1,TOWN OF BIRCH,LINCOLN,T,BIRCH
PRESIDENT / VICE PRESIDENT,IND DE LA CRUZ / GARCIA,0,TOWN OF BIRCH,LINCOLN,T,BIRCH
PRESIDENT / VICE PRESIDENT,IND WEST / ABDULLAH,0,TOWN OF BIRCH,LINCOLN,T,BIRCH
PRESIDENT / VICE PRESIDENT,"IND KENNEDY, JR. / SHANAHAN",0,TOWN OF BIRCH,LINCOLN,T,BIRCH
PRESIDENT / VICE PRESIDENT,WRITE-IN TOTALS,0,TOWN OF BIRCH,LINCOLN,T,BIRCH
UNITED STATES SENATOR,DEM TAMMY BALDWIN,91,TOWN OF BIRCH,LINCOLN,T,BIRCH
UNITED STATES SENATOR,REP ERIC HOVDE,189,TOWN OF BIRCH,LINCOLN,T,BIRCH
UNITED STATES SENATOR,IND PHIL ANDERSON,4,TOWN OF BIRCH,LINCOLN,T,BIRCH
UNITED STATES SENATOR,IND THOMAS LEAGER,4,TOWN OF BIRCH,LINCOLN,T,BIRCH
UNITED STATES SENATOR,WRITE-IN TOTALS,1,TOWN OF BIRCH,LINCOLN,T,BIRCH
REPRESENTATIVE IN CONGRESS DIST 7,DEM KYLE KILBOURN,85,TOWN OF BIRCH,LINCOLN,T,BIRCH
REPRESENTATIVE IN CONGRESS DIST 7,REP TOM TIFFANY,196,TOWN OF BIRCH,LINCOLN,T,BIRCH
REPRESENTATIVE IN CONGRESS DIST 7,WRITE-IN TOTALS,1,TOWN OF BIRCH,LINCOLN,T,BIRCH
STATE SENATOR DISTRICT 12,DEM ANDI RICH,79,TOWN OF BIRCH,LINCOLN,T,BIRCH
STATE SENATOR DISTRICT 12,REP MARY FELZKOWSKI,202,TOWN OF BIRCH,LINCOLN,T,BIRCH
STATE SENATOR DISTRICT 12,WRITE-IN TOTALS,0,TOWN OF BIRCH,LINCOLN,T,BIRCH
REPRESENTATIVE TO THE ASSEMBLY DIST 35,DEM ELIZABETH MCCRANK,87,TOWN OF BIRCH,LINCOLN,T,BIRCH
REPRESENTATIVE TO THE ASSEMBLY DIST 35,REP CALVIN CALLAHAN,194,TOWN OF BIRCH,LINCOLN,T,BIRCH
REPRESENTATIVE TO THE ASSEMBLY DIST 35,WRITE-IN TOTALS,0,TOWN OF BIRCH,LINCOLN,T,BIRCH
LINCOLN COUNTY DISTRICT ATTORNEY,DEM KRISTOPHER ELLIS,168,TOWN OF BIRCH,LINCOLN,T,BIRCH
LINCOLN COUNTY DISTRICT ATTORNEY,WRITE-IN TOTALS,6,TOWN OF BIRCH,LINCOLN,T,BIRCH
COUNTY CLERK,REP CHRIS MARLOWE,240,TOWN OF BIRCH,LINCOLN,T,BIRCH
COUNTY CLERK,WRITE-IN TOTALS,7,TOWN OF BIRCH,LINCOLN,T,BIRCH
COUNTY TREASURER,REP ROBBIN GIGL,235,TOWN OF BIRCH,LINCOLN,T,BIRCH
COUNTY TREASURER,WRITE-IN TOTALS,3,TOWN OF BIRCH,LINCOLN,T,BIRCH
REGISTER OF DEEDS,REP SARAH KOSS,242,TOWN OF BIRCH,LINCOLN,T,BIRCH
REGISTER OF DEEDS,WRITE-IN TOTALS,2,TOWN OF BIRCH,LINCOLN,T,BIRCH
ELIGIBILITY TO VOTE.,YES,219,TOWN OF BIRCH,LINCOLN,T,BIRCH
ELIGIBILITY TO VOTE.,NO,38,TOWN OF BIRCH,LINCOLN,T,BIRCH
PRESIDENT / VICE PRESIDENT,DEM HARRIS / WALZ,633,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
PRESIDENT / VICE PRESIDENT,REP TRUMP / VANCE,1077,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
PRESIDENT / VICE PRESIDENT,CON TERRY / BRODEN,1,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
PRESIDENT / VICE PRESIDENT,LIB OLIVER / TER MAAT,3,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
PRESIDENT / VICE PRESIDENT,WGP STEIN / WARE,1,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
PRESIDENT / VICE PRESIDENT,IND DE LA CRUZ / GARCIA,0,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
PRESIDENT / VICE PRESIDENT,IND WEST / ABDULLAH,0,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
PRESIDENT / VICE PRESIDENT,"IND KENNEDY, JR. / SHANAHAN",11,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
PRESIDENT / VICE PRESIDENT,WRITE-IN TOTALS,3,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
UNITED STATES SENATOR,DEM TAMMY BALDWIN,664,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
UNITED STATES SENATOR,REP ERIC HOVDE,1017,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
UNITED STATES SENATOR,IND PHIL ANDERSON,22,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
UNITED STATES SENATOR,IND THOMAS LEAGER,15,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
UNITED STATES SENATOR,WRITE-IN TOTALS,0,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
REPRESENTATIVE IN CONGRESS DIST 7,DEM KYLE KILBOURN,580,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
REPRESENTATIVE IN CONGRESS DIST 7,REP TOM TIFFANY,1128,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
REPRESENTATIVE IN CONGRESS DIST 7,WRITE-IN TOTALS,0,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
STATE SENATOR DISTRICT 12,DEM ANDI RICH,538,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
STATE SENATOR DISTRICT 12,REP MARY FELZKOWSKI,1163,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
STATE SENATOR DISTRICT 12,WRITE-IN TOTALS,0,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
REPRESENTATIVE TO THE ASSEMBLY DIST 35,DEM ELIZABETH MCCRANK,566,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
REPRESENTATIVE TO THE ASSEMBLY DIST 35,REP CALVIN CALLAHAN,1123,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
REPRESENTATIVE TO THE ASSEMBLY DIST 35,WRITE-IN TOTALS,0,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
LINCOLN COUNTY DISTRICT ATTORNEY,DEM KRISTOPHER ELLIS,1055,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
LINCOLN COUNTY DISTRICT ATTORNEY,WRITE-IN TOTALS,43,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
COUNTY CLERK,REP CHRIS MARLOWE,1401,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
COUNTY CLERK,WRITE-IN TOTALS,11,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
COUNTY TREASURER,REP ROBBIN GIGL,1388,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
COUNTY TREASURER,WRITE-IN TOTALS,9,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
REGISTER OF DEEDS,REP SARAH KOSS,1395,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
REGISTER OF DEEDS,WRITE-IN TOTALS,9,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
ELIGIBILITY TO VOTE.,YES,1334,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
ELIGIBILITY TO VOTE.,NO,300,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
TOWN OF BRADLEY REFERENDUM,YES,878,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
TOWN OF BRADLEY REFERENDUM,NO,686,TOWN OF BRADLEY WD 1-5,LINCOLN,T,BRADLEY
PRESIDENT / VICE PRESIDENT,DEM HARRIS / WALZ,146,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
PRESIDENT / VICE PRESIDENT,REP TRUMP / VANCE,397,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
PRESIDENT / VICE PRESIDENT,CON TERRY / BRODEN,1,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
PRESIDENT / VICE PRESIDENT,LIB OLIVER / TER MAAT,0,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
PRESIDENT / VICE PRESIDENT,WGP STEIN / WARE,0,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
PRESIDENT / VICE PRESIDENT,IND DE LA CRUZ / GARCIA,0,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
PRESIDENT / VICE PRESIDENT,IND WEST / ABDULLAH,0,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
PRESIDENT / VICE PRESIDENT,"IND KENNEDY, JR. / SHANAHAN",3,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
PRESIDENT / VICE PRESIDENT,WRITE-IN TOTALS,1,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
UNITED STATES SENATOR,DEM TAMMY BALDWIN,158,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
UNITED STATES SENATOR,REP ERIC HOVDE,383,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
UNITED STATES SENATOR,IND PHIL ANDERSON,5,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
UNITED STATES SENATOR,IND THOMAS LEAGER,1,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
UNITED STATES SENATOR,WRITE-IN TOTALS,0,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
REPRESENTATIVE IN CONGRESS DIST 7,DEM KYLE KILBOURN,134,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
REPRESENTATIVE IN CONGRESS DIST 7,REP TOM TIFFANY,410,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
REPRESENTATIVE IN CONGRESS DIST 7,WRITE-IN TOTALS,1,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
STATE SENATOR DISTRICT 12,DEM ANDI RICH,120,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
STATE SENATOR DISTRICT 12,REP MARY FELZKOWSKI,416,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
STATE SENATOR DISTRICT 12,WRITE-IN TOTALS,0,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
REPRESENTATIVE TO THE ASSEMBLY DIST 35,DEM ELIZABETH MCCRANK,131,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
REPRESENTATIVE TO THE ASSEMBLY DIST 35,REP CALVIN CALLAHAN,404,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
REPRESENTATIVE TO THE ASSEMBLY DIST 35,WRITE-IN TOTALS,0,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
LINCOLN COUNTY DISTRICT ATTORNEY,DEM KRISTOPHER ELLIS,317,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
LINCOLN COUNTY DISTRICT ATTORNEY,WRITE-IN TOTALS,18,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
COUNTY CLERK,REP CHRIS MARLOWE,477,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
COUNTY CLERK,WRITE-IN TOTALS,3,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
COUNTY TREASURER,REP ROBBIN GIGL,473,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
COUNTY TREASURER,WRITE-IN TOTALS,1,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
REGISTER OF DEEDS,REP SARAH KOSS,477,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
REGISTER OF DEEDS,WRITE-IN TOTALS,1,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
ELIGIBILITY TO VOTE.,YES,431,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
ELIGIBILITY TO VOTE.,NO,77,TOWN OF CORNING WD 1-2,LINCOLN,T,CORNING
PRESIDENT / VICE PRESIDENT,DEM HARRIS / WALZ,87,TOWN OF HARDING,LINCOLN,T,HARDING
PRESIDENT / VICE PRESIDENT,REP TRUMP / VANCE,165,TOWN OF HARDING,LINCOLN,T,HARDING
PRESIDENT / VICE PRESIDENT,CON TERRY / BRODEN,0,TOWN OF HARDING,LINCOLN,T,HARDING
PRESIDENT / VICE PRESIDENT,LIB OLIVER / TER MAAT,1,TOWN OF HARDING,LINCOLN,T,HARDING
PRESIDENT / VICE PRESIDENT,WGP STEIN / WARE,1,TOWN OF HARDING,LINCOLN,T,HARDING
PRESIDENT / VICE PRESIDENT,IND DE LA CRUZ / GARCIA,0,TOWN OF HARDING,LINCOLN,T,HARDING
PRESIDENT / VICE PRESIDENT,IND WEST / ABDULLAH,1,TOWN OF HARDING,LINCOLN,T,HARDING
PRESIDENT / VICE PRESIDENT,"IND KENNEDY, JR. / SHANAHAN",2,TOWN OF HARDING,LINCOLN,T,HARDING
PRESIDENT / VICE PRESIDENT,WRITE-IN TOTALS,0,TOWN OF HARDING,LINCOLN,T,HARDING
UNITED STATES SENATOR,DEM TAMMY BALDWIN,89,TOWN OF HARDING,LINCOLN,T,HARDING
UNITED STATES SENATOR,REP ERIC HOVDE,161,TOWN OF HARDING,LINCOLN,T,HARDING
UNITED STATES SENATOR,IND PHIL ANDERSON,2,TOWN OF HARDING,LINCOLN,T,HARDING
UNITED STATES SENATOR,IND THOMAS LEAGER,4,TOWN OF HARDING,LINCOLN,T,HARDING
UNITED STATES SENATOR,WRITE-IN TOTALS,0,TOWN OF HARDING,LINCOLN,T,HARDING
REPRESENTATIVE IN CONGRESS DIST 7,DEM KYLE KILBOURN,81,TOWN OF HARDING,LINCOLN,T,HARDING
REPRESENTATIVE IN CONGRESS DIST 7,REP TOM TIFFANY,174,TOWN OF HARDING,LINCOLN,T,HARDING
REPRESENTATIVE IN CONGRESS DIST 7,WRITE-IN TOTALS,0,TOWN OF HARDING,LINCOLN,T,HARDING
STATE SENATOR DISTRICT 12,DEM ANDI RICH,75,TOWN OF HARDING,LINCOLN,T,HARDING
STATE SENATOR DISTRICT 12,REP MARY FELZKOWSKI,177,TOWN OF HARDING,LINCOLN,T,HARDING
STATE SENATOR DISTRICT 12,WRITE-IN TOTALS,1,TOWN OF HARDING,LINCOLN,T,HARDING
REPRESENTATIVE TO THE ASSEMBLY DIST 35,DEM ELIZABETH MCCRANK,80,TOWN OF HARDING,LINCOLN,T,HARDING
REPRESENTATIVE TO THE ASSEMBLY DIST 35,REP CALVIN CALLAHAN,166,TOWN OF HARDING,LINCOLN,T,HARDING
REPRESENTATIVE TO THE ASSEMBLY DIST 35,WRITE-IN TOTALS,0,TOWN OF HARDING,LINCOLN,T,HARDING
LINCOLN COUNTY DISTRICT ATTORNEY,DEM KRISTOPHER ELLIS,149,TOWN OF HARDING,LINCOLN,T,HARDING
LINCOLN COUNTY DISTRICT ATTORNEY,WRITE-IN TOTALS,11,TOWN OF HARDING,LINCOLN,T,HARDING
COUNTY CLERK,REP CHRIS MARLOWE,216,TOWN OF HARDING,LINCOLN,T,HARDING
COUNTY CLERK,WRITE-IN TOTALS,4,TOWN OF HARDING,LINCOLN,T,HARDING
COUNTY TREASURER,REP ROBBIN GIGL,211,TOWN OF HARDING,LINCOLN,T,HARDING
COUNTY TREASURER,WRITE-IN TOTALS,2,TOWN OF HARDING,LINCOLN,T,HARDING
REGISTER OF DEEDS,REP SARAH KOSS,219,TOWN OF HARDING,LINCOLN,T,HARDING
REGISTER OF DEEDS,WRITE-IN TOTALS,3,TOWN OF HARDING,LINCOLN,T,HARDING
ELIGIBILITY TO VOTE.,YES,197,TOWN OF HARDING,LINCOLN,T,HARDING
ELIGIBILITY TO VOTE.,NO,50,TOWN OF HARDING,LINCOLN,T,HARDING
PRESIDENT / VICE PRESIDENT,DEM HARRIS / WALZ,213,TOWN OF HARRISON WD 1-3,LINCOLN,T,HARRISON
PRESIDENT / VICE PRESIDENT,REP TRUMP / VANCE,409,TOWN OF HARRISON WD 1-3,LINCOLN,T,HARRISON
PRESIDENT / VICE PRESIDENT,CON TERRY / BRODEN,2,TOWN OF HARRISON WD 1-3,LINCOLN,T,HARRISON
PRESIDENT / VICE PRESIDENT,LIB OLIVER / TER MAAT,1,TOWN OF HARRISON WD 1-3,LINCOLN,T,HARRISON
PRESIDENT / VICE PRESIDENT,WGP STEIN / WARE,4,TOWN OF HARRISON WD 1-3,LINCOLN,T,HARRISON
PRESIDENT / VICE PRESIDENT,IND DE LA CRUZ / GARCIA,1,TOWN OF HARRISON WD 1-3,LINCOLN,T,HARRISON
PRESIDENT / VICE PRESIDENT,IND WEST / ABDULLAH,1,TOWN OF HARRISON WD 1-3,LINCOLN,T,HARRISON
PRESIDENT / VICE PRESIDENT,"IND KENNEDY, JR. / SHANAHAN",10,TOWN OF HARRISON WD 1-3,LINCOLN,T,HARRISON
PRESIDENT / VICE PRESIDENT,WRITE-IN TOTALS,2,TOWN OF HARRISON WD 1-3,LINCOLN,T,HARRISON
UNITED STATES SENATOR,DEM TAMMY BALDWIN,224,TOWN OF HARRISON WD 1-3,LINCOLN,T,HARRISON
UNITED STATES SENATOR,REP ERIC HOVDE,405,TOWN OF HARRISON WD 1-3,LINCOLN,T,HARRISON
UNITED STATES SENATOR,IND PHIL ANDERSON,2,TOWN OF HARRISON WD 1-3,LINCOLN,T,HARRISON
UNITED STATES SENATOR,IND THOMAS LEAGER,6,TOWN OF HARRISON WD 1-3,LINCOLN,T,HARRISON
UNITED STATES SENATOR,WRITE-IN TOTALS,0,TOWN OF HARRISON WD 1-3,LINCOLN,T,HARRISON
REPRESENTATIVE IN CONGRESS DIST 7,DEM KYLE KILBOURN,203,TOWN OF HARRISON WD 1-3,LINCOLN,T,HARRISON
REPRESENTATIVE IN CONGRESS DIST 7,REP TOM TIFFANY,429,TOWN OF HARRISON WD 1-3,LINCOLN,T,HARRISON
REPRESENTATIVE IN CONGRESS DIST 7,WRITE-IN TOTALS,0,TOWN OF HARRISON WD 1-3,LINCOLN,T,HARRISON
STATE SENATOR DISTRICT 12,DEM ANDI RICH,188,TOWN OF HARRISON WD 1-3,LINCOLN,T,HARRISON
STATE SENATOR DISTRICT 12,REP MARY FELZKOWSKI,440,TOWN OF HARRISON WD 1-3,LINCOLN,T,HARRISON
STATE SENATOR DISTRICT 12,WRITE-IN TOTALS,0,TOWN OF HARRISON WD 1-3,LINCOLN,T,HARRISON
REPRESENTATIVE TO THE ASSEMBLY DIST 35,DEM ELIZABETH MCCRANK,190,TOWN OF HARRISON WD 1-3,LINCOLN,T,HARRISON
REPRESENTATIVE TO THE ASSEMBLY DIST 35,REP CALVIN CALLAHAN,433,TOWN OF HARRISON WD 1-3,LINCOLN,T,HARRISON
REPRESENTATIVE TO THE ASSEMBLY DIST 35,WRITE-IN TOTALS,0,TOWN OF HARRISON WD 1-3,LINCOLN,T,HARRISON
LINCOLN COUNTY DISTRICT ATTORNEY,DEM KRISTOPHER ELLIS,417,TOWN OF HARRISON WD 1-3,LINCOLN,T,HARRISON
