contest,candidate,reporting_unit,votes,county,ctv,municipality
PRESIDENT,HARRIS,TOWN OF CATO WARDS 1-3,318,MANITOWOC,T,CATO
PRESIDENT,HARRIS,TOWN OF CENTERVILLE WARD 1,138,MANITOWOC,T,CENTERVILLE
PRESIDENT,HARRIS,TOWN OF COOPERSTOWN WARDS 1-2,220,MANITOWOC,T,COOPERSTOWN
PRESIDENT,HARRIS,TOWN OF EATON WARD 1,154,MANITOWOC,T,EATON
PRESIDENT,HARRIS,TOWN OF FRANKLIN WARDS 1-3,204,MANITOWOC,T,FRANKLIN
PRESIDENT,HARRIS,TOWN OF GIBSON WARDS 1-2,262,MANITOWOC,T,GIBSON
PRESIDENT,HARRIS,TOWN OF KOSSUTH WARDS 1-3,419,MANITOWOC,T,KOSSUTH
PRESIDENT,HARRIS,TOWN OF LIBERTY WARDS 1-2,217,MANITOWOC,T,LIBERTY
PRESIDENT,HARRIS,TOWN OF MANITOWOC WARDS 1-2,248,MANITOWOC,T,MANITOWOC
PRESIDENT,HARRIS,TOWN OF MANITOWOC RAPIDS WARDS 1-4,541,MANITOWOC,T,MANITOWOC RAPIDS
PRESIDENT,HARRIS,TOWN OF MAPLE GROVE WARD 1,95,MANITOWOC,T,MAPLE GROVE
PRESIDENT,HARRIS,TOWN OF MEEME WARDS 1-2,274,MANITOWOC,T,MEEME
PRESIDENT,HARRIS,TOWN OF MISHICOT WARDS 1-2,229,MANITOWOC,T,MISHICOT
PRESIDENT,HARRIS,TOWN OF NEWTON WARDS 1-3,403,MANITOWOC,T,NEWTON
PRESIDENT,HARRIS,TOWN OF ROCKLAND WARDS 1-2,134,MANITOWOC,T,ROCKLAND
PRESIDENT,HARRIS,TOWN OF SCHLESWIG WARDS 1-2,442,MANITOWOC,T,SCHLESWIG
PRESIDENT,HARRIS,TOWN OF TWO CREEKS WARD 1,88,MANITOWOC,T,TWO CREEKS
PRESIDENT,HARRIS,TOWN OF TWO RIVERS WARDS 1-3,383,MANITOWOC,T,TWO RIVERS
PRESIDENT,HARRIS,VILLAGE OF CLEVELAND WARDS 1-2,296,MANITOWOC,V,CLEVELAND
PRESIDENT,HARRIS,VILLAGE OF FRANCIS CREEK WARD 1,148,MANITOWOC,V,FRANCIS CREEK
PRESIDENT,HARRIS,VILLAGE OF KELLNERSVILLE WARD 1,67,MANITOWOC,V,KELLNERSVILLE
PRESIDENT,HARRIS,VILLAGE OF MARIBEL WARD 1,51,MANITOWOC,V,MARIBEL
PRESIDENT,HARRIS,VILLAGE OF MISHICOT WARDS 1-4,293,MANITOWOC,V,MISHICOT
PRESIDENT,HARRIS,VILLAGE OF REEDSVILLE WARDS 1-2,181,MANITOWOC,V,REEDSVILLE
PRESIDENT,HARRIS,VILLAGE OF ST NAZIANZ WARD 1,106,MANITOWOC,V,ST NAZIANZ
PRESIDENT,HARRIS,VILLAGE OF VALDERS WARD 1,163,MANITOWOC,V,VALDERS
PRESIDENT,HARRIS,VILLAGE OF WHITELAW WARD 1,158,MANITOWOC,V,WHITELAW
PRESIDENT,HARRIS,"CITY OF KIEL WARDS 1-6,8",789,MANITOWOC,C,KIEL
PRESIDENT,HARRIS,CITY OF MANITOWOC WARDS 1-2,751,MANITOWOC,C,MANITOWOC
PRESIDENT,HARRIS,CITY OF MANITOWOC WARDS 3-4,855,MANITOWOC,C,MANITOWOC
PRESIDENT,HARRIS,CITY OF MANITOWOC WARDS 5-6,803,MANITOWOC,C,MANITOWOC
PRESIDENT,HARRIS,CITY OF MANITOWOC WARDS 7-8,540,MANITOWOC,C,MANITOWOC
PRESIDENT,HARRIS,CITY OF MANITOWOC WARDS 9-10,737,MANITOWOC,C,MANITOWOC
PRESIDENT,HARRIS,CITY OF MANITOWOC WARDS 11-12,868,MANITOWOC,C,MANITOWOC
PRESIDENT,HARRIS,"CITY OF MANITOWOC WARDS 13-14,23",629,MANITOWOC,C,MANITOWOC
PRESIDENT,HARRIS,CITY OF MANITOWOC WARDS 15-16,924,MANITOWOC,C,MANITOWOC
PRESIDENT,HARRIS,"CITY OF MANITOWOC WARDS 17-18,21-22",735,MANITOWOC,C,MANITOWOC
PRESIDENT,HARRIS,CITY OF MANITOWOC WARDS 19-20,1013,MANITOWOC,C,MANITOWOC
PRESIDENT,HARRIS,CITY OF TWO RIVERS WARDS 1-5,1669,MANITOWOC,C,TWO RIVERS
PRESIDENT,HARRIS,CITY OF TWO RIVERS WARDS 6-8,853,MANITOWOC,C,TWO RIVERS
PRESIDENT,TRUMP,TOWN OF CATO WARDS 1-3,753,MANITOWOC,T,CATO
PRESIDENT,TRUMP,TOWN OF CENTERVILLE WARD 1,271,MANITOWOC,T,CENTERVILLE
PRESIDENT,TRUMP,TOWN OF COOPERSTOWN WARDS 1-2,594,MANITOWOC,T,COOPERSTOWN
