contest,candidate,votes,reporting_unit,county,ctv,municipality
PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,175,BERGEN T WD 1,MARATHON,T,BERGEN
PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,338,BERGEN T WD 1,MARATHON,T,BERGEN
PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,2,BERGEN T WD 1,MARATHON,T,BERGEN
PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER,1,BERGEN T WD 1,MARATHON,T,BERGEN
PRESIDENT / VICE PRESIDENT,WGN JILL STEIN / RUDOLPH WARE,0,BERGEN T WD 1,MARATHON,T,BERGEN
PRESIDENT / VICE PRESIDENT,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,BERGEN T WD 1,MARATHON,T,BERGEN
PRESIDENT / VICE PRESIDENT,IND CORNEL WEST / MELINA ABDULLAH,0,BERGEN T WD 1,MARATHON,T,BERGEN
PRESIDENT / VICE PRESIDENT,"IND ROBERT F. KENNEDY, JR. / N.",2,BERGEN T WD 1,MARATHON,T,BERGEN
PRESIDENT / VICE PRESIDENT,WRITE-IN TOTALS,0,BERGEN T WD 1,MARATHON,T,BERGEN
UNITED STATES SENATOR,DEM TAMMY BALDWIN,184,BERGEN T WD 1,MARATHON,T,BERGEN
UNITED STATES SENATOR,REP ERIC HOVDE,326,BERGEN T WD 1,MARATHON,T,BERGEN
UNITED STATES SENATOR,IND PHIL ANDERSON,6,BERGEN T WD 1,MARATHON,T,BERGEN
UNITED STATES SENATOR,IND THOMAS LEAGER,4,BERGEN T WD 1,MARATHON,T,BERGEN
UNITED STATES SENATOR,WRITE-IN TOTALS,0,BERGEN T WD 1,MARATHON,T,BERGEN
REPRESENTATIVE IN CONGRESS DISTRICT 7,DEM KYLE KILBOURN,162,BERGEN T WD 1,MARATHON,T,BERGEN
REPRESENTATIVE IN CONGRESS DISTRICT 7,REP TOM TIFFANY,354,BERGEN T WD 1,MARATHON,T,BERGEN
REPRESENTATIVE IN CONGRESS DISTRICT 7,WRITE-IN TOTALS,0,BERGEN T WD 1,MARATHON,T,BERGEN
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 86,DEM JOHN H. SMALL,166,BERGEN T WD 1,MARATHON,T,BERGEN
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 86,REP JOHN SPIROS,343,BERGEN T WD 1,MARATHON,T,BERGEN
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 86,WRITE-IN TOTALS,0,BERGEN T WD 1,MARATHON,T,BERGEN
DISTRICT ATTORNEY,REP KYLE R. MAYO,366,BERGEN T WD 1,MARATHON,T,BERGEN
DISTRICT ATTORNEY,WRITE-IN TOTALS,3,BERGEN T WD 1,MARATHON,T,BERGEN
COUNTY CLERK,REP KIM TRUEBLOOD,424,BERGEN T WD 1,MARATHON,T,BERGEN
COUNTY CLERK,WRITE-IN TOTALS,6,BERGEN T WD 1,MARATHON,T,BERGEN
COUNTY TREASURER,REP CONNIE BEYERSDORFF,419,BERGEN T WD 1,MARATHON,T,BERGEN
COUNTY TREASURER,WRITE-IN TOTALS,3,BERGEN T WD 1,MARATHON,T,BERGEN
REGISTER OF DEEDS,REP JENNIFER LEMMER,419,BERGEN T WD 1,MARATHON,T,BERGEN
REGISTER OF DEEDS,WRITE-IN TOTALS,3,BERGEN T WD 1,MARATHON,T,BERGEN
QUESTION 1: ELIGIBILITY TO VOTE,YES,396,BERGEN T WD 1,MARATHON,T,BERGEN
QUESTION 1: ELIGIBILITY TO VOTE,NO,100,BERGEN T WD 1,MARATHON,T,BERGEN
MOSINEE SCHOOL DISTRICT REFERENDUM,YES,313,BERGEN T WD 1,MARATHON,T,BERGEN
MOSINEE SCHOOL DISTRICT REFERENDUM,NO,195,BERGEN T WD 1,MARATHON,T,BERGEN
PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,386,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,948,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,0,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER,4,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
PRESIDENT / VICE PRESIDENT,WGN JILL STEIN / RUDOLPH WARE,2,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
PRESIDENT / VICE PRESIDENT,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
PRESIDENT / VICE PRESIDENT,IND CORNEL WEST / MELINA ABDULLAH,0,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
PRESIDENT / VICE PRESIDENT,"IND ROBERT F. KENNEDY, JR. / N.",4,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
PRESIDENT / VICE PRESIDENT,WRITE-IN TOTALS,4,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
UNITED STATES SENATOR,DEM TAMMY BALDWIN,384,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
UNITED STATES SENATOR,REP ERIC HOVDE,926,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
UNITED STATES SENATOR,IND PHIL ANDERSON,16,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
UNITED STATES SENATOR,IND THOMAS LEAGER,16,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
UNITED STATES SENATOR,WRITE-IN TOTALS,4,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
REPRESENTATIVE IN CONGRESS DISTRICT 7,DEM KYLE KILBOURN,322,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
REPRESENTATIVE IN CONGRESS DISTRICT 7,REP TOM TIFFANY,1000,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
REPRESENTATIVE IN CONGRESS DISTRICT 7,WRITE-IN TOTALS,2,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
STATE SENATOR DISTRICT 12,DEM ANDI RICH,320,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
STATE SENATOR DISTRICT 12,REP MARY FELZKOWSKI,1010,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
STATE SENATOR DISTRICT 12,WRITE-IN TOTALS,2,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 35,DEM ELIZABETH MCCRANK,330,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 35,REP CALVIN CALLAHAN,984,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 35,WRITE-IN TOTALS,2,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
DISTRICT ATTORNEY,REP KYLE R. MAYO,1056,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
DISTRICT ATTORNEY,WRITE-IN TOTALS,10,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
COUNTY CLERK,REP KIM TRUEBLOOD,1168,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
COUNTY CLERK,WRITE-IN TOTALS,4,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
COUNTY TREASURER,REP CONNIE BEYERSDORFF,1144,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
COUNTY TREASURER,WRITE-IN TOTALS,4,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
REGISTER OF DEEDS,REP JENNIFER LEMMER,1156,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
REGISTER OF DEEDS,WRITE-IN TOTALS,6,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
QUESTION 1: ELIGIBILITY TO VOTE,YES,1082,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
QUESTION 1: ELIGIBILITY TO VOTE,NO,234,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
MARATHON CITY SCHOOL DISTRICT REFERENDUM,YES,34,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
MARATHON CITY SCHOOL DISTRICT REFERENDUM,NO,40,BERLIN T WDS 1 & 2,MARATHON,T,BERLIN
PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,69,BERN T WD 1,MARATHON,T,BERN
PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,174,BERN T WD 1,MARATHON,T,BERN
PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,1,BERN T WD 1,MARATHON,T,BERN
PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER,3,BERN T WD 1,MARATHON,T,BERN
PRESIDENT / VICE PRESIDENT,WGN JILL STEIN / RUDOLPH WARE,1,BERN T WD 1,MARATHON,T,BERN
PRESIDENT / VICE PRESIDENT,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,BERN T WD 1,MARATHON,T,BERN
PRESIDENT / VICE PRESIDENT,IND CORNEL WEST / MELINA ABDULLAH,0,BERN T WD 1,MARATHON,T,BERN
PRESIDENT / VICE PRESIDENT,"IND ROBERT F. KENNEDY, JR. / N.",2,BERN T WD 1,MARATHON,T,BERN
PRESIDENT / VICE PRESIDENT,WRITE-IN TOTALS,1,BERN T WD 1,MARATHON,T,BERN
UNITED STATES SENATOR,DEM TAMMY BALDWIN,69,BERN T WD 1,MARATHON,T,BERN
UNITED STATES SENATOR,REP ERIC HOVDE,172,BERN T WD 1,MARATHON,T,BERN
UNITED STATES SENATOR,IND PHIL ANDERSON,3,BERN T WD 1,MARATHON,T,BERN
UNITED STATES SENATOR,IND THOMAS LEAGER,5,BERN T WD 1,MARATHON,T,BERN
UNITED STATES SENATOR,WRITE-IN TOTALS,0,BERN T WD 1,MARATHON,T,BERN
REPRESENTATIVE IN CONGRESS DISTRICT 7,DEM KYLE KILBOURN,56,BERN T WD 1,MARATHON,T,BERN
REPRESENTATIVE IN CONGRESS DISTRICT 7,REP TOM TIFFANY,190,BERN T WD 1,MARATHON,T,BERN
REPRESENTATIVE IN CONGRESS DISTRICT 7,WRITE-IN TOTALS,0,BERN T WD 1,MARATHON,T,BERN
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 69,DEM ROGER HALLS,58,BERN T WD 1,MARATHON,T,BERN
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 69,REP KAREN HURD,181,BERN T WD 1,MARATHON,T,BERN
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 69,IND JOSHUA STEVEN KELLEY,8,BERN T WD 1,MARATHON,T,BERN
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 69,WRITE-IN TOTALS,0,BERN T WD 1,MARATHON,T,BERN
DISTRICT ATTORNEY,REP KYLE R. MAYO,175,BERN T WD 1,MARATHON,T,BERN
DISTRICT ATTORNEY,WRITE-IN TOTALS,1,BERN T WD 1,MARATHON,T,BERN
COUNTY CLERK,REP KIM TRUEBLOOD,204,BERN T WD 1,MARATHON,T,BERN
COUNTY CLERK,WRITE-IN TOTALS,2,BERN T WD 1,MARATHON,T,BERN
COUNTY TREASURER,REP CONNIE BEYERSDORFF,202,BERN T WD 1,MARATHON,T,BERN
COUNTY TREASURER,WRITE-IN TOTALS,1,BERN T WD 1,MARATHON,T,BERN
REGISTER OF DEEDS,REP JENNIFER LEMMER,201,BERN T WD 1,MARATHON,T,BERN
REGISTER OF DEEDS,WRITE-IN TOTALS,1,BERN T WD 1,MARATHON,T,BERN
QUESTION 1: ELIGIBILITY TO VOTE,YES,205,BERN T WD 1,MARATHON,T,BERN
QUESTION 1: ELIGIBILITY TO VOTE,NO,35,BERN T WD 1,MARATHON,T,BERN
MEDFORD SCHOOL DISTRICT REFERENDUM,YES,12,BERN T WD 1,MARATHON,T,BERN
MEDFORD SCHOOL DISTRICT REFERENDUM,NO,15,BERN T WD 1,MARATHON,T,BERN
PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,237,BEVENT T WDS 1 & 2,MARATHON,T,BEVENT
