reporting_unit,votes,candidate,contest,county,ctv,municipality
TOWN OF AMBERG - W 1,NA,HARRIS_WALZ_DEMOCRATIC,PRESIDENT_VICE PRESIDENT_,MARINETTE,T,AMBERG
TOWN OF AMBERG - W 1,NA,TRUMP_VANCE_REPUBLICAN,PRESIDENT_VICE PRESIDENT_,MARINETTE,T,AMBERG
TOWN OF AMBERG - W 1,NA,TERRY_BRODEN_CONSTITUTION,PRESIDENT_VICE PRESIDENT_,MARINETTE,T,AMBERG
TOWN OF AMBERG - W 1,NA,OLIVER_TER MATT_LIBERTARIAN,PRESIDENT_VICE PRESIDENT_,MARINETTE,T,AMBERG
TOWN OF AMBERG - W 1,NA,STEIN_WARE_GREEN,PRESIDENT_VICE PRESIDENT_,MARINETTE,T,AMBERG
TOWN OF AMBERG - W 1,NA,DE LA CRUZ_GARCIA_SOCIALISM,PRESIDENT_VICE PRESIDENT_,MARINETTE,T,AMBERG
TOWN OF AMBERG - W 1,NA,WEST_ABDULLAH_JUSTICE FOR ALL,PRESIDENT_VICE PRESIDENT_,MARINETTE,T,AMBERG
TOWN OF AMBERG - W 1,NA,"KENNEDY, JR._SHANAHAN_WE THE PEOPLE",PRESIDENT_VICE PRESIDENT_,MARINETTE,T,AMBERG
TOWN OF AMBERG - W 1,NA,SCATTERING,PRESIDENT_VICE PRESIDENT_,MARINETTE,T,AMBERG
"TOWN OF ATHELSTANE - W 1, 2",NA,HARRIS_WALZ_DEMOCRATIC,PRESIDENT_VICE PRESIDENT_,MARINETTE,T,ATHELSTANE
"TOWN OF ATHELSTANE - W 1, 2",NA,TRUMP_VANCE_REPUBLICAN,PRESIDENT_VICE PRESIDENT_,MARINETTE,T,ATHELSTANE
"TOWN OF ATHELSTANE - W 1, 2",NA,TERRY_BRODEN_CONSTITUTION,PRESIDENT_VICE PRESIDENT_,MARINETTE,T,ATHELSTANE
"TOWN OF ATHELSTANE - W 1, 2",NA,OLIVER_TER MATT_LIBERTARIAN,PRESIDENT_VICE PRESIDENT_,MARINETTE,T,ATHELSTANE
"TOWN OF ATHELSTANE - W 1, 2",NA,STEIN_WARE_GREEN,PRESIDENT_VICE PRESIDENT_,MARINETTE,T,ATHELSTANE
"TOWN OF ATHELSTANE - W 1, 2",NA,DE LA CRUZ_GARCIA_SOCIALISM,PRESIDENT_VICE PRESIDENT_,MARINETTE,T,ATHELSTANE
"TOWN OF ATHELSTANE - W 1, 2",NA,WEST_ABDULLAH_JUSTICE FOR ALL,PRESIDENT_VICE PRESIDENT_,MARINETTE,T,ATHELSTANE
"TOWN OF ATHELSTANE - W 1, 2",NA,"KENNEDY, JR._SHANAHAN_WE THE PEOPLE",PRESIDENT_VICE PRESIDENT_,MARINETTE,T,ATHELSTANE
"TOWN OF ATHELSTANE - W 1, 2",NA,SCATTERING,PRESIDENT_VICE PRESIDENT_,MARINETTE,T,ATHELSTANE
