ctv,reporting_unit,contest,candidate,votes,county,municipality
T,"T ADRIAN WARDS 1,2",PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS/ TIM WALZ (DEMOCRATIC),131,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP/ JD VANCE (REPUBLICAN),365,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",PRESIDENT/VICE PRESIDENT,RANDALL TERRY/ STEPHEN BRODEN (CONSTITUTION),2,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",PRESIDENT/VICE PRESIDENT,CHASE RUSSELL OLIVER/ MIKE TER MAAT (LIBERTARIAN),2,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",PRESIDENT/VICE PRESIDENT,JILL STEIN/ RUDOLPH WARE (WISCONSIN GREEN),1,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",PRESIDENT/VICE PRESIDENT,CLAUDIA DE LA CRUZ/KARINA GARCIA (PARTY OF SOCIALISM AND LIBERATION),0,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",PRESIDENT/VICE PRESIDENT,CORNEL WEST/ MELINA ABDULLAH (JUSTICE FOR ALL),0,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",PRESIDENT/VICE PRESIDENT,ROBERT F. KENNEDY JR./ NICOLE SHANAHAN (WE THE PEOPLE),0,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",PRESIDENT/VICE PRESIDENT,REG WRITE-IN PETER SONSKI / LAUREN ONAK (INDEPENDENT),0,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",PRESIDENT/VICE PRESIDENT,REG WRITE-IN CHERUNDA LYNN FOX (INDEPENDENT),0,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",PRESIDENT/VICE PRESIDENT,REG WRITE-IN BRIAN KIENITZ (INDEPENDENT),0,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",PRESIDENT/VICE PRESIDENT,REG WRITE-IN DOUG JENKINS / KIMBERLY LALONDE (INDEPENDENT),0,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",PRESIDENT/VICE PRESIDENT,REG WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY (INDEPENDENT),0,MONROE,ADRIAN
T,"T ADRIAN WARDS 1,2",PRESIDENT/VICE PRESIDENT,"REG WRITE-IN ANDRE RAMONE MCNEIL, SR. (INDEPENDENT)",0,MONROE,ADRIAN
