contest,candidate,reporting_unit,votes,county,ctv,municipality
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),T ABRAMS W1-3,0,OCONTO,T,ABRAMS
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),T BAGLEY W1,0,OCONTO,T,BAGLEY
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),T BRAZEAU W1-3,0,OCONTO,T,BRAZEAU
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),T BREED W1,0,OCONTO,T,BREED
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),T CHASE W1-5,0,OCONTO,T,CHASE
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),T DOTY W1,0,OCONTO,T,DOTY
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),T GILLETT W1-2,0,OCONTO,T,GILLETT
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),T HOW W1-2,0,OCONTO,T,HOW
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),T LAKEWOOD W1,0,OCONTO,T,LAKEWOOD
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),T LENA W1,0,OCONTO,T,LENA
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),T LT RIVER W1-2,0,OCONTO,T,LITTLE RIVER
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),T LT SUAMICO W1-8,0,OCONTO,T,LITTLE SUAMICO
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),T MAPLE VALLEY W1,0,OCONTO,T,MAPLE VALLEY
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),T MORGAN W1-2,0,OCONTO,T,MORGAN
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),T MOUNTAIN W1,0,OCONTO,T,MOUNTAIN
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),T OCONTO W1-3,0,OCONTO,T,OCONTO
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),T OCONTO FALLS W1-2,0,OCONTO,T,OCONTO FALLS
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),T PENSAUKEE W1-2,0,OCONTO,T,PENSAUKEE
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),T RIVERVIEW W1-2,0,OCONTO,T,RIVERVIEW
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),T SPRUCE W1-2,0,OCONTO,T,SPRUCE
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),T STILES W1-2,0,OCONTO,T,STILES
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),T TOWNSEND W1,0,OCONTO,T,TOWNSEND
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),T UNDERHILL W1,0,OCONTO,T,UNDERHILL
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),V LENA W1,0,OCONTO,V,LENA
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),V PULASKI W5,NA,OCONTO,V,PULASKI
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),V SURING W1,0,OCONTO,V,SURING
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),C GILLETT W1-3,0,OCONTO,C,GILLETT
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),C OCONTO W1-7,0,OCONTO,C,OCONTO
PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ (DEMOCRATIC),C OCONTO FALLS W1-6,0,OCONTO,C,OCONTO FALLS
PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP / JD VANCE (REPUBLICAN),T ABRAMS W1-3,0,OCONTO,T,ABRAMS
PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP / JD VANCE (REPUBLICAN),T BAGLEY W1,0,OCONTO,T,BAGLEY
PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP / JD VANCE (REPUBLICAN),T BRAZEAU W1-3,0,OCONTO,T,BRAZEAU
PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP / JD VANCE (REPUBLICAN),T BREED W1,0,OCONTO,T,BREED
PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP / JD VANCE (REPUBLICAN),T CHASE W1-5,0,OCONTO,T,CHASE
PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP / JD VANCE (REPUBLICAN),T DOTY W1,0,OCONTO,T,DOTY
PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP / JD VANCE (REPUBLICAN),T GILLETT W1-2,0,OCONTO,T,GILLETT
PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP / JD VANCE (REPUBLICAN),T HOW W1-2,0,OCONTO,T,HOW
PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP / JD VANCE (REPUBLICAN),T LAKEWOOD W1,0,OCONTO,T,LAKEWOOD
PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP / JD VANCE (REPUBLICAN),T LENA W1,0,OCONTO,T,LENA
