candidate,contest,reporting_unit,votes,county,ctv,municipality
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T CASSIAN W 1-2,NA,ONEIDA,T,CASSIAN
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T CRESCENT W 1-3,NA,ONEIDA,T,CRESCENT
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T ENTERPRISE W 1,NA,ONEIDA,T,ENTERPRISE
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T HAZELHURST W 1-2,NA,ONEIDA,T,HAZELHURST
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T LAKE TOMAHAWK W 1-2,NA,ONEIDA,T,LAKE TOMAHAWK
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T LITTLE RICE W 1,NA,ONEIDA,T,LITTLE RICE
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T LYNNE W 1,NA,ONEIDA,T,LYNNE
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T MINOCQUA W 1-7,NA,ONEIDA,T,MINOCQUA
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T MONICO W 1,NA,ONEIDA,T,MONICO
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 1,NA,ONEIDA,T,NEWBOLD
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 2-4,NA,ONEIDA,T,NEWBOLD
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T NOKOMIS W 1-2,NA,ONEIDA,T,NOKOMIS
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T PELICAN W 1- 4,NA,ONEIDA,T,PELICAN
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T PIEHL W 1,NA,ONEIDA,T,PIEHL
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T PINE LAKE W 1-4,NA,ONEIDA,T,PINE LAKE
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T SCHOEPKE W 1,NA,ONEIDA,T,SCHOEPKE
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T STELLA W 1-2,NA,ONEIDA,T,STELLA
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T SUGAR CAMP W 1-2,NA,ONEIDA,T,SUGAR CAMP
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T THREE LAKES W 1-4,NA,ONEIDA,T,THREE LAKES
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T WOODBORO W 1,NA,ONEIDA,T,WOODBORO
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T WOODRUFF W 1-3,NA,ONEIDA,T,WOODRUFF
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,C RHINELANDER W 1-17,NA,ONEIDA,C,RHINELANDER
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T CASSIAN W 1-2,NA,ONEIDA,T,CASSIAN
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T CRESCENT W 1-3,NA,ONEIDA,T,CRESCENT
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T ENTERPRISE W 1,NA,ONEIDA,T,ENTERPRISE
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T HAZELHURST W 1-2,NA,ONEIDA,T,HAZELHURST
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T LAKE TOMAHAWK W 1-2,NA,ONEIDA,T,LAKE TOMAHAWK
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T LITTLE RICE W 1,NA,ONEIDA,T,LITTLE RICE
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T LYNNE W 1,NA,ONEIDA,T,LYNNE
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T MINOCQUA W 1-7,NA,ONEIDA,T,MINOCQUA
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T MONICO W 1,NA,ONEIDA,T,MONICO
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 1,NA,ONEIDA,T,NEWBOLD
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 2-4,NA,ONEIDA,T,NEWBOLD
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T NOKOMIS W 1-2,NA,ONEIDA,T,NOKOMIS
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T PELICAN W 1- 4,NA,ONEIDA,T,PELICAN
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T PIEHL W 1,NA,ONEIDA,T,PIEHL
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T PINE LAKE W 1-4,NA,ONEIDA,T,PINE LAKE
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T SCHOEPKE W 1,NA,ONEIDA,T,SCHOEPKE
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T STELLA W 1-2,NA,ONEIDA,T,STELLA
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T SUGAR CAMP W 1-2,NA,ONEIDA,T,SUGAR CAMP
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T THREE LAKES W 1-4,NA,ONEIDA,T,THREE LAKES
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T WOODBORO W 1,NA,ONEIDA,T,WOODBORO
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T WOODRUFF W 1-3,NA,ONEIDA,T,WOODRUFF
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,C RHINELANDER W 1-17,NA,ONEIDA,C,RHINELANDER
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T CASSIAN W 1-2,NA,ONEIDA,T,CASSIAN
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T CRESCENT W 1-3,NA,ONEIDA,T,CRESCENT
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T ENTERPRISE W 1,NA,ONEIDA,T,ENTERPRISE
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T HAZELHURST W 1-2,NA,ONEIDA,T,HAZELHURST
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T LAKE TOMAHAWK W 1-2,NA,ONEIDA,T,LAKE TOMAHAWK
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T LITTLE RICE W 1,NA,ONEIDA,T,LITTLE RICE
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T LYNNE W 1,NA,ONEIDA,T,LYNNE
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T MINOCQUA W 1-7,NA,ONEIDA,T,MINOCQUA
