contest,candidate,votes,reporting_unit,county,ctv,municipality
PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,192,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,640,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,2,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER,3,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
PRESIDENT / VICE PRESIDENT,WGR JILL STEIN / RUDOLPH WARE,1,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
PRESIDENT / VICE PRESIDENT,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
PRESIDENT / VICE PRESIDENT,IND CORNEL WEST / MELINA ABDULLAH,0,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
PRESIDENT / VICE PRESIDENT,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",5,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
PRESIDENT / VICE PRESIDENT,WRITE-IN TOTALS,0,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
SPECIAL REPRESENTATIVE IN CONGRESS DISTRICT 8,DEM KRISTIN LYERLY,221,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
SPECIAL REPRESENTATIVE IN CONGRESS DISTRICT 8,REP TONY WIED,616,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
SPECIAL REPRESENTATIVE IN CONGRESS DISTRICT 8,WRITE-IN TOTALS,0,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
UNITED STATES SENATOR,DEM TAMMY BALDWIN,207,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
UNITED STATES SENATOR,REP ERIC HOVDE,608,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
UNITED STATES SENATOR,IND PHIL ANDERSON,14,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
UNITED STATES SENATOR,IND THOMAS LEAGER,12,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
UNITED STATES SENATOR,WRITE-IN TOTALS,0,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
REPRESENTATIVE IN CONGRESS DISTRICT 8,DEM KRISTIN LYERLY,219,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
REPRESENTATIVE IN CONGRESS DISTRICT 8,REP TONY WIED,612,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
REPRESENTATIVE IN CONGRESS DISTRICT 8,WRITE-IN TOTALS,0,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 56,DEM EMILY TSEFFOS,198,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 56,REP DAVE MURPHY,627,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 56,WRITE-IN TOTALS,0,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
DISTRICT ATTORNEY OUTAGAMIE COUNTY,REP MINDY TEMPELIS,718,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
DISTRICT ATTORNEY OUTAGAMIE COUNTY,WRITE-IN TOTALS,4,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
COUNTY CLERK OUTAGAMIE COUNTY,REP KELLY GERRITS,741,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
COUNTY CLERK OUTAGAMIE COUNTY,WRITE-IN TOTALS,4,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
COUNTY TREASURER OUTAGAMIE COUNTY,REP ROCHELLE OSKEY,739,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
COUNTY TREASURER OUTAGAMIE COUNTY,WRITE-IN TOTALS,4,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
REGISTER OF DEEDS OUTAGAMIE COUNTY,REP SARAH R. VAN CAMP,742,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
REGISTER OF DEEDS OUTAGAMIE COUNTY,WRITE-IN TOTALS,1,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
STATE REFERENDUM QUESTION,YES,686,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
STATE REFERENDUM QUESTION,NO,126,TOWN OF BLACK CREEK W 1 & 2,OUTAGAMIE,T,BLACK CREEK
PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,186,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,603,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,4,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER,1,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
PRESIDENT / VICE PRESIDENT,WGR JILL STEIN / RUDOLPH WARE,1,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
PRESIDENT / VICE PRESIDENT,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,1,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
PRESIDENT / VICE PRESIDENT,IND CORNEL WEST / MELINA ABDULLAH,0,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
PRESIDENT / VICE PRESIDENT,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",6,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
PRESIDENT / VICE PRESIDENT,WRITE-IN TOTALS,0,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
SPECIAL REPRESENTATIVE IN CONGRESS DISTRICT 8,DEM KRISTIN LYERLY,200,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
SPECIAL REPRESENTATIVE IN CONGRESS DISTRICT 8,REP TONY WIED,590,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
SPECIAL REPRESENTATIVE IN CONGRESS DISTRICT 8,WRITE-IN TOTALS,0,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
UNITED STATES SENATOR,DEM TAMMY BALDWIN,190,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
UNITED STATES SENATOR,REP ERIC HOVDE,589,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
UNITED STATES SENATOR,IND PHIL ANDERSON,8,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
UNITED STATES SENATOR,IND THOMAS LEAGER,5,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
UNITED STATES SENATOR,WRITE-IN TOTALS,0,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
REPRESENTATIVE IN CONGRESS DISTRICT 8,DEM KRISTIN LYERLY,202,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
REPRESENTATIVE IN CONGRESS DISTRICT 8,REP TONY WIED,588,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
REPRESENTATIVE IN CONGRESS DISTRICT 8,WRITE-IN TOTALS,0,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 56,DEM EMILY TSEFFOS,184,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 56,REP DAVE MURPHY,602,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 56,WRITE-IN TOTALS,1,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
DISTRICT ATTORNEY OUTAGAMIE COUNTY,REP MINDY TEMPELIS,679,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
DISTRICT ATTORNEY OUTAGAMIE COUNTY,WRITE-IN TOTALS,5,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
COUNTY CLERK OUTAGAMIE COUNTY,REP KELLY GERRITS,700,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
COUNTY CLERK OUTAGAMIE COUNTY,WRITE-IN TOTALS,3,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
COUNTY TREASURER OUTAGAMIE COUNTY,REP ROCHELLE OSKEY,696,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
COUNTY TREASURER OUTAGAMIE COUNTY,WRITE-IN TOTALS,3,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
REGISTER OF DEEDS OUTAGAMIE COUNTY,REP SARAH R. VAN CAMP,700,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
REGISTER OF DEEDS OUTAGAMIE COUNTY,WRITE-IN TOTALS,2,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
STATE REFERENDUM QUESTION,YES,679,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
STATE REFERENDUM QUESTION,NO,102,TOWN OF BOVINA W 1 & 2,OUTAGAMIE,T,BOVINA
PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,1809,TOWN OF BUCHANAN W 1-9,OUTAGAMIE,T,BUCHANAN
PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,2426,TOWN OF BUCHANAN W 1-9,OUTAGAMIE,T,BUCHANAN
PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,11,TOWN OF BUCHANAN W 1-9,OUTAGAMIE,T,BUCHANAN
PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER,21,TOWN OF BUCHANAN W 1-9,OUTAGAMIE,T,BUCHANAN
PRESIDENT / VICE PRESIDENT,WGR JILL STEIN / RUDOLPH WARE,8,TOWN OF BUCHANAN W 1-9,OUTAGAMIE,T,BUCHANAN
PRESIDENT / VICE PRESIDENT,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,2,TOWN OF BUCHANAN W 1-9,OUTAGAMIE,T,BUCHANAN
PRESIDENT / VICE PRESIDENT,IND CORNEL WEST / MELINA ABDULLAH,3,TOWN OF BUCHANAN W 1-9,OUTAGAMIE,T,BUCHANAN
