reporting_unit,contest,candidate,votes,county,ctv,municipality
"TOWN OF CEDARBURG, WARD 1, 2","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",TIMES CAST,0,OZAUKEE,T,CEDARBURG
"TOWN OF CEDARBURG, WARD 1, 2","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",REGISTERED VOTERS,0,OZAUKEE,T,CEDARBURG
"TOWN OF CEDARBURG, WARD 1, 2","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",DANA GLASSTEIN (DEM),0,OZAUKEE,T,CEDARBURG
"TOWN OF CEDARBURG, WARD 1, 2","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",PAUL MELOTIK (REP),0,OZAUKEE,T,CEDARBURG
"TOWN OF CEDARBURG, WARD 3, 4","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",TIMES CAST,0,OZAUKEE,T,CEDARBURG
"TOWN OF CEDARBURG, WARD 3, 4","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",REGISTERED VOTERS,0,OZAUKEE,T,CEDARBURG
"TOWN OF CEDARBURG, WARD 3, 4","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",DANA GLASSTEIN (DEM),0,OZAUKEE,T,CEDARBURG
"TOWN OF CEDARBURG, WARD 3, 4","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",PAUL MELOTIK (REP),0,OZAUKEE,T,CEDARBURG
"TOWN OF CEDARBURG, WARD 5, 6, 10","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",TIMES CAST,0,OZAUKEE,T,CEDARBURG
"TOWN OF CEDARBURG, WARD 5, 6, 10","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",REGISTERED VOTERS,0,OZAUKEE,T,CEDARBURG
"TOWN OF CEDARBURG, WARD 5, 6, 10","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",DANA GLASSTEIN (DEM),0,OZAUKEE,T,CEDARBURG
"TOWN OF CEDARBURG, WARD 5, 6, 10","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",PAUL MELOTIK (REP),0,OZAUKEE,T,CEDARBURG
"TOWN OF CEDARBURG, WARD 7 - 9","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",TIMES CAST,0,OZAUKEE,T,CEDARBURG
"TOWN OF CEDARBURG, WARD 7 - 9","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",REGISTERED VOTERS,0,OZAUKEE,T,CEDARBURG
"TOWN OF CEDARBURG, WARD 7 - 9","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",DANA GLASSTEIN (DEM),0,OZAUKEE,T,CEDARBURG
"TOWN OF CEDARBURG, WARD 7 - 9","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",PAUL MELOTIK (REP),0,OZAUKEE,T,CEDARBURG
"TOWN OF GRAFTON, WARD 1, 2, 5","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",TIMES CAST,0,OZAUKEE,T,GRAFTON
"TOWN OF GRAFTON, WARD 1, 2, 5","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",REGISTERED VOTERS,0,OZAUKEE,T,GRAFTON
"TOWN OF GRAFTON, WARD 1, 2, 5","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",DANA GLASSTEIN (DEM),0,OZAUKEE,T,GRAFTON
"TOWN OF GRAFTON, WARD 1, 2, 5","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",PAUL MELOTIK (REP),0,OZAUKEE,T,GRAFTON
"TOWN OF GRAFTON, WARD 3, 4, 6","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",TIMES CAST,0,OZAUKEE,T,GRAFTON
"TOWN OF GRAFTON, WARD 3, 4, 6","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",REGISTERED VOTERS,0,OZAUKEE,T,GRAFTON
"TOWN OF GRAFTON, WARD 3, 4, 6","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",DANA GLASSTEIN (DEM),0,OZAUKEE,T,GRAFTON
"TOWN OF GRAFTON, WARD 3, 4, 6","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",PAUL MELOTIK (REP),0,OZAUKEE,T,GRAFTON
"TOWN OF PORT WASHINGTON, WARD 1, 2","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",TIMES CAST,0,OZAUKEE,T,PORT WASHINGTON
"TOWN OF PORT WASHINGTON, WARD 1, 2","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",REGISTERED VOTERS,0,OZAUKEE,T,PORT WASHINGTON
"TOWN OF PORT WASHINGTON, WARD 1, 2","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",DANA GLASSTEIN (DEM),0,OZAUKEE,T,PORT WASHINGTON
"TOWN OF PORT WASHINGTON, WARD 1, 2","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",PAUL MELOTIK (REP),0,OZAUKEE,T,PORT WASHINGTON
"VILLAGE OF GRAFTON, WARD 1, 2","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",TIMES CAST,0,OZAUKEE,V,GRAFTON
"VILLAGE OF GRAFTON, WARD 1, 2","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",REGISTERED VOTERS,0,OZAUKEE,V,GRAFTON
"VILLAGE OF GRAFTON, WARD 1, 2","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",DANA GLASSTEIN (DEM),0,OZAUKEE,V,GRAFTON
"VILLAGE OF GRAFTON, WARD 1, 2","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",PAUL MELOTIK (REP),0,OZAUKEE,V,GRAFTON
"VILLAGE OF GRAFTON, WARD 3, 4","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",TIMES CAST,0,OZAUKEE,V,GRAFTON
"VILLAGE OF GRAFTON, WARD 3, 4","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",REGISTERED VOTERS,0,OZAUKEE,V,GRAFTON
"VILLAGE OF GRAFTON, WARD 3, 4","ASSEMBLY, DISTRICT 22 (VOTE FOR 1)",DANA GLASSTEIN (DEM),0,OZAUKEE,V,GRAFTON
