reporting_unit,contest,candidate,votes,county,ctv,municipality
TOWN OF ALBANY,PRESIDENT_NA,KAMALA HARRIS / TIM WALZ (DEM),127,PEPIN,T,ALBANY
TOWN OF ALBANY,PRESIDENT_NA,DONALD TRUMP / JD VANCE (REP),248,PEPIN,T,ALBANY
TOWN OF ALBANY,PRESIDENT_NA,RANDALL TERRY / STEPHEN BRODEN (CONSTITUTION),0,PEPIN,T,ALBANY
TOWN OF ALBANY,PRESIDENT_NA,CHASE OLIVER / MIKE TER MAAT (LIBERTARIAN),1,PEPIN,T,ALBANY
TOWN OF ALBANY,PRESIDENT_NA,JILL STEIN / RUDOLPH WARE (WI GREEN),0,PEPIN,T,ALBANY
TOWN OF ALBANY,PRESIDENT_NA,CAUDIA DE LA CRUZ / KARINA GARCIA (SOC / LIB),0,PEPIN,T,ALBANY
TOWN OF ALBANY,PRESIDENT_NA,CORNEL WEST / MELINA ABDULA (JUSTICE FOR ALL),1,PEPIN,T,ALBANY
TOWN OF ALBANY,PRESIDENT_NA,ROBERT KENNEDY / NICOLE SHANAHAN (WE THE PPLE),3,PEPIN,T,ALBANY
TOWN OF ALBANY,PRESIDENT_REGISTERED WRITE-INS,PETER SONSKI/LAUREN ONAK (IND),0,PEPIN,T,ALBANY
TOWN OF ALBANY,PRESIDENT_NA,CHERUNDA FOX (IND),0,PEPIN,T,ALBANY
TOWN OF ALBANY,PRESIDENT_NA,BRIAN KIENITZ (IND),0,PEPIN,T,ALBANY
TOWN OF ALBANY,PRESIDENT_NA,DOUG JENKINS / KIMBERLY LALONDE (IND),0,PEPIN,T,ALBANY
TOWN OF ALBANY,PRESIDENT_NA,FUTURE MADAME POTUS / JESSICA KENNEDY (IND),0,PEPIN,T,ALBANY
TOWN OF ALBANY,PRESIDENT_NA,ANDRE MCNEIL (IND),0,PEPIN,T,ALBANY
TOWN OF ALBANY,UNITED STATES SENATOR_NA,TAMMY BALDWIN (DEM),130,PEPIN,T,ALBANY
TOWN OF ALBANY,UNITED STATES SENATOR_NA,ERIC HOVDE (REP),237,PEPIN,T,ALBANY
TOWN OF ALBANY,UNITED STATES SENATOR_NA,PHIL ANDERSON (DISRUPT THE CORRUPTION),6,PEPIN,T,ALBANY
TOWN OF ALBANY,UNITED STATES SENATOR_NA,THOMAS LEAGER (AMERICA FIRST),4,PEPIN,T,ALBANY
