contest,candidate,votes,reporting_unit,county,ctv,municipality
PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,191,TOWN OF ALBAN,PORTAGE,T,ALBAN
PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,382,TOWN OF ALBAN,PORTAGE,T,ALBAN
PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,1,TOWN OF ALBAN,PORTAGE,T,ALBAN
PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER,1,TOWN OF ALBAN,PORTAGE,T,ALBAN
PRESIDENT / VICE PRESIDENT,WGR JILL STEIN / RUDOLPH WARE,1,TOWN OF ALBAN,PORTAGE,T,ALBAN
PRESIDENT / VICE PRESIDENT,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,TOWN OF ALBAN,PORTAGE,T,ALBAN
PRESIDENT / VICE PRESIDENT,IND CORNEL WEST / MELINA ABDULLAH,1,TOWN OF ALBAN,PORTAGE,T,ALBAN
PRESIDENT / VICE PRESIDENT,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",4,TOWN OF ALBAN,PORTAGE,T,ALBAN
PRESIDENT / VICE PRESIDENT,WRITE-IN TOTALS,3,TOWN OF ALBAN,PORTAGE,T,ALBAN
UNITED STATES SENATOR,DEM TAMMY BALDWIN,208,TOWN OF ALBAN,PORTAGE,T,ALBAN
UNITED STATES SENATOR,REP ERIC HOVDE,368,TOWN OF ALBAN,PORTAGE,T,ALBAN
UNITED STATES SENATOR,IND PHIL ANDERSON,5,TOWN OF ALBAN,PORTAGE,T,ALBAN
UNITED STATES SENATOR,IND THOMAS LEAGER,3,TOWN OF ALBAN,PORTAGE,T,ALBAN
UNITED STATES SENATOR,WRITE-IN TOTALS,1,TOWN OF ALBAN,PORTAGE,T,ALBAN
REPRESENTATIVE IN CONGRESS,DEM REBECCA COOKE,207,TOWN OF ALBAN,PORTAGE,T,ALBAN
REPRESENTATIVE IN CONGRESS,REP DERRICK VAN ORDEN,370,TOWN OF ALBAN,PORTAGE,T,ALBAN
REPRESENTATIVE IN CONGRESS,WRITE-IN TOTALS,0,TOWN OF ALBAN,PORTAGE,T,ALBAN
