contest,candidate,reporting_unit,votes,county,ctv,municipality
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ,CITY OF PARK FALLS,497,PRICE,C,PARK FALLS
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ,CITY OF PHILLIPS,283,PRICE,C,PHILLIPS
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ,VILLAGE OF CATAWBA,26,PRICE,V,CATAWBA
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ,VILLAGE OF KENNAN,25,PRICE,V,KENNAN
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ,VILLAGE OF PRENTICE,97,PRICE,V,PRENTICE
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ,TOWN OF CATAWBA,48,PRICE,T,CATAWBA
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ,TOWN OF EISENSTEIN,153,PRICE,T,EISENSTEIN
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ,TOWN OF ELK,257,PRICE,T,ELK
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ,TOWN OF EMERY,63,PRICE,T,EMERY
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ,TOWN OF FIFIELD WARD 1,147,PRICE,T,FIFIELD 
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ,TOWN OF FIFIELD WARD 2,90,PRICE,T,FIFIELD 
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ,TOWN OF FLAMBEAU,112,PRICE,T,FLAMBEAU
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ,TOWN OF GEORGETOWN,26,PRICE,T,GEORGETOWN
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ,TOWN OF HACKETT,37,PRICE,T,HACKETT
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ,TOWN OF HARMONY,46,PRICE,T,HARMONY
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ,TOWN OF HILL,67,PRICE,T,HILL
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ,TOWN OF KENNAN,56,PRICE,T,KENNAN
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ,TOWN OF KNOX,71,PRICE,T,KNOX
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ,TOWN OF LAKE,299,PRICE,T,LAKE
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ,TOWN OF OGEMA,106,PRICE,T,OGEMA
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ,TOWN OF PRENTICE,80,PRICE,T,PRENTICE
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ,TOWN OF SPIRIT,70,PRICE,T,SPIRIT
PRESIDENT / VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ,TOWN OF WORCESTER,349,PRICE,T,WORCESTER
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE,CITY OF PARK FALLS,662,PRICE,C,PARK FALLS
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE,CITY OF PHILLIPS,428,PRICE,C,PHILLIPS
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE,VILLAGE OF CATAWBA,51,PRICE,V,CATAWBA
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE,VILLAGE OF KENNAN,60,PRICE,V,KENNAN
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE,VILLAGE OF PRENTICE,226,PRICE,V,PRENTICE
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE,TOWN OF CATAWBA,128,PRICE,T,CATAWBA
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE,TOWN OF EISENSTEIN,260,PRICE,T,EISENSTEIN
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE,TOWN OF ELK,453,PRICE,T,ELK
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE,TOWN OF EMERY,145,PRICE,T,EMERY
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE,TOWN OF FIFIELD WARD 1,292,PRICE,T,FIFIELD 
PRESIDENT / VICE PRESIDENT,DONALD J. TRUMP / JD VANCE,TOWN OF FIFIELD WARD 2,160,PRICE,T,FIFIELD 
