reporting_unit,contest,candidate,votes,county,ctv,municipality
"TOWN OF BURLINGTON, WARDS 1- 7",COUNTY CLERK (VOTE FOR 1),TIMES CAST,0,RACINE,T,BURLINGTON
"TOWN OF BURLINGTON, WARDS 1- 7",COUNTY CLERK (VOTE FOR 1),REGISTERED VOTERS,0,RACINE,T,BURLINGTON
"TOWN OF BURLINGTON, WARDS 1- 7",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,T,BURLINGTON
"TOWN OF BURLINGTON, WARDS 1- 7",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,T,BURLINGTON
"TOWN OF BURLINGTON, WARDS 1- 7",COUNTY CLERK (VOTE FOR 1),TOTAL VOTES,0,RACINE,T,BURLINGTON
"TOWN OF BURLINGTON, WARDS 8- 11",COUNTY CLERK (VOTE FOR 1),TIMES CAST,0,RACINE,T,BURLINGTON
"TOWN OF BURLINGTON, WARDS 8- 11",COUNTY CLERK (VOTE FOR 1),REGISTERED VOTERS,0,RACINE,T,BURLINGTON
"TOWN OF BURLINGTON, WARDS 8- 11",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,T,BURLINGTON
"TOWN OF BURLINGTON, WARDS 8- 11",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,T,BURLINGTON
"TOWN OF BURLINGTON, WARDS 8- 11",COUNTY CLERK (VOTE FOR 1),TOTAL VOTES,0,RACINE,T,BURLINGTON
"TOWN OF DOVER, WARDS 1 - 8",COUNTY CLERK (VOTE FOR 1),TIMES CAST,0,RACINE,T,DOVER
"TOWN OF DOVER, WARDS 1 - 8",COUNTY CLERK (VOTE FOR 1),REGISTERED VOTERS,0,RACINE,T,DOVER
"TOWN OF DOVER, WARDS 1 - 8",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,T,DOVER
