reporting_unit,contest,candidate,votes,county,ctv,municipality
"TOWN OF BURLINGTON, WARDS 1- 7",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),1909,RACINE,T,BURLINGTON
"TOWN OF BURLINGTON, WARDS 1- 7",COUNTY CLERK (VOTE FOR 1),WRITE-IN,25,RACINE,T,BURLINGTON
"TOWN OF BURLINGTON, WARDS 8- 11",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),1321,RACINE,T,BURLINGTON
"TOWN OF BURLINGTON, WARDS 8- 11",COUNTY CLERK (VOTE FOR 1),WRITE-IN,21,RACINE,T,BURLINGTON
"TOWN OF DOVER, WARDS 1 - 8",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),1889,RACINE,T,DOVER
"TOWN OF DOVER, WARDS 1 - 8",COUNTY CLERK (VOTE FOR 1),WRITE-IN,29,RACINE,T,DOVER
"TOWN OF NORWAY, WARDS 1 - 11",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),4629,RACINE,T,NORWAY
"TOWN OF NORWAY, WARDS 1 - 11",COUNTY CLERK (VOTE FOR 1),WRITE-IN,42,RACINE,T,NORWAY
"TOWN OF WATERFORD, WARDS 1- 10",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),3754,RACINE,T,WATERFORD
"TOWN OF WATERFORD, WARDS 1- 10",COUNTY CLERK (VOTE FOR 1),WRITE-IN,50,RACINE,T,WATERFORD
"VILLAGE OF CALEDONIA, WARDS 1- 2",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),1496,RACINE,V,CALEDONIA
"VILLAGE OF CALEDONIA, WARDS 1- 2",COUNTY CLERK (VOTE FOR 1),WRITE-IN,25,RACINE,V,CALEDONIA
"VILLAGE OF CALEDONIA, WARDS 3",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),731,RACINE,V,CALEDONIA
