reporting_unit,contest,candidate,votes,county,ctv,municipality
TOWN OF AVON,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,375,ROCK,T,AVON
TOWN OF AVON,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,372,ROCK,T,AVON
TOWN OF BELOIT WARDS 1-4 & 13,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,1504,ROCK,T,BELOIT 
TOWN OF BELOIT WARDS 1-4 & 13,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,1436,ROCK,T,BELOIT 
TOWN OF BELOIT WARD 5,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,9,ROCK,T,BELOIT 
TOWN OF BELOIT WARD 5,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,6,ROCK,T,BELOIT 
TOWN OF BELOIT WARDS 6 - 8,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,1241,ROCK,T,BELOIT 
TOWN OF BELOIT WARDS 6 - 8,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,1128,ROCK,T,BELOIT 
TOWN OF BELOIT WARDS 9 - 12,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,2291,ROCK,T,BELOIT 
TOWN OF BELOIT WARDS 9 - 12,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,2189,ROCK,T,BELOIT 
TOWN OF BRADFORD,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,648,ROCK,T,BRADFORD
TOWN OF BRADFORD,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,622,ROCK,T,BRADFORD
TOWN OF CENTER,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,738,ROCK,T,CENTER
TOWN OF CENTER,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,740,ROCK,T,CENTER
TOWN OF CLINTON,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,572,ROCK,T,CLINTON
TOWN OF CLINTON,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,554,ROCK,T,CLINTON
TOWN OF FULTON,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,2692,ROCK,T,FULTON
TOWN OF FULTON,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,2607,ROCK,T,FULTON
TOWN OF HARMONY,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,1865,ROCK,T,HARMONY
TOWN OF HARMONY,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,1794,ROCK,T,HARMONY
TOWN OF JANESVILLE WARDS 1 & 6,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,434,ROCK,T,JANESVILLE 
TOWN OF JANESVILLE WARDS 1 & 6,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,400,ROCK,T,JANESVILLE 
TOWN OF JANESVILLE WARDS 2-5 & 7-10,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,2280,ROCK,T,JANESVILLE 
TOWN OF JANESVILLE WARDS 2-5 & 7-10,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,2199,ROCK,T,JANESVILLE 
TOWN OF JOHNSTOWN,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,501,ROCK,T,JOHNSTOWN
TOWN OF JOHNSTOWN,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,497,ROCK,T,JOHNSTOWN
TOWN OF LA PRAIRIE WARD 1,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,376,ROCK,T,LA PRAIRIE 
TOWN OF LA PRAIRIE WARD 1,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,376,ROCK,T,LA PRAIRIE 
TOWN OF LA PRAIRIE WARD 2,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,151,ROCK,T,LA PRAIRIE 
TOWN OF LA PRAIRIE WARD 2,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,150,ROCK,T,LA PRAIRIE 
TOWN OF LIMA,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,737,ROCK,T,LIMA
TOWN OF LIMA,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,710,ROCK,T,LIMA
TOWN OF MAGNOLIA,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,466,ROCK,T,MAGNOLIA
TOWN OF MAGNOLIA,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,457,ROCK,T,MAGNOLIA
TOWN OF MILTON,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,2206,ROCK,T,MILTON
TOWN OF MILTON,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,2104,ROCK,T,MILTON
TOWN OF NEWARK,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,1114,ROCK,T,NEWARK
TOWN OF NEWARK,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,1048,ROCK,T,NEWARK
TOWN OF PLYMOUTH,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,816,ROCK,T,PLYMOUTH
TOWN OF PLYMOUTH,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,774,ROCK,T,PLYMOUTH
TOWN OF PORTER,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,726,ROCK,T,PORTER
TOWN OF PORTER,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,0,ROCK,T,PORTER
TOWN OF ROCK WARDS 1 - 5 & 8,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,1478,ROCK,T,ROCK 
TOWN OF ROCK WARDS 1 - 5 & 8,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,0,ROCK,T,ROCK 
TOWN OF ROCK WARDS  6 - 7,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,229,ROCK,T,ROCK 
TOWN OF ROCK WARDS  6 - 7,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,0,ROCK,T,ROCK 
TOWN OF SPRING VALLEY,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,473,ROCK,T,SPRING VALLEY
TOWN OF SPRING VALLEY,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,454,ROCK,T,SPRING VALLEY
TOWN OF TURTLE WARD 1,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,443,ROCK,T,TURTLE 
TOWN OF TURTLE WARD 1,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,420,ROCK,T,TURTLE 
TOWN OF TURTLE WARDS 2 - 4,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,1279,ROCK,T,TURTLE 
TOWN OF TURTLE WARDS 2 - 4,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,1215,ROCK,T,TURTLE 
TOWN OF UNION,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,1428,ROCK,T,UNION
TOWN OF UNION,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,1349,ROCK,T,UNION
VILLAGE OF CLINTON,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,1245,ROCK,V,CLINTON
VILLAGE OF CLINTON,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,1164,ROCK,V,CLINTON
VILLAGE OF FOOTVILLE,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,538,ROCK,V,FOOTVILLE
VILLAGE OF FOOTVILLE,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,502,ROCK,V,FOOTVILLE
VILLAGE OF ORFORDVILLE,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,930,ROCK,V,ORFORDVILLE
VILLAGE OF ORFORDVILLE,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,859,ROCK,V,ORFORDVILLE
CITY OF BELOIT WARD 1,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,305,ROCK,C,BELOIT 
CITY OF BELOIT WARD 1,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,285,ROCK,C,BELOIT 
CITY OF BELOIT WARD 2,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,1016,ROCK,C,BELOIT 
CITY OF BELOIT WARD 2,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,917,ROCK,C,BELOIT 
