reporting_unit,contest,candidate,votes,county,ctv,municipality
TOWN OF BARABOO WARDS 1-5,PRESIDENT,HARRIS,553,SAUK,T,BARABOO
TOWN OF BARABOO WARDS 1-5,PRESIDENT,TRUMP,588,SAUK,T,BARABOO
TOWN OF BARABOO WARDS 1-5,PRESIDENT,TERRY,1,SAUK,T,BARABOO
TOWN OF BARABOO WARDS 1-5,PRESIDENT,OLIVER,2,SAUK,T,BARABOO
TOWN OF BARABOO WARDS 1-5,PRESIDENT,STEIN,1,SAUK,T,BARABOO
TOWN OF BARABOO WARDS 1-5,PRESIDENT,CRUZ,3,SAUK,T,BARABOO
TOWN OF BARABOO WARDS 1-5,PRESIDENT,WEST,1,SAUK,T,BARABOO
TOWN OF BARABOO WARDS 1-5,PRESIDENT,KENNEDY,3,SAUK,T,BARABOO
TOWN OF BARABOO WARDS 1-5,PRESIDENT,WRITE-IN,2,SAUK,T,BARABOO
TOWN OF BARABOO WARDS 1-5,SENATE,BALDWIN,554,SAUK,T,BARABOO
TOWN OF BARABOO WARDS 1-5,SENATE,HOVDE,580,SAUK,T,BARABOO
TOWN OF BARABOO WARDS 1-5,SENATE,ANDERSON,8,SAUK,T,BARABOO
TOWN OF BARABOO WARDS 1-5,SENATE,LEAGER,4,SAUK,T,BARABOO
TOWN OF BARABOO WARDS 1-5,SENATE,WRITE-IN,0,SAUK,T,BARABOO
TOWN OF BEAR CREEK WARD 1,PRESIDENT,HARRIS,162,SAUK,T,BEAR CREEK
TOWN OF BEAR CREEK WARD 1,PRESIDENT,TRUMP,219,SAUK,T,BEAR CREEK
TOWN OF BEAR CREEK WARD 1,PRESIDENT,TERRY,0,SAUK,T,BEAR CREEK
TOWN OF BEAR CREEK WARD 1,PRESIDENT,OLIVER,3,SAUK,T,BEAR CREEK
TOWN OF BEAR CREEK WARD 1,PRESIDENT,STEIN,0,SAUK,T,BEAR CREEK
TOWN OF BEAR CREEK WARD 1,PRESIDENT,CRUZ,0,SAUK,T,BEAR CREEK
TOWN OF BEAR CREEK WARD 1,PRESIDENT,WEST,0,SAUK,T,BEAR CREEK
TOWN OF BEAR CREEK WARD 1,PRESIDENT,KENNEDY,3,SAUK,T,BEAR CREEK
TOWN OF BEAR CREEK WARD 1,PRESIDENT,WRITE-IN,0,SAUK,T,BEAR CREEK
TOWN OF BEAR CREEK WARD 1,SENATE,BALDWIN,175,SAUK,T,BEAR CREEK
TOWN OF BEAR CREEK WARD 1,SENATE,HOVDE,205,SAUK,T,BEAR CREEK
TOWN OF BEAR CREEK WARD 1,SENATE,ANDERSON,2,SAUK,T,BEAR CREEK
TOWN OF BEAR CREEK WARD 1,SENATE,LEAGER,0,SAUK,T,BEAR CREEK
TOWN OF BEAR CREEK WARD 1,SENATE,WRITE-IN,0,SAUK,T,BEAR CREEK
TOWN OF DELLONA WARDS 1-3,PRESIDENT,HARRIS,444,SAUK,T,DELLONA
TOWN OF DELLONA WARDS 1-3,PRESIDENT,TRUMP,693,SAUK,T,DELLONA
TOWN OF DELLONA WARDS 1-3,PRESIDENT,TERRY,2,SAUK,T,DELLONA
TOWN OF DELLONA WARDS 1-3,PRESIDENT,OLIVER,1,SAUK,T,DELLONA
TOWN OF DELLONA WARDS 1-3,PRESIDENT,STEIN,1,SAUK,T,DELLONA
TOWN OF DELLONA WARDS 1-3,PRESIDENT,CRUZ,0,SAUK,T,DELLONA
TOWN OF DELLONA WARDS 1-3,PRESIDENT,WEST,0,SAUK,T,DELLONA
TOWN OF DELLONA WARDS 1-3,PRESIDENT,KENNEDY,5,SAUK,T,DELLONA
TOWN OF DELLONA WARDS 1-3,PRESIDENT,WRITE-IN,1,SAUK,T,DELLONA
TOWN OF DELLONA WARDS 1-3,SENATE,BALDWIN,442,SAUK,T,DELLONA
TOWN OF DELLONA WARDS 1-3,SENATE,HOVDE,666,SAUK,T,DELLONA
TOWN OF DELLONA WARDS 1-3,SENATE,ANDERSON,11,SAUK,T,DELLONA
TOWN OF DELLONA WARDS 1-3,SENATE,LEAGER,12,SAUK,T,DELLONA
TOWN OF DELLONA WARDS 1-3,SENATE,WRITE-IN,1,SAUK,T,DELLONA
"TOWN OF DELTON WARDS 1,3",PRESIDENT,HARRIS,220,SAUK,T,DELTON
"TOWN OF DELTON WARDS 1,3",PRESIDENT,TRUMP,290,SAUK,T,DELTON
"TOWN OF DELTON WARDS 1,3",PRESIDENT,TERRY,0,SAUK,T,DELTON
"TOWN OF DELTON WARDS 1,3",PRESIDENT,OLIVER,0,SAUK,T,DELTON
"TOWN OF DELTON WARDS 1,3",PRESIDENT,STEIN,3,SAUK,T,DELTON
"TOWN OF DELTON WARDS 1,3",PRESIDENT,CRUZ,0,SAUK,T,DELTON
"TOWN OF DELTON WARDS 1,3",PRESIDENT,WEST,0,SAUK,T,DELTON
"TOWN OF DELTON WARDS 1,3",PRESIDENT,KENNEDY,2,SAUK,T,DELTON
"TOWN OF DELTON WARDS 1,3",PRESIDENT,WRITE-IN,0,SAUK,T,DELTON
"TOWN OF DELTON WARDS 1,3",SENATE,BALDWIN,217,SAUK,T,DELTON
"TOWN OF DELTON WARDS 1,3",SENATE,HOVDE,275,SAUK,T,DELTON
"TOWN OF DELTON WARDS 1,3",SENATE,ANDERSON,6,SAUK,T,DELTON
"TOWN OF DELTON WARDS 1,3",SENATE,LEAGER,7,SAUK,T,DELTON
"TOWN OF DELTON WARDS 1,3",SENATE,WRITE-IN,1,SAUK,T,DELTON
TOWN OF DELTON WARDS 2,PRESIDENT,HARRIS,175,SAUK,T,DELTON
TOWN OF DELTON WARDS 2,PRESIDENT,TRUMP,164,SAUK,T,DELTON
TOWN OF DELTON WARDS 2,PRESIDENT,TERRY,1,SAUK,T,DELTON
TOWN OF DELTON WARDS 2,PRESIDENT,OLIVER,1,SAUK,T,DELTON
TOWN OF DELTON WARDS 2,PRESIDENT,STEIN,0,SAUK,T,DELTON
TOWN OF DELTON WARDS 2,PRESIDENT,CRUZ,0,SAUK,T,DELTON
TOWN OF DELTON WARDS 2,PRESIDENT,WEST,0,SAUK,T,DELTON
TOWN OF DELTON WARDS 2,PRESIDENT,KENNEDY,0,SAUK,T,DELTON
TOWN OF DELTON WARDS 2,PRESIDENT,WRITE-IN,0,SAUK,T,DELTON
TOWN OF DELTON WARDS 2,SENATE,BALDWIN,175,SAUK,T,DELTON
TOWN OF DELTON WARDS 2,SENATE,HOVDE,151,SAUK,T,DELTON
TOWN OF DELTON WARDS 2,SENATE,ANDERSON,6,SAUK,T,DELTON
TOWN OF DELTON WARDS 2,SENATE,LEAGER,4,SAUK,T,DELTON
TOWN OF DELTON WARDS 2,SENATE,WRITE-IN,0,SAUK,T,DELTON
TOWN OF DELTON WARD 4,PRESIDENT,HARRIS,245,SAUK,T,DELTON
TOWN OF DELTON WARD 4,PRESIDENT,TRUMP,277,SAUK,T,DELTON
TOWN OF DELTON WARD 4,PRESIDENT,TERRY,3,SAUK,T,DELTON
TOWN OF DELTON WARD 4,PRESIDENT,OLIVER,1,SAUK,T,DELTON
TOWN OF DELTON WARD 4,PRESIDENT,STEIN,2,SAUK,T,DELTON
TOWN OF DELTON WARD 4,PRESIDENT,CRUZ,0,SAUK,T,DELTON
TOWN OF DELTON WARD 4,PRESIDENT,WEST,1,SAUK,T,DELTON
TOWN OF DELTON WARD 4,PRESIDENT,KENNEDY,6,SAUK,T,DELTON
TOWN OF DELTON WARD 4,PRESIDENT,WRITE-IN,2,SAUK,T,DELTON
TOWN OF DELTON WARD 4,SENATE,BALDWIN,254,SAUK,T,DELTON
TOWN OF DELTON WARD 4,SENATE,HOVDE,257,SAUK,T,DELTON
TOWN OF DELTON WARD 4,SENATE,ANDERSON,8,SAUK,T,DELTON
TOWN OF DELTON WARD 4,SENATE,LEAGER,13,SAUK,T,DELTON
TOWN OF DELTON WARD 4,SENATE,WRITE-IN,0,SAUK,T,DELTON
TOWN OF EXCELSIOR WARD 1,PRESIDENT,HARRIS,163,SAUK,T,EXCELSIOR
TOWN OF EXCELSIOR WARD 1,PRESIDENT,TRUMP,227,SAUK,T,EXCELSIOR
TOWN OF EXCELSIOR WARD 1,PRESIDENT,TERRY,1,SAUK,T,EXCELSIOR
TOWN OF EXCELSIOR WARD 1,PRESIDENT,OLIVER,2,SAUK,T,EXCELSIOR
TOWN OF EXCELSIOR WARD 1,PRESIDENT,STEIN,2,SAUK,T,EXCELSIOR
TOWN OF EXCELSIOR WARD 1,PRESIDENT,CRUZ,0,SAUK,T,EXCELSIOR
TOWN OF EXCELSIOR WARD 1,PRESIDENT,WEST,0,SAUK,T,EXCELSIOR
TOWN OF EXCELSIOR WARD 1,PRESIDENT,KENNEDY,0,SAUK,T,EXCELSIOR
TOWN OF EXCELSIOR WARD 1,PRESIDENT,WRITE-IN,0,SAUK,T,EXCELSIOR
TOWN OF EXCELSIOR WARD 1,SENATE,BALDWIN,175,SAUK,T,EXCELSIOR
TOWN OF EXCELSIOR WARD 1,SENATE,HOVDE,213,SAUK,T,EXCELSIOR
TOWN OF EXCELSIOR WARD 1,SENATE,ANDERSON,4,SAUK,T,EXCELSIOR
TOWN OF EXCELSIOR WARD 1,SENATE,LEAGER,3,SAUK,T,EXCELSIOR
TOWN OF EXCELSIOR WARD 1,SENATE,WRITE-IN,0,SAUK,T,EXCELSIOR
TOWN OF EXCELSIOR WARDS 2-3,PRESIDENT,HARRIS,272,SAUK,T,EXCELSIOR
TOWN OF EXCELSIOR WARDS 2-3,PRESIDENT,TRUMP,408,SAUK,T,EXCELSIOR
TOWN OF EXCELSIOR WARDS 2-3,PRESIDENT,TERRY,1,SAUK,T,EXCELSIOR
TOWN OF EXCELSIOR WARDS 2-3,PRESIDENT,OLIVER,1,SAUK,T,EXCELSIOR
TOWN OF EXCELSIOR WARDS 2-3,PRESIDENT,STEIN,1,SAUK,T,EXCELSIOR
TOWN OF EXCELSIOR WARDS 2-3,PRESIDENT,CRUZ,1,SAUK,T,EXCELSIOR
TOWN OF EXCELSIOR WARDS 2-3,PRESIDENT,WEST,0,SAUK,T,EXCELSIOR
