reporting_unit,contest,candidate,votes,county,ctv,municipality
"TOWN OF BASS LAKE, WARDS 1-5",PRESIDENT,KAMALA D. HARRIS / TIM WALZ,809,SAWYER,T,BASS LAKE
"TOWN OF BASS LAKE, WARDS 1-5",PRESIDENT,DONALD J. TRUMP / JD VANCE,676,SAWYER,T,BASS LAKE
"TOWN OF BASS LAKE, WARDS 1-5",PRESIDENT,RANDALL TERRY / STEPHEN BRODEN,2,SAWYER,T,BASS LAKE
"TOWN OF BASS LAKE, WARDS 1-5",PRESIDENT,CHASE RUSSELL OLIVER / MIKE TER MAAT,4,SAWYER,T,BASS LAKE
"TOWN OF BASS LAKE, WARDS 1-5",PRESIDENT,JILL STEIN / RUDOLPH WARE,0,SAWYER,T,BASS LAKE
"TOWN OF BASS LAKE, WARDS 1-5",PRESIDENT,CLAUDIA DE LA CRUZ / KARINA GARCIA,0,SAWYER,T,BASS LAKE
"TOWN OF BASS LAKE, WARDS 1-5",PRESIDENT,CORNEL WEST / MELINA ABDULLAH,0,SAWYER,T,BASS LAKE
"TOWN OF BASS LAKE, WARDS 1-5",PRESIDENT,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",1,SAWYER,T,BASS LAKE
"TOWN OF BASS LAKE, WARDS 1-5",PRESIDENT,PETER SONSKI,0,SAWYER,T,BASS LAKE
"TOWN OF BASS LAKE, WARDS 1-5",PRESIDENT,CHERUNDA LYNN FOX,0,SAWYER,T,BASS LAKE
"TOWN OF BASS LAKE, WARDS 1-5",PRESIDENT,BRIAN KIENITZ,0,SAWYER,T,BASS LAKE
"TOWN OF BASS LAKE, WARDS 1-5",PRESIDENT,DOUG JENKINS,0,SAWYER,T,BASS LAKE
"TOWN OF BASS LAKE, WARDS 1-5",PRESIDENT,FUTURE MADAM POTUS / JESSICA KENNEDY,0,SAWYER,T,BASS LAKE
"TOWN OF BASS LAKE, WARDS 1-5",PRESIDENT,"ANDRE' RAMONE MCNEIL, SR.",0,SAWYER,T,BASS LAKE
"TOWN OF BASS LAKE, WARDS 1-5",PRESIDENT,SCATTERING,6,SAWYER,T,BASS LAKE
"TOWN OF BASS LAKE, WARDS 1-5",US SENATOR,TAMMY BALDWIN,808,SAWYER,T,BASS LAKE
