contest,candidate,votes,reporting_unit,county,ctv,municipality
PRESIDENT OF THE UNITED STATES,HARRIS/WALZ (DEM),77,ALMON T WD 1,SHAWANO,T,ALMON
PRESIDENT OF THE UNITED STATES,TRUMP/VANCE (REP),258,ALMON T WD 1,SHAWANO,T,ALMON
PRESIDENT OF THE UNITED STATES,TERRY/BRODEN (CON),1,ALMON T WD 1,SHAWANO,T,ALMON
PRESIDENT OF THE UNITED STATES,OLIVER/TER MAAT (LIB),0,ALMON T WD 1,SHAWANO,T,ALMON
PRESIDENT OF THE UNITED STATES,STEIN/WARE (WGR),2,ALMON T WD 1,SHAWANO,T,ALMON
PRESIDENT OF THE UNITED STATES,DE LA CRUZ/GARCIA (PARTY FOR SOCIALISM & LIBERATION),0,ALMON T WD 1,SHAWANO,T,ALMON
PRESIDENT OF THE UNITED STATES,WEST/ABDULLAH (JUSTICE FOR ALL),0,ALMON T WD 1,SHAWANO,T,ALMON
PRESIDENT OF THE UNITED STATES,"KENNEDY, JR./SHANAHAN (WE THE PEOPLE)",0,ALMON T WD 1,SHAWANO,T,ALMON
PRESIDENT OF THE UNITED STATES,PETER SONSKI/LAUREN ONAK (IND) - REGISTERED WRITE IN,0,ALMON T WD 1,SHAWANO,T,ALMON
PRESIDENT OF THE UNITED STATES,CHERUNDA LYNN FOX (IND) - REGISTERED WRITE IN,0,ALMON T WD 1,SHAWANO,T,ALMON
PRESIDENT OF THE UNITED STATES,BRIAN KIENITZ (IND) - REGISTERED WRITE IN,0,ALMON T WD 1,SHAWANO,T,ALMON
PRESIDENT OF THE UNITED STATES,DOUG JENKINS/KIMBERLY LALONDE - REGISTERED WRITE IN,0,ALMON T WD 1,SHAWANO,T,ALMON
PRESIDENT OF THE UNITED STATES,NA,0,ALMON T WD 1,SHAWANO,T,ALMON
PRESIDENT OF THE UNITED STATES,"ANDRÉ RAMONE MCNEIL, SR. - REGISTERED WRITE IN",0,ALMON T WD 1,SHAWANO,T,ALMON
PRESIDENT OF THE UNITED STATES,SCATTERING,0,ALMON T WD 1,SHAWANO,T,ALMON
"REPRESENTATIVE IN CONGRESS 8TH DISTRICT TERM JAN. 3, 2025 TO JAN. 3, 2027",KRISTIN LYERLY (DEM),89,ALMON T WD 1,SHAWANO,T,ALMON
"REPRESENTATIVE IN CONGRESS 8TH DISTRICT TERM JAN. 3, 2025 TO JAN. 3, 2027",TONY WIED (REP),246,ALMON T WD 1,SHAWANO,T,ALMON
"REPRESENTATIVE IN CONGRESS 8TH DISTRICT TERM JAN. 3, 2025 TO JAN. 3, 2027",SCATTERING,0,ALMON T WD 1,SHAWANO,T,ALMON
UNITED STATES SENATOR,TAMMY BALDWIN (DEM),78,ALMON T WD 1,SHAWANO,T,ALMON
UNITED STATES SENATOR,ERIC HOVDE (REP),247,ALMON T WD 1,SHAWANO,T,ALMON
UNITED STATES SENATOR,PHIL ANDERSON (DISRUPT THE CORRUPTION),6,ALMON T WD 1,SHAWANO,T,ALMON
UNITED STATES SENATOR,THOMAS LEAGER (AMERICA FIRST),6,ALMON T WD 1,SHAWANO,T,ALMON
UNITED STATES SENATOR,JOHN SCHIESS (IND) - REGISTERED WRITE IN,0,ALMON T WD 1,SHAWANO,T,ALMON
UNITED STATES SENATOR,SCATTERING,0,ALMON T WD 1,SHAWANO,T,ALMON
"REPRESENTATIVE IN CONGRESS 8TH DISTRICT TERM JAN. 3, 2025 TO JAN. 3, 2027",KRISTIN LYERLY (DEM),92,ALMON T WD 1,SHAWANO,T,ALMON
"REPRESENTATIVE IN CONGRESS 8TH DISTRICT TERM JAN. 3, 2025 TO JAN. 3, 2027",TONY WIED (REP),238,ALMON T WD 1,SHAWANO,T,ALMON
"REPRESENTATIVE IN CONGRESS 8TH DISTRICT TERM JAN. 3, 2025 TO JAN. 3, 2027",SCATTERING,0,ALMON T WD 1,SHAWANO,T,ALMON
DISTRICT 87,WILLIAM SWITALLA (DEM),90,ALMON T WD 1,SHAWANO,T,ALMON
DISTRICT 87,BRENT JACOBSON (REP),242,ALMON T WD 1,SHAWANO,T,ALMON
DISTRICT 87,SCATTERING,0,ALMON T WD 1,SHAWANO,T,ALMON
DISTRICT ATTORNEY,GREG PARKER (REP),292,ALMON T WD 1,SHAWANO,T,ALMON
DISTRICT ATTORNEY,SCATTERING,0,ALMON T WD 1,SHAWANO,T,ALMON
COUNTY CLERK,KARA SKARLUPKA (REP),293,ALMON T WD 1,SHAWANO,T,ALMON
COUNTY CLERK,SCATTERING,0,ALMON T WD 1,SHAWANO,T,ALMON
COUNTY TREASURER,DEBRA K. WALLACE (REP),297,ALMON T WD 1,SHAWANO,T,ALMON
COUNTY TREASURER,SCATTERING,0,ALMON T WD 1,SHAWANO,T,ALMON
REGISTER OF DEEDS,AMY DILLENBURG (REP),295,ALMON T WD 1,SHAWANO,T,ALMON
REGISTER OF DEEDS,SCATTERING,0,ALMON T WD 1,SHAWANO,T,ALMON
REGISTER OF DEEDS,YES,288,ALMON T WD 1,SHAWANO,T,ALMON
REGISTER OF DEEDS,NO,35,ALMON T WD 1,SHAWANO,T,ALMON
PRESIDENT OF THE UNITED STATES,HARRIS/WALZ (DEM),271,ANGELICA T WDS 1-3,SHAWANO,T,ANGELICA
PRESIDENT OF THE UNITED STATES,TRUMP/VANCE (REP),906,ANGELICA T WDS 1-3,SHAWANO,T,ANGELICA
PRESIDENT OF THE UNITED STATES,TERRY/BRODEN (CON),0,ANGELICA T WDS 1-3,SHAWANO,T,ANGELICA
PRESIDENT OF THE UNITED STATES,OLIVER/TER MAAT (LIB),5,ANGELICA T WDS 1-3,SHAWANO,T,ANGELICA
PRESIDENT OF THE UNITED STATES,STEIN/WARE (WGR),1,ANGELICA T WDS 1-3,SHAWANO,T,ANGELICA
