reporting_unit,contest,candidate,votes,county,ctv,municipality
TOWN OF GREENBUSH WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,KAMALA D. HARRISTIM WALZ,330,SHEBOYGAN,T,GREENBUSH 
TOWN OF GREENBUSH WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,DONALD J. TRUMPJD VANCE,675,SHEBOYGAN,T,GREENBUSH 
TOWN OF GREENBUSH WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,RANDALL TERRY STEPHEN BRODEN,1,SHEBOYGAN,T,GREENBUSH 
TOWN OF GREENBUSH WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,CHASE RUSSELL OLIVERMIKE TER MAAT,2,SHEBOYGAN,T,GREENBUSH 
TOWN OF GREENBUSH WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,JILL STEIN RUDOLPH WARE,1,SHEBOYGAN,T,GREENBUSH 
TOWN OF GREENBUSH WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,CLAUDIA DE LA CRUZ KARINA GARCIA,0,SHEBOYGAN,T,GREENBUSH 
TOWN OF GREENBUSH WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,CORNEL WEST MELINA ABDULLAH,1,SHEBOYGAN,T,GREENBUSH 
TOWN OF GREENBUSH WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,"ROBERT F. KENNEDY, JR. NICOLE SHANAHAN",2,SHEBOYGAN,T,GREENBUSH 
TOWN OF GREENBUSH WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,PETER SONSKI LAUREN ONAK (WRITE-IN),0,SHEBOYGAN,T,GREENBUSH 
TOWN OF GREENBUSH WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,CHERUNDA LYNN FOX (WRITE-IN),0,SHEBOYGAN,T,GREENBUSH 
TOWN OF GREENBUSH WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,BRIAN KIENITZ (WRITE-IN),0,SHEBOYGAN,T,GREENBUSH 
TOWN OF GREENBUSH WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,DOUG JENKINS KIMBERLY LALONDE (WRITE-IN),0,SHEBOYGAN,T,GREENBUSH 
TOWN OF GREENBUSH WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,FUTURE MADAM POTUS JESSICA KENNEDY (WRITE-IN),0,SHEBOYGAN,T,GREENBUSH 
TOWN OF GREENBUSH WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,"ANDRÉ RAMONE MCNEIL, SR. (WRITE-IN)",0,SHEBOYGAN,T,GREENBUSH 
TOWN OF HERMAN WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,KAMALA D. HARRISTIM WALZ,342,SHEBOYGAN,T,HERMAN 
TOWN OF HERMAN WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,DONALD J. TRUMPJD VANCE,839,SHEBOYGAN,T,HERMAN 
TOWN OF HERMAN WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,RANDALL TERRY STEPHEN BRODEN,0,SHEBOYGAN,T,HERMAN 
TOWN OF HERMAN WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,CHASE RUSSELL OLIVERMIKE TER MAAT,4,SHEBOYGAN,T,HERMAN 
TOWN OF HERMAN WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,JILL STEIN RUDOLPH WARE,5,SHEBOYGAN,T,HERMAN 
TOWN OF HERMAN WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,CLAUDIA DE LA CRUZ KARINA GARCIA,0,SHEBOYGAN,T,HERMAN 
TOWN OF HERMAN WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,CORNEL WEST MELINA ABDULLAH,0,SHEBOYGAN,T,HERMAN 
TOWN OF HERMAN WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,"ROBERT F. KENNEDY, JR. NICOLE SHANAHAN",5,SHEBOYGAN,T,HERMAN 
TOWN OF HERMAN WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,PETER SONSKI LAUREN ONAK (WRITE-IN),0,SHEBOYGAN,T,HERMAN 
TOWN OF HERMAN WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,CHERUNDA LYNN FOX (WRITE-IN),0,SHEBOYGAN,T,HERMAN 
TOWN OF HERMAN WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,BRIAN KIENITZ (WRITE-IN),0,SHEBOYGAN,T,HERMAN 
TOWN OF HERMAN WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,DOUG JENKINS KIMBERLY LALONDE (WRITE-IN),0,SHEBOYGAN,T,HERMAN 
TOWN OF HERMAN WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,FUTURE MADAM POTUS JESSICA KENNEDY (WRITE-IN),0,SHEBOYGAN,T,HERMAN 
TOWN OF HERMAN WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,"ANDRÉ RAMONE MCNEIL, SR. (WRITE-IN)",0,SHEBOYGAN,T,HERMAN 
TOWN OF HOLLAND WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,KAMALA D. HARRISTIM WALZ,372,SHEBOYGAN,T,HOLLAND 
TOWN OF HOLLAND WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,DONALD J. TRUMPJD VANCE,1237,SHEBOYGAN,T,HOLLAND 
TOWN OF HOLLAND WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,RANDALL TERRY STEPHEN BRODEN,6,SHEBOYGAN,T,HOLLAND 
TOWN OF HOLLAND WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,CHASE RUSSELL OLIVERMIKE TER MAAT,4,SHEBOYGAN,T,HOLLAND 
TOWN OF HOLLAND WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,JILL STEIN RUDOLPH WARE,0,SHEBOYGAN,T,HOLLAND 
TOWN OF HOLLAND WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,CLAUDIA DE LA CRUZ KARINA GARCIA,0,SHEBOYGAN,T,HOLLAND 
TOWN OF HOLLAND WARDS 1-3,PRESIDENT OF THE UNITED STATES SHEBOYGAN  COUNTY 2024 GENERAL ELECTION 11/5/2024,CORNEL WEST MELINA ABDULLAH,0,SHEBOYGAN,T,HOLLAND 
