contest,candidate,votes,reporting_unit,county,ctv,municipality
PRESIDENT / VICE PRESIDENT,REP TRUMP / VANCE,483,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
PRESIDENT / VICE PRESIDENT,DEM HARRIS / WALZ,179,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
PRESIDENT / VICE PRESIDENT,WGR STEIN / WARE,6,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
PRESIDENT / VICE PRESIDENT,"IND KENNEDY, JR. / SHANAHAN",3,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
PRESIDENT / VICE PRESIDENT,LIB OLIVER / TER MAAT,1,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
PRESIDENT / VICE PRESIDENT,IND DE LA CRUZ / GARCIA,1,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
PRESIDENT / VICE PRESIDENT,CON TERRY / BRODEN,0,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
PRESIDENT / VICE PRESIDENT,IND WEST / ABDULLAH,0,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
PRESIDENT / VICE PRESIDENT,WRITE-IN TOTALS,3,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
UNITED STATES SENATOR,REP ERIC HOVDE,463,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
UNITED STATES SENATOR,DEM TAMMY BALDWIN,182,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
UNITED STATES SENATOR,IND PHIL ANDERSON,12,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
UNITED STATES SENATOR,IND THOMAS LEAGER,5,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
UNITED STATES SENATOR,WRITE-IN TOTALS,0,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
REP CONGRESS DIST 7,REP TOM TIFFANY,489,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
REP CONGRESS DIST 7,DEM KYLE KILBOURN,160,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
REP CONGRESS DIST 7,WRITE-IN TOTALS,0,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
STATE SENATOR DIST 10,REP ROB STAFSHOLT,481,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
STATE SENATOR DIST 10,DEM PAUL HAMBLETON,170,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
STATE SENATOR DIST 10,WRITE-IN TOTALS,0,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
REP ASSEMBLY DIST 28,REP ROB KREIBICH,467,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
REP ASSEMBLY DIST 28,DEM DANIELLE JOHNSON,169,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
REP ASSEMBLY DIST 28,WRITE-IN TOTALS,0,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
DISTRICT ATTORNEY,REP KARL E. ANDERSON,578,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
DISTRICT ATTORNEY,WRITE-IN TOTALS,10,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
COUNTY CLERK,REP CHRISTINE HINES,585,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
COUNTY CLERK,WRITE-IN TOTALS,6,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
COUNTY TREASURER,REP DENISE ANDERSON,590,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
COUNTY TREASURER,WRITE-IN TOTALS,3,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
REGISTER OF DEEDS,DEM BETH PABST,451,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
REGISTER OF DEEDS,WRITE-IN TOTALS,20,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
STATE REFERENDUM,YES,522,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
STATE REFERENDUM,NO,123,TOWN OF BALDWIN W 1 & 2,ST. CROIX,T,BALDWIN
PRESIDENT / VICE PRESIDENT,REP TRUMP / VANCE,392,TOWN OF CADY,ST. CROIX,T,CADY
PRESIDENT / VICE PRESIDENT,DEM HARRIS / WALZ,148,TOWN OF CADY,ST. CROIX,T,CADY
PRESIDENT / VICE PRESIDENT,"IND KENNEDY, JR. / SHANAHAN",9,TOWN OF CADY,ST. CROIX,T,CADY
PRESIDENT / VICE PRESIDENT,CON TERRY / BRODEN,1,TOWN OF CADY,ST. CROIX,T,CADY
PRESIDENT / VICE PRESIDENT,LIB OLIVER / TER MAAT,1,TOWN OF CADY,ST. CROIX,T,CADY
PRESIDENT / VICE PRESIDENT,WGR STEIN / WARE,0,TOWN OF CADY,ST. CROIX,T,CADY
PRESIDENT / VICE PRESIDENT,IND DE LA CRUZ / GARCIA,0,TOWN OF CADY,ST. CROIX,T,CADY
PRESIDENT / VICE PRESIDENT,IND WEST / ABDULLAH,0,TOWN OF CADY,ST. CROIX,T,CADY
PRESIDENT / VICE PRESIDENT,WRITE-IN TOTALS,1,TOWN OF CADY,ST. CROIX,T,CADY
UNITED STATES SENATOR,REP ERIC HOVDE,382,TOWN OF CADY,ST. CROIX,T,CADY
UNITED STATES SENATOR,DEM TAMMY BALDWIN,158,TOWN OF CADY,ST. CROIX,T,CADY
UNITED STATES SENATOR,IND THOMAS LEAGER,6,TOWN OF CADY,ST. CROIX,T,CADY
UNITED STATES SENATOR,IND PHIL ANDERSON,1,TOWN OF CADY,ST. CROIX,T,CADY
UNITED STATES SENATOR,WRITE-IN TOTALS,0,TOWN OF CADY,ST. CROIX,T,CADY
REP CONGRESS DIST 7,REP TOM TIFFANY,398,TOWN OF CADY,ST. CROIX,T,CADY
REP CONGRESS DIST 7,DEM KYLE KILBOURN,141,TOWN OF CADY,ST. CROIX,T,CADY
REP CONGRESS DIST 7,WRITE-IN TOTALS,0,TOWN OF CADY,ST. CROIX,T,CADY
STATE SENATOR DIST 10,REP ROB STAFSHOLT,395,TOWN OF CADY,ST. CROIX,T,CADY
STATE SENATOR DIST 10,DEM PAUL HAMBLETON,142,TOWN OF CADY,ST. CROIX,T,CADY
STATE SENATOR DIST 10,WRITE-IN TOTALS,0,TOWN OF CADY,ST. CROIX,T,CADY
REP ASSEMBLY DIST 28,REP ROB KREIBICH,391,TOWN OF CADY,ST. CROIX,T,CADY
REP ASSEMBLY DIST 28,DEM DANIELLE JOHNSON,147,TOWN OF CADY,ST. CROIX,T,CADY
REP ASSEMBLY DIST 28,WRITE-IN TOTALS,0,TOWN OF CADY,ST. CROIX,T,CADY
DISTRICT ATTORNEY,REP KARL E. ANDERSON,475,TOWN OF CADY,ST. CROIX,T,CADY
DISTRICT ATTORNEY,WRITE-IN TOTALS,0,TOWN OF CADY,ST. CROIX,T,CADY
