reporting_unit,contest,candidate,votes,county,ctv,municipality
TOWN ALBION,PRESIDENT VICE PRESIDENT,HARRIS WALZ,122,TREMPEALEAU,T,ALBION
TOWN ALBION,PRESIDENT VICE PRESIDENT,TRUMP JD VANCE,273,TREMPEALEAU,T,ALBION
TOWN ALBION,PRESIDENT VICE PRESIDENT,TERRY BRODEN,0,TREMPEALEAU,T,ALBION
TOWN ALBION,PRESIDENT VICE PRESIDENT,OLIVER MAAT,0,TREMPEALEAU,T,ALBION
TOWN ALBION,PRESIDENT VICE PRESIDENT,STEIN WARE,0,TREMPEALEAU,T,ALBION
TOWN ALBION,PRESIDENT VICE PRESIDENT,DE LA CRUZ GARCIA,0,TREMPEALEAU,T,ALBION
TOWN ALBION,PRESIDENT VICE PRESIDENT,WEST ABDULLAH,0,TREMPEALEAU,T,ALBION
TOWN ALBION,PRESIDENT VICE PRESIDENT,KENNEDY SHANAHAN,0,TREMPEALEAU,T,ALBION
TOWN ALBION,PRESIDENT VICE PRESIDENT,RI-SONSKI ONAK,0,TREMPEALEAU,T,ALBION
TOWN ALBION,PRESIDENT VICE PRESIDENT,RI-FOX,0,TREMPEALEAU,T,ALBION
TOWN ALBION,PRESIDENT VICE PRESIDENT,RI-KIENITZ,0,TREMPEALEAU,T,ALBION
TOWN ALBION,PRESIDENT VICE PRESIDENT,RI- JENKINS/L ALONDE,0,TREMPEALEAU,T,ALBION
TOWN ALBION,PRESIDENT VICE PRESIDENT,RI-POTUS KENNEDY,0,TREMPEALEAU,T,ALBION
TOWN ALBION,PRESIDENT VICE PRESIDENT,RI-MCNEIL,0,TREMPEALEAU,T,ALBION
TOWN ALBION,PRESIDENT VICE PRESIDENT,WRITE-IN,0,TREMPEALEAU,T,ALBION
TOWN ALBION,PRESIDENT VICE PRESIDENT,PROVISIONAL BALLOTS,0,TREMPEALEAU,T,ALBION
TOWN ARCADIA,PRESIDENT VICE PRESIDENT,HARRIS WALZ,314,TREMPEALEAU,T,ARCADIA
TOWN ARCADIA,PRESIDENT VICE PRESIDENT,TRUMP JD VANCE,704,TREMPEALEAU,T,ARCADIA
TOWN ARCADIA,PRESIDENT VICE PRESIDENT,TERRY BRODEN,0,TREMPEALEAU,T,ARCADIA
TOWN ARCADIA,PRESIDENT VICE PRESIDENT,OLIVER MAAT,1,TREMPEALEAU,T,ARCADIA
TOWN ARCADIA,PRESIDENT VICE PRESIDENT,STEIN WARE,2,TREMPEALEAU,T,ARCADIA
TOWN ARCADIA,PRESIDENT VICE PRESIDENT,DE LA CRUZ GARCIA,1,TREMPEALEAU,T,ARCADIA
TOWN ARCADIA,PRESIDENT VICE PRESIDENT,WEST ABDULLAH,0,TREMPEALEAU,T,ARCADIA
TOWN ARCADIA,PRESIDENT VICE PRESIDENT,KENNEDY SHANAHAN,0,TREMPEALEAU,T,ARCADIA
TOWN ARCADIA,PRESIDENT VICE PRESIDENT,RI-SONSKI ONAK,0,TREMPEALEAU,T,ARCADIA
TOWN ARCADIA,PRESIDENT VICE PRESIDENT,RI-FOX,0,TREMPEALEAU,T,ARCADIA
TOWN ARCADIA,PRESIDENT VICE PRESIDENT,RI-KIENITZ,0,TREMPEALEAU,T,ARCADIA
TOWN ARCADIA,PRESIDENT VICE PRESIDENT,RI- JENKINS/L ALONDE,0,TREMPEALEAU,T,ARCADIA
TOWN ARCADIA,PRESIDENT VICE PRESIDENT,RI-POTUS KENNEDY,0,TREMPEALEAU,T,ARCADIA
TOWN ARCADIA,PRESIDENT VICE PRESIDENT,RI-MCNEIL,0,TREMPEALEAU,T,ARCADIA
TOWN ARCADIA,PRESIDENT VICE PRESIDENT,WRITE-IN,0,TREMPEALEAU,T,ARCADIA
TOWN ARCADIA,PRESIDENT VICE PRESIDENT,PROVISIONAL BALLOTS,0,TREMPEALEAU,T,ARCADIA
TOWN BURNSIDE,PRESIDENT VICE PRESIDENT,HARRIS WALZ,101,TREMPEALEAU,T,BURNSIDE
TOWN BURNSIDE,PRESIDENT VICE PRESIDENT,TRUMP JD VANCE,154,TREMPEALEAU,T,BURNSIDE
