reporting_unit,contest,candidate,votes,county,ctv,municipality
TOWN OF BERGEN WARDS 1-3,PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS TIM WALZ,410,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,PRESIDENT OF THE UNITED STATES,DONALD J. TRUMP JD VANCE,472,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,PRESIDENT OF THE UNITED STATES,RANDALL TERRY STEPHEN BRODEN,1,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER MIKE TER MAAT,5,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,PRESIDENT OF THE UNITED STATES,JILL STEIN RUDOLPH WARE,1,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ KARINA GARCIA,0,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,PRESIDENT OF THE UNITED STATES,CORNEL WEST MELINA ABDULLAH,1,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,PRESIDENT OF THE UNITED STATES,ROBERT F KENNEDY JR NICOLE SHANAHAN,2,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,PRESIDENT OF THE UNITED STATES,PETER SONSKI LAUREN ONAK (WRITE-IN),0,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,PRESIDENT OF THE UNITED STATES,CHERUNDA LYNN FOX (WRITE-IN),0,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,PRESIDENT OF THE UNITED STATES,BRIAN KIENITZ (WRITE-IN),0,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,PRESIDENT OF THE UNITED STATES,DOUG JENKINS KIMBERLY LALONDE (WRITE-IN),0,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,PRESIDENT OF THE UNITED STATES,FUTURE MADAM POTUS JESSICA KENNEDY (WRITE-IN),0,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,PRESIDENT OF THE UNITED STATES,"ANDRÉ RAMONE MCNEIL, SR. (WRITE-IN)",0,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,PRESIDENT OF THE UNITED STATES,SCATTERING,2,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,UNITED STATES SENATOR,TAMMY BALDWIN,413,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,UNITED STATES SENATOR,ERIC HOVDE,451,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,UNITED STATES SENATOR,PHIL ANDERSON,7,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,UNITED STATES SENATOR,THOMAS LEAGER,14,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,UNITED STATES SENATOR,JOHN SCHIESS (WRITE-IN),0,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,UNITED STATES SENATOR,SCATTERING,0,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,REPRESENTATIVE IN CONGRESS DISTRICT 3,REBECCA COOKE,424,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,REPRESENTATIVE IN CONGRESS DISTRICT 3,DERRICK VAN ORDEN,461,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,REPRESENTATIVE IN CONGRESS DISTRICT 3,SCATTERING,0,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,STATE SENATOR DISTRICT 32,BRAD PFAFF,410,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,STATE SENATOR DISTRICT 32,STACEY KLEIN,465,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,STATE SENATOR DISTRICT 32,SCATTERING,0,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 96,TARA JOHNSON,361,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 96,LOREN OLDENBURG,516,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 96,SCATTERING,0,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,VERNON COUNTY DISTRICT ATTORNEY,ANGELA PALMER-FISHER,600,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,VERNON COUNTY DISTRICT ATTORNEY,SCATTERING,30,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,VERNON COUNTY CLERK,JERRY PEDRETTI,700,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,VERNON COUNTY CLERK,SCATTERING,16,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,VERNON COUNTY TREASURER,KAREN DELAP,679,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,VERNON COUNTY TREASURER,SCATTERING,10,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,VERNON COUNTY REGISTER OF DEEDS,LINDSEY FORMANEK,682,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,VERNON COUNTY REGISTER OF DEEDS,SCATTERING,10,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,STATE OF WISCONSIN ELIGIBILITY TO VOTE REFERENDUM,YES,637,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,STATE OF WISCONSIN ELIGIBILITY TO VOTE REFERENDUM,NO,225,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,TOWN OF BERGEN APPOINTMENT OF TOWN CLERK AND TOWN TREASURER REFERENDUM,YES,432,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,TOWN OF BERGEN APPOINTMENT OF TOWN CLERK AND TOWN TREASURER REFERENDUM,NO,432,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,DE SOTO AREA SCHOOL DISTRICT EXCEED REVENUE LIMIT REFERENDUM,YES,208,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,DE SOTO AREA SCHOOL DISTRICT EXCEED REVENUE LIMIT REFERENDUM,NO,233,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,LA CROSSE SCHOOL DISTRICT GENERAL OBLIGATION BONDS REFERENDUM,YES,189,VERNON,T,BERGEN
TOWN OF BERGEN WARDS 1-3,LA CROSSE SCHOOL DISTRICT GENERAL OBLIGATION BONDS REFERENDUM,NO,228,VERNON,T,BERGEN
