reporting_unit,contest,candidate,votes,county,municipality,ctv
ARBOR VITAE - WARDS 1 - 7,PRESIDENTIAL,KAMALA D. HARRIS / TIM WALZ,892,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,PRESIDENTIAL,DONALD J. TRUMP / JD VANCE,1431,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,PRESIDENTIAL,RANDALL TERRY / STEPHEN BRODEN,5,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,PRESIDENTIAL,CHASE RUSSELL OLIVER / MIKE TER MAAT,4,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,PRESIDENTIAL,JILL STEIN / RUDOLPH WARE,5,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,PRESIDENTIAL,CLAUDIA DE LA CRUZ / KARINA GARCIA,0,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,PRESIDENTIAL,CORNEL WEST / MELINA ABDULLAH,0,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,PRESIDENTIAL,"ROBERT F. KENNEDY, JR. / NICOLE SHANANHA",10,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,PRESIDENTIAL,PETER SONSKI / LAUREN ONAK (WRITE-IN),0,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,PRESIDENTIAL,CHERUNDA LYNN FOX (WRITE-IN),0,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,PRESIDENTIAL,BRIAN KIENITZ (WRITE-IN),0,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,PRESIDENTIAL,DOUG JENKINS / KIMBERLY LALONDE (WRITE-IN,0,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,PRESIDENTIAL,FUTURE MADAM POTUS / JESSICA KENNEDY (,0,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,PRESIDENTIAL,"ANDRE RAMONE MCNEIL, SR. (WRITE-IN)",0,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,PRESIDENTIAL,SCATTERING,6,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,U.S. SENATOR,TAMMY BALDWIN,899,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,U.S. SENATOR,ERIC HOVDE,1394,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,U.S. SENATOR,PHIL ANDERSON,29,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,U.S. SENATOR,THOMAS LEAGER,12,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,U.S. SENATOR,JOHN SCHIESS (WRITE-IN),0,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,U.S. SENATOR,SCATTERING,0,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,CONGRESSIONAL_DISTRICT 7,KYLE KILBOURN,822,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,CONGRESSIONAL_DISTRICT 7,TOM TIFFANY,1475,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,CONGRESSIONAL_DISTRICT 7,SCATTERING,0,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,STATE SENATOR DIST. 12_DISTRICT 7,ANDI RICH,800,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,STATE SENATOR DIST. 12_DISTRICT 7,MARY FELZKOWSKI,1477,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,STATE SENATOR DIST. 12_DISTRICT 7,SCATTERING,0,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,STATE ASSEMBLY DIST. 34_DISTRICT 7,"DENNIS NITZEL, SR.",785,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,STATE ASSEMBLY DIST. 34_DISTRICT 7,ROB SWEARINGEN,1513,VILAS,ARBOR VITAE,T
ARBOR VITAE - WARDS 1 - 7,STATE ASSEMBLY DIST. 34_DISTRICT 7,SCATTERING,1,VILAS,ARBOR VITAE,T
