reporting_unit,contest,candidate,votes,county,ctv,municipality
"TOWN OF DARIEN, WARDS 1-3","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",JOHN H. HENDERSON (DEM),232,WALWORTH,T,DARIEN
"TOWN OF DARIEN, WARDS 1-3","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",TYLER AUGUST (REP),655,WALWORTH,T,DARIEN
"TOWN OF DELAVAN, WARDS 1-9","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",JOHN H. HENDERSON (DEM),1099,WALWORTH,T,DELAVAN
"TOWN OF DELAVAN, WARDS 1-9","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",TYLER AUGUST (REP),2040,WALWORTH,T,DELAVAN
"TOWN OF GENEVA, WARDS 1-7, 9-10","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",JOHN H. HENDERSON (DEM),1064,WALWORTH,T,GENEVA
"TOWN OF GENEVA, WARDS 1-7, 9-10","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",TYLER AUGUST (REP),1914,WALWORTH,T,GENEVA
"TOWN OF LAFAYETTE, WARDS 1-3","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",JOHN H. HENDERSON (DEM),454,WALWORTH,T,LAFAYETTE
"TOWN OF LAFAYETTE, WARDS 1-3","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",TYLER AUGUST (REP),974,WALWORTH,T,LAFAYETTE
"TOWN OF LAGRANGE, WARDS 1- 3","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",JOHN H. HENDERSON (DEM),545,WALWORTH,T,LAGRANGE
"TOWN OF LAGRANGE, WARDS 1- 3","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",TYLER AUGUST (REP),1091,WALWORTH,T,LAGRANGE
"TOWN OF LINN, WARDS 1,2,4","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",JOHN H. HENDERSON (DEM),280,WALWORTH,T,LINN
"TOWN OF LINN, WARDS 1,2,4","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",TYLER AUGUST (REP),626,WALWORTH,T,LINN
"TOWN OF LINN, WARD 5","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",JOHN H. HENDERSON (DEM),109,WALWORTH,T,LINN
"TOWN OF LINN, WARD 5","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",TYLER AUGUST (REP),198,WALWORTH,T,LINN
"TOWN OF SHARON, WARD 1","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",JOHN H. HENDERSON (DEM),143,WALWORTH,T,SHARON
"TOWN OF SHARON, WARD 1","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",TYLER AUGUST (REP),423,WALWORTH,T,SHARON
"TOWN OF SUGAR CREEK, WARDS 1-7","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",JOHN H. HENDERSON (DEM),845,WALWORTH,T,SUGAR CREEK
"TOWN OF SUGAR CREEK, WARDS 1-7","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",TYLER AUGUST (REP),1660,WALWORTH,T,SUGAR CREEK
"TOWN OF WALWORTH, WARDS 1- 4","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",JOHN H. HENDERSON (DEM),274,WALWORTH,T,WALWORTH
"TOWN OF WALWORTH, WARDS 1- 4","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",TYLER AUGUST (REP),733,WALWORTH,T,WALWORTH
"VILLAGE OF DARIEN, WARDS 1-2","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",JOHN H. HENDERSON (DEM),249,WALWORTH,V,DARIEN
"VILLAGE OF DARIEN, WARDS 1-2","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",TYLER AUGUST (REP),488,WALWORTH,V,DARIEN
"VILLAGE OF FONTANA-ON- GENEVA LAKE, WARDS 1-3","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",JOHN H. HENDERSON (DEM),482,WALWORTH,V,FONTANA-ON- GENEVA LAKE
"VILLAGE OF FONTANA-ON- GENEVA LAKE, WARDS 1-3","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",TYLER AUGUST (REP),802,WALWORTH,V,FONTANA-ON- GENEVA LAKE
"VILLAGE OF SHARON, WARDS 1,2","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",JOHN H. HENDERSON (DEM),271,WALWORTH,V,SHARON
"VILLAGE OF SHARON, WARDS 1,2","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",TYLER AUGUST (REP),481,WALWORTH,V,SHARON
"VILLAGE OF WALWORTH, WARDS 1-3","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",JOHN H. HENDERSON (DEM),593,WALWORTH,V,WALWORTH
"VILLAGE OF WALWORTH, WARDS 1-3","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",TYLER AUGUST (REP),858,WALWORTH,V,WALWORTH
"VILLAGE OF WILLIAMS BAY, WARDS 1-4","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",JOHN H. HENDERSON (DEM),818,WALWORTH,V,WILLIAMS BAY
"VILLAGE OF WILLIAMS BAY, WARDS 1-4","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",TYLER AUGUST (REP),1161,WALWORTH,V,WILLIAMS BAY
"CITY OF DELAVAN, WARDS 1-10","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",JOHN H. HENDERSON (DEM),1723,WALWORTH,C,DELAVAN
"CITY OF DELAVAN, WARDS 1-10","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",TYLER AUGUST (REP),2078,WALWORTH,C,DELAVAN
"CITY OF ELKHORN, WARDS 1-8","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",JOHN H. HENDERSON (DEM),2026,WALWORTH,C,ELKHORN
"CITY OF ELKHORN, WARDS 1-8","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",TYLER AUGUST (REP),3090,WALWORTH,C,ELKHORN
"TOWN OF DARIEN, WARDS 1-3","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",UNRESOLVED WRITE-IN,6,WALWORTH,T,DARIEN
"TOWN OF DELAVAN, WARDS 1-9","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",UNRESOLVED WRITE-IN,4,WALWORTH,T,DELAVAN
"TOWN OF GENEVA, WARDS 1-7, 9-10","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",UNRESOLVED WRITE-IN,5,WALWORTH,T,GENEVA
"TOWN OF LAFAYETTE, WARDS 1-3","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",UNRESOLVED WRITE-IN,3,WALWORTH,T,LAFAYETTE
"TOWN OF LAGRANGE, WARDS 1- 3","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",UNRESOLVED WRITE-IN,1,WALWORTH,T,LAGRANGE
"TOWN OF LINN, WARDS 1,2,4","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",UNRESOLVED WRITE-IN,3,WALWORTH,T,LINN
"TOWN OF LINN, WARD 5","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",UNRESOLVED WRITE-IN,1,WALWORTH,T,LINN
"TOWN OF SHARON, WARD 1","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",UNRESOLVED WRITE-IN,4,WALWORTH,T,SHARON
"TOWN OF SUGAR CREEK, WARDS 1-7","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",UNRESOLVED WRITE-IN,6,WALWORTH,T,SUGAR CREEK
"TOWN OF WALWORTH, WARDS 1- 4","ASSEMBLY, DISTRICT 31 (VOTE FOR 1)",UNRESOLVED WRITE-IN,2,WALWORTH,T,WALWORTH
