reporting_unit,contest,candidate,votes,county,ctv,municipality
"TOWN BROOKFIELD W1, 2, 9-11",PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,812,WAUKESHA,T,BROOKFIELD
"TOWN BROOKFIELD W1, 2, 9-11",PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,961,WAUKESHA,T,BROOKFIELD
"TOWN BROOKFIELD W1, 2, 9-11",PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,3,WAUKESHA,T,BROOKFIELD
"TOWN BROOKFIELD W1, 2, 9-11",PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,6,WAUKESHA,T,BROOKFIELD
"TOWN BROOKFIELD W1, 2, 9-11",PRESIDENT / VICE PRESIDENT,WGN JILL STEIN / RUDOLPH WARE,30,WAUKESHA,T,BROOKFIELD
"TOWN BROOKFIELD W1, 2, 9-11",PRESIDENT / VICE PRESIDENT,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,WAUKESHA,T,BROOKFIELD
"TOWN BROOKFIELD W1, 2, 9-11",PRESIDENT / VICE PRESIDENT,IND CORNEL WEST / MELINA ABDULLAH,0,WAUKESHA,T,BROOKFIELD
"TOWN BROOKFIELD W1, 2, 9-11",PRESIDENT / VICE PRESIDENT,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",9,WAUKESHA,T,BROOKFIELD
"TOWN BROOKFIELD W1, 2, 9-11",PRESIDENT / VICE PRESIDENT,WRITE-IN:,3,WAUKESHA,T,BROOKFIELD
TOWN BROOKFIELD W3-8,PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,"1,143",WAUKESHA,T,BROOKFIELD
TOWN BROOKFIELD W3-8,PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,"1,513",WAUKESHA,T,BROOKFIELD
TOWN BROOKFIELD W3-8,PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,1,WAUKESHA,T,BROOKFIELD
TOWN BROOKFIELD W3-8,PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,9,WAUKESHA,T,BROOKFIELD
TOWN BROOKFIELD W3-8,PRESIDENT / VICE PRESIDENT,WGN JILL STEIN / RUDOLPH WARE,15,WAUKESHA,T,BROOKFIELD
TOWN BROOKFIELD W3-8,PRESIDENT / VICE PRESIDENT,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,WAUKESHA,T,BROOKFIELD
TOWN BROOKFIELD W3-8,PRESIDENT / VICE PRESIDENT,IND CORNEL WEST / MELINA ABDULLAH,0,WAUKESHA,T,BROOKFIELD
TOWN BROOKFIELD W3-8,PRESIDENT / VICE PRESIDENT,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",13,WAUKESHA,T,BROOKFIELD
TOWN BROOKFIELD W3-8,PRESIDENT / VICE PRESIDENT,WRITE-IN:,10,WAUKESHA,T,BROOKFIELD
"TOWN DELAFIELD W1, 2, 5, 6",PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,699,WAUKESHA,T,DELAFIELD
"TOWN DELAFIELD W1, 2, 5, 6",PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,"1,392",WAUKESHA,T,DELAFIELD
"TOWN DELAFIELD W1, 2, 5, 6",PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,3,WAUKESHA,T,DELAFIELD
"TOWN DELAFIELD W1, 2, 5, 6",PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,8,WAUKESHA,T,DELAFIELD
"TOWN DELAFIELD W1, 2, 5, 6",PRESIDENT / VICE PRESIDENT,WGN JILL STEIN / RUDOLPH WARE,2,WAUKESHA,T,DELAFIELD
"TOWN DELAFIELD W1, 2, 5, 6",PRESIDENT / VICE PRESIDENT,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,1,WAUKESHA,T,DELAFIELD
"TOWN DELAFIELD W1, 2, 5, 6",PRESIDENT / VICE PRESIDENT,IND CORNEL WEST / MELINA ABDULLAH,0,WAUKESHA,T,DELAFIELD
"TOWN DELAFIELD W1, 2, 5, 6",PRESIDENT / VICE PRESIDENT,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",6,WAUKESHA,T,DELAFIELD
"TOWN DELAFIELD W1, 2, 5, 6",PRESIDENT / VICE PRESIDENT,WRITE-IN:,12,WAUKESHA,T,DELAFIELD
"TOWN DELAFIELD W3, 4",PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,512,WAUKESHA,T,DELAFIELD
"TOWN DELAFIELD W3, 4",PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,938,WAUKESHA,T,DELAFIELD
"TOWN DELAFIELD W3, 4",PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,2,WAUKESHA,T,DELAFIELD
"TOWN DELAFIELD W3, 4",PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,4,WAUKESHA,T,DELAFIELD
"TOWN DELAFIELD W3, 4",PRESIDENT / VICE PRESIDENT,WGN JILL STEIN / RUDOLPH WARE,4,WAUKESHA,T,DELAFIELD
"TOWN DELAFIELD W3, 4",PRESIDENT / VICE PRESIDENT,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,WAUKESHA,T,DELAFIELD
"TOWN DELAFIELD W3, 4",PRESIDENT / VICE PRESIDENT,IND CORNEL WEST / MELINA ABDULLAH,1,WAUKESHA,T,DELAFIELD
"TOWN DELAFIELD W3, 4",PRESIDENT / VICE PRESIDENT,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",8,WAUKESHA,T,DELAFIELD
"TOWN DELAFIELD W3, 4",PRESIDENT / VICE PRESIDENT,WRITE-IN:,7,WAUKESHA,T,DELAFIELD
TOWN DELAFIELD W7-11,PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,912,WAUKESHA,T,DELAFIELD
TOWN DELAFIELD W7-11,PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,"1,523",WAUKESHA,T,DELAFIELD
TOWN DELAFIELD W7-11,PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,3,WAUKESHA,T,DELAFIELD
TOWN DELAFIELD W7-11,PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,10,WAUKESHA,T,DELAFIELD
TOWN DELAFIELD W7-11,PRESIDENT / VICE PRESIDENT,WGN JILL STEIN / RUDOLPH WARE,6,WAUKESHA,T,DELAFIELD
TOWN DELAFIELD W7-11,PRESIDENT / VICE PRESIDENT,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,WAUKESHA,T,DELAFIELD
TOWN DELAFIELD W7-11,PRESIDENT / VICE PRESIDENT,IND CORNEL WEST / MELINA ABDULLAH,0,WAUKESHA,T,DELAFIELD
TOWN DELAFIELD W7-11,PRESIDENT / VICE PRESIDENT,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",13,WAUKESHA,T,DELAFIELD
TOWN DELAFIELD W7-11,PRESIDENT / VICE PRESIDENT,WRITE-IN:,12,WAUKESHA,T,DELAFIELD
TOWN EAGLE W1 - 4,PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,0,WAUKESHA,T,EAGLE
TOWN EAGLE W1 - 4,PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,0,WAUKESHA,T,EAGLE
TOWN EAGLE W1 - 4,PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,0,WAUKESHA,T,EAGLE
TOWN EAGLE W1 - 4,PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,0,WAUKESHA,T,EAGLE
TOWN EAGLE W1 - 4,PRESIDENT / VICE PRESIDENT,WGN JILL STEIN / RUDOLPH WARE,0,WAUKESHA,T,EAGLE
TOWN EAGLE W1 - 4,PRESIDENT / VICE PRESIDENT,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,WAUKESHA,T,EAGLE
TOWN EAGLE W1 - 4,PRESIDENT / VICE PRESIDENT,IND CORNEL WEST / MELINA ABDULLAH,0,WAUKESHA,T,EAGLE
TOWN EAGLE W1 - 4,PRESIDENT / VICE PRESIDENT,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",0,WAUKESHA,T,EAGLE
TOWN EAGLE W1 - 4,PRESIDENT / VICE PRESIDENT,WRITE-IN:,0,WAUKESHA,T,EAGLE
"TOWN GENESEE W1, 2, 9",PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,511,WAUKESHA,T,GENESEE
"TOWN GENESEE W1, 2, 9",PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,"1,131",WAUKESHA,T,GENESEE
"TOWN GENESEE W1, 2, 9",PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,2,WAUKESHA,T,GENESEE
"TOWN GENESEE W1, 2, 9",PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,5,WAUKESHA,T,GENESEE
"TOWN GENESEE W1, 2, 9",PRESIDENT / VICE PRESIDENT,WGN JILL STEIN / RUDOLPH WARE,2,WAUKESHA,T,GENESEE
"TOWN GENESEE W1, 2, 9",PRESIDENT / VICE PRESIDENT,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,WAUKESHA,T,GENESEE
"TOWN GENESEE W1, 2, 9",PRESIDENT / VICE PRESIDENT,IND CORNEL WEST / MELINA ABDULLAH,0,WAUKESHA,T,GENESEE
"TOWN GENESEE W1, 2, 9",PRESIDENT / VICE PRESIDENT,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",4,WAUKESHA,T,GENESEE
"TOWN GENESEE W1, 2, 9",PRESIDENT / VICE PRESIDENT,WRITE-IN:,4,WAUKESHA,T,GENESEE
"TOWN GENESEE W3, 6-8",PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,565,WAUKESHA,T,GENESEE
"TOWN GENESEE W3, 6-8",PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,"1,331",WAUKESHA,T,GENESEE
"TOWN GENESEE W3, 6-8",PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,3,WAUKESHA,T,GENESEE
"TOWN GENESEE W3, 6-8",PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,6,WAUKESHA,T,GENESEE
"TOWN GENESEE W3, 6-8",PRESIDENT / VICE PRESIDENT,WGN JILL STEIN / RUDOLPH WARE,8,WAUKESHA,T,GENESEE
"TOWN GENESEE W3, 6-8",PRESIDENT / VICE PRESIDENT,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,2,WAUKESHA,T,GENESEE
"TOWN GENESEE W3, 6-8",PRESIDENT / VICE PRESIDENT,IND CORNEL WEST / MELINA ABDULLAH,1,WAUKESHA,T,GENESEE
"TOWN GENESEE W3, 6-8",PRESIDENT / VICE PRESIDENT,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",12,WAUKESHA,T,GENESEE
"TOWN GENESEE W3, 6-8",PRESIDENT / VICE PRESIDENT,WRITE-IN:,4,WAUKESHA,T,GENESEE
"TOWN GENESEE W4, 5, 10",PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,565,WAUKESHA,T,GENESEE
"TOWN GENESEE W4, 5, 10",PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,"1,095",WAUKESHA,T,GENESEE
"TOWN GENESEE W4, 5, 10",PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,2,WAUKESHA,T,GENESEE
"TOWN GENESEE W4, 5, 10",PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,6,WAUKESHA,T,GENESEE
"TOWN GENESEE W4, 5, 10",PRESIDENT / VICE PRESIDENT,WGN JILL STEIN / RUDOLPH WARE,4,WAUKESHA,T,GENESEE
"TOWN GENESEE W4, 5, 10",PRESIDENT / VICE PRESIDENT,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,WAUKESHA,T,GENESEE
"TOWN GENESEE W4, 5, 10",PRESIDENT / VICE PRESIDENT,IND CORNEL WEST / MELINA ABDULLAH,0,WAUKESHA,T,GENESEE
"TOWN GENESEE W4, 5, 10",PRESIDENT / VICE PRESIDENT,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",7,WAUKESHA,T,GENESEE
"TOWN GENESEE W4, 5, 10",PRESIDENT / VICE PRESIDENT,WRITE-IN:,5,WAUKESHA,T,GENESEE
"TOWN MERTON W1-3, 7-9, 11",PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,"1,192",WAUKESHA,T,MERTON
"TOWN MERTON W1-3, 7-9, 11",PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,"2,704",WAUKESHA,T,MERTON
"TOWN MERTON W1-3, 7-9, 11",PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,2,WAUKESHA,T,MERTON
"TOWN MERTON W1-3, 7-9, 11",PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,17,WAUKESHA,T,MERTON
"TOWN MERTON W1-3, 7-9, 11",PRESIDENT / VICE PRESIDENT,WGN JILL STEIN / RUDOLPH WARE,8,WAUKESHA,T,MERTON
"TOWN MERTON W1-3, 7-9, 11",PRESIDENT / VICE PRESIDENT,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,1,WAUKESHA,T,MERTON
"TOWN MERTON W1-3, 7-9, 11",PRESIDENT / VICE PRESIDENT,IND CORNEL WEST / MELINA ABDULLAH,0,WAUKESHA,T,MERTON
"TOWN MERTON W1-3, 7-9, 11",PRESIDENT / VICE PRESIDENT,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",14,WAUKESHA,T,MERTON
"TOWN MERTON W1-3, 7-9, 11",PRESIDENT / VICE PRESIDENT,WRITE-IN:,19,WAUKESHA,T,MERTON
"TOWN MERTON W4-6, 10, 12",PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,671,WAUKESHA,T,MERTON
