municipality,reporting_unit,contest,candidate,votes,county,ctv
BEAR CREEK,TOWN OF BEAR CREEK WARD 1,PRESIDENT,KAMALA D. HARRIS TIM WALZ,81,WAUPACA,T
BEAR CREEK,TOWN OF BEAR CREEK WARD 1,PRESIDENT,DONALD J. TRUMP JD VANCE,385,WAUPACA,T
BEAR CREEK,TOWN OF BEAR CREEK WARD 1,PRESIDENT,RANDALL TERRY STEPHEN BRODEN,2,WAUPACA,T
BEAR CREEK,TOWN OF BEAR CREEK WARD 1,PRESIDENT,CHASE RUSSELL OLIVER MIKE TER MAAT,1,WAUPACA,T
BEAR CREEK,TOWN OF BEAR CREEK WARD 1,PRESIDENT,JILL STEIN RUDOLPH WARE,0,WAUPACA,T
BEAR CREEK,TOWN OF BEAR CREEK WARD 1,PRESIDENT,CLAUDIA DE LA CRUZ KARINA GARCIA,0,WAUPACA,T
BEAR CREEK,TOWN OF BEAR CREEK WARD 1,PRESIDENT,CORNEL WEST MELINA ABDULLAH,0,WAUPACA,T
BEAR CREEK,TOWN OF BEAR CREEK WARD 1,PRESIDENT,"ROBERT F. KENNEDY, JR. NICOLE SHANAHAN",0,WAUPACA,T
BEAR CREEK,TOWN OF BEAR CREEK WARD 1,PRESIDENT,PETER SONSKI LAUREN ONAK (WRITE-IN),0,WAUPACA,T
BEAR CREEK,TOWN OF BEAR CREEK WARD 1,PRESIDENT,CHERUNDA LYNN FOX (WRITE-IN),0,WAUPACA,T
BEAR CREEK,TOWN OF BEAR CREEK WARD 1,PRESIDENT,BRIAN KIENITZ (WRITE-IN),0,WAUPACA,T
BEAR CREEK,TOWN OF BEAR CREEK WARD 1,PRESIDENT,DOUG JENKINS KIMBERLY LALONDE (WRITE-IN),0,WAUPACA,T
BEAR CREEK,TOWN OF BEAR CREEK WARD 1,PRESIDENT,FUTURE MADAM POTUS JESSICA KENNEDY (WRITE-IN),0,WAUPACA,T
BEAR CREEK,TOWN OF BEAR CREEK WARD 1,PRESIDENT,"ANDRÉ RAMONE MCNEIL, SR. (WRITE-IN)",0,WAUPACA,T
BEAR CREEK,TOWN OF BEAR CREEK WARD 1,PRESIDENT,SCATTERING,0,WAUPACA,T
CALEDONIA,TOWN OF CALEDONIA WARDS 1-2,PRESIDENT,KAMALA D. HARRIS TIM WALZ,361,WAUPACA,T
CALEDONIA,TOWN OF CALEDONIA WARDS 1-2,PRESIDENT,DONALD J. TRUMP JD VANCE,798,WAUPACA,T
CALEDONIA,TOWN OF CALEDONIA WARDS 1-2,PRESIDENT,RANDALL TERRY STEPHEN BRODEN,3,WAUPACA,T
