reporting_unit,contest,votes,candidate,county,ctv,municipality
T BLOOMFIELD,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,153,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,WAUSHARA,T,BLOOMFIELD
T BLOOMFIELD,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,515,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,WAUSHARA,T,BLOOMFIELD
T BLOOMFIELD,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,2,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,WAUSHARA,T,BLOOMFIELD
T BLOOMFIELD,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,1,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,WAUSHARA,T,BLOOMFIELD
T BLOOMFIELD,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,5,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,WAUSHARA,T,BLOOMFIELD
T BLOOMFIELD,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,WAUSHARA,T,BLOOMFIELD
T BLOOMFIELD,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,0,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,WAUSHARA,T,BLOOMFIELD
T BLOOMFIELD,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",2,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",WAUSHARA,T,BLOOMFIELD
T BLOOMFIELD,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,WAUSHARA,T,BLOOMFIELD
T BLOOMFIELD,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,WAUSHARA,T,BLOOMFIELD
T BLOOMFIELD,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,WAUSHARA,T,BLOOMFIELD
