reporting_unit,contest,candidate,votes,county,ctv,municipality
T AURORA,PRESIDENT/ VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,181,WAUSHARA,T,AURORA
T AURORA,PRESIDENT/ VICE PRESIDENT,DONALD J. TRUMP/ JD VANCE REPUBLICAN,462,WAUSHARA,T,AURORA
T AURORA,PRESIDENT/ VICE PRESIDENT,RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,0,WAUSHARA,T,AURORA
T AURORA,PRESIDENT/ VICE PRESIDENT,CHASE RUSSELL OLIVER /,0,WAUSHARA,T,AURORA
T AURORA,PRESIDENT/ VICE PRESIDENT,JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,2,WAUSHARA,T,AURORA
T AURORA,PRESIDENT/ VICE PRESIDENT,CLAUDIA DE LA CRUZ /,1,WAUSHARA,T,AURORA
T AURORA,PRESIDENT/ VICE PRESIDENT,CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,0,WAUSHARA,T,AURORA
T AURORA,PRESIDENT/ VICE PRESIDENT,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",3,WAUSHARA,T,AURORA
T AURORA,PRESIDENT/ VICE PRESIDENT,REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,0,WAUSHARA,T,AURORA
T AURORA,PRESIDENT/ VICE PRESIDENT,REGISTERED WRITE-IN CHERUNDA LYNN FOX,0,WAUSHARA,T,AURORA
T AURORA,PRESIDENT/ VICE PRESIDENT,REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,0,WAUSHARA,T,AURORA
T AURORA,PRESIDENT/ VICE PRESIDENT,REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,0,WAUSHARA,T,AURORA
T AURORA,PRESIDENT/ VICE PRESIDENT,REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,0,WAUSHARA,T,AURORA
T AURORA,PRESIDENT/ VICE PRESIDENT,"REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR.",0,WAUSHARA,T,AURORA
T BLOOMFIELD,PRESIDENT/ VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,153,WAUSHARA,T,BLOOMFIELD
T BLOOMFIELD,PRESIDENT/ VICE PRESIDENT,DONALD J. TRUMP/ JD VANCE REPUBLICAN,515,WAUSHARA,T,BLOOMFIELD
T BLOOMFIELD,PRESIDENT/ VICE PRESIDENT,RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,2,WAUSHARA,T,BLOOMFIELD
T BLOOMFIELD,PRESIDENT/ VICE PRESIDENT,CHASE RUSSELL OLIVER /,1,WAUSHARA,T,BLOOMFIELD
T BLOOMFIELD,PRESIDENT/ VICE PRESIDENT,JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,5,WAUSHARA,T,BLOOMFIELD
T BLOOMFIELD,PRESIDENT/ VICE PRESIDENT,CLAUDIA DE LA CRUZ /,0,WAUSHARA,T,BLOOMFIELD
