reporting_unit,contest,candidate,votes,county,ctv,municipality
"TOWN OF NEPEUSKUN, WARD 1","ASSEMBLY, DISTRICT 39",CHRIS GORDON (DEM),0,WINNEBAGO,T,NEPEUSKUN
"TOWN OF NEPEUSKUN, WARD 1","ASSEMBLY, DISTRICT 39",ALEX DALLMAN (REP),0,WINNEBAGO,T,NEPEUSKUN
"TOWN OF NEENAH, WARDS 1 - 5","ASSEMBLY, DISTRICT 53",DUANE J SHUKOSKI (DEM),0,WINNEBAGO,T,NEENAH
"TOWN OF NEENAH, WARDS 1 - 5","ASSEMBLY, DISTRICT 53",DEAN R KAUFERT (REP),0,WINNEBAGO,T,NEENAH
"VILLAGE OF FOX CROSSING, WARDS 10 - 12 & 18 - 19","ASSEMBLY, DISTRICT 53",DUANE J SHUKOSKI (DEM),0,WINNEBAGO,V,FOX CROSSING
"VILLAGE OF FOX CROSSING, WARDS 10 - 12 & 18 - 19","ASSEMBLY, DISTRICT 53",DEAN R KAUFERT (REP),0,WINNEBAGO,V,FOX CROSSING
"VILLAGE OF FOX CROSSING, WARDS 13 - 16","ASSEMBLY, DISTRICT 53",DUANE J SHUKOSKI (DEM),0,WINNEBAGO,V,FOX CROSSING
"VILLAGE OF FOX CROSSING, WARDS 13 - 16","ASSEMBLY, DISTRICT 53",DEAN R KAUFERT (REP),0,WINNEBAGO,V,FOX CROSSING
"CITY OF APPLETON, WARD 33","ASSEMBLY, DISTRICT 53",DUANE J SHUKOSKI (DEM),0,WINNEBAGO,C,APPLETON
"CITY OF APPLETON, WARD 33","ASSEMBLY, DISTRICT 53",DEAN R KAUFERT (REP),0,WINNEBAGO,C,APPLETON
"CITY OF APPLETON, WARD 34","ASSEMBLY, DISTRICT 53",DUANE J SHUKOSKI (DEM),0,WINNEBAGO,C,APPLETON
"CITY OF APPLETON, WARD 34","ASSEMBLY, DISTRICT 53",DEAN R KAUFERT (REP),0,WINNEBAGO,C,APPLETON
"CITY OF MENASHA, DISTRICT 1 & 2, WARDS 1 - 4","ASSEMBLY, DISTRICT 53",DUANE J SHUKOSKI (DEM),0,WINNEBAGO,C,MENASHA
"CITY OF MENASHA, DISTRICT 1 & 2, WARDS 1 - 4","ASSEMBLY, DISTRICT 53",DEAN R KAUFERT (REP),0,WINNEBAGO,C,MENASHA
"CITY OF MENASHA, DISTRICT 3 & 4, WARDS 5 - 8","ASSEMBLY, DISTRICT 53",DUANE J SHUKOSKI (DEM),0,WINNEBAGO,C,MENASHA
"CITY OF MENASHA, DISTRICT 3 & 4, WARDS 5 - 8","ASSEMBLY, DISTRICT 53",DEAN R KAUFERT (REP),0,WINNEBAGO,C,MENASHA
