reporting_unit,contest,candidate,votes,county,ctv,municipality
"TOWN OF NEPEUSKUN, WARD 1","ASSEMBLY, DISTRICT 39 (VOTE FOR 1)",CHRIS GORDON (DEM),127,WINNEBAGO,T,NEPEUSKUN
"TOWN OF NEPEUSKUN, WARD 1","ASSEMBLY, DISTRICT 39 (VOTE FOR 1)",ALEX DALLMAN (REP),341,WINNEBAGO,T,NEPEUSKUN
"TOWN OF NEENAH, WARDS 1 - 5","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DUANE J SHUKOSKI (DEM),990,WINNEBAGO,T,NEENAH
"TOWN OF NEENAH, WARDS 1 - 5","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DEAN R KAUFERT (REP),1419,WINNEBAGO,T,NEENAH
"VILLAGE OF FOX CROSSING, WARDS 10 - 12 & 18 - 19","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DUANE J SHUKOSKI (DEM),745,WINNEBAGO,V,FOX CROSSING
"VILLAGE OF FOX CROSSING, WARDS 10 - 12 & 18 - 19","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DEAN R KAUFERT (REP),837,WINNEBAGO,V,FOX CROSSING
"VILLAGE OF FOX CROSSING, WARDS 13 - 16","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DUANE J SHUKOSKI (DEM),1101,WINNEBAGO,V,FOX CROSSING
"VILLAGE OF FOX CROSSING, WARDS 13 - 16","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DEAN R KAUFERT (REP),1125,WINNEBAGO,V,FOX CROSSING
"CITY OF APPLETON, WARD 33","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DUANE J SHUKOSKI (DEM),181,WINNEBAGO,C,APPLETON
"CITY OF APPLETON, WARD 33","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DEAN R KAUFERT (REP),133,WINNEBAGO,C,APPLETON
"CITY OF APPLETON, WARD 34","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DUANE J SHUKOSKI (DEM),51,WINNEBAGO,C,APPLETON
"CITY OF APPLETON, WARD 34","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DEAN R KAUFERT (REP),36,WINNEBAGO,C,APPLETON
"CITY OF MENASHA, DISTRICT 1 & 2, WARDS 1 - 4","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DUANE J SHUKOSKI (DEM),1098,WINNEBAGO,C,MENASHA
"CITY OF MENASHA, DISTRICT 1 & 2, WARDS 1 - 4","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DEAN R KAUFERT (REP),1105,WINNEBAGO,C,MENASHA
"CITY OF MENASHA, DISTRICT 3 & 4, WARDS 5 - 8","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DUANE J SHUKOSKI (DEM),1175,WINNEBAGO,C,MENASHA
"CITY OF MENASHA, DISTRICT 3 & 4, WARDS 5 - 8","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DEAN R KAUFERT (REP),1142,WINNEBAGO,C,MENASHA
"CITY OF MENASHA, DISTRICT 5 & 7, WARDS 9 - 12 & 17 - 19","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DUANE J SHUKOSKI (DEM),1130,WINNEBAGO,C,MENASHA
"CITY OF MENASHA, DISTRICT 5 & 7, WARDS 9 - 12 & 17 - 19","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DEAN R KAUFERT (REP),1012,WINNEBAGO,C,MENASHA
"CITY OF MENASHA, DISTRICT 6, WARD 13","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DUANE J SHUKOSKI (DEM),287,WINNEBAGO,C,MENASHA
"CITY OF MENASHA, DISTRICT 6, WARD 13","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DEAN R KAUFERT (REP),303,WINNEBAGO,C,MENASHA
"CITY OF NEENAH, DISTRICT 1, WARDS 1 - 4","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DUANE J SHUKOSKI (DEM),1378,WINNEBAGO,C,NEENAH
"CITY OF NEENAH, DISTRICT 1, WARDS 1 - 4","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DEAN R KAUFERT (REP),1164,WINNEBAGO,C,NEENAH
"CITY OF NEENAH, DISTRICT 1, WARDS 5 - 8","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DUANE J SHUKOSKI (DEM),1282,WINNEBAGO,C,NEENAH
"CITY OF NEENAH, DISTRICT 1, WARDS 5 - 8","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DEAN R KAUFERT (REP),1357,WINNEBAGO,C,NEENAH
"CITY OF NEENAH, DISTRICT 2, WARDS 9 - 12 & 27","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DUANE J SHUKOSKI (DEM),1419,WINNEBAGO,C,NEENAH
"CITY OF NEENAH, DISTRICT 2, WARDS 9 - 12 & 27","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DEAN R KAUFERT (REP),1520,WINNEBAGO,C,NEENAH
"CITY OF NEENAH, DISTRICT 2, WARDS 13 - 15, 22 & 26","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DUANE J SHUKOSKI (DEM),922,WINNEBAGO,C,NEENAH
"CITY OF NEENAH, DISTRICT 2, WARDS 13 - 15, 22 & 26","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DEAN R KAUFERT (REP),948,WINNEBAGO,C,NEENAH
"CITY OF NEENAH, DIST 2, WARD 16 AND DIST 3, WARDS 17-19& 24","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DUANE J SHUKOSKI (DEM),1702,WINNEBAGO,C,NEENAH
"CITY OF NEENAH, DIST 2, WARD 16 AND DIST 3, WARDS 17-19& 24","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DEAN R KAUFERT (REP),1797,WINNEBAGO,C,NEENAH
"CITY OF NEENAH, DISTRICT 3, WARDS 20 - 21","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DUANE J SHUKOSKI (DEM),841,WINNEBAGO,C,NEENAH
"CITY OF NEENAH, DISTRICT 3, WARDS 20 - 21","ASSEMBLY, DISTRICT 53 (VOTE FOR 1)",DEAN R KAUFERT (REP),987,WINNEBAGO,C,NEENAH
"TOWN OF OSHKOSH, WARDS 1 - 4","ASSEMBLY, DISTRICT 54 (VOTE FOR 1)",LORI PALMERI (DEM),628,WINNEBAGO,T,OSHKOSH
"TOWN OF OSHKOSH, WARDS 1 - 4","ASSEMBLY, DISTRICT 54 (VOTE FOR 1)",TIM PATERSON (REP),1053,WINNEBAGO,T,OSHKOSH
"TOWN OF VINLAND, WARD 2","ASSEMBLY, DISTRICT 54 (VOTE FOR 1)",LORI PALMERI (DEM),213,WINNEBAGO,T,VINLAND
"TOWN OF VINLAND, WARD 2","ASSEMBLY, DISTRICT 54 (VOTE FOR 1)",TIM PATERSON (REP),440,WINNEBAGO,T,VINLAND
"CITY OF NEENAH, DISTRICT 3, WARDS 23 & 25","ASSEMBLY, DISTRICT 54 (VOTE FOR 1)",LORI PALMERI (DEM),45,WINNEBAGO,C,NEENAH
