rep_unit_2024,tract_GEOID,l2_count,prop_of_rep_unit_2024
ADAMS - CITY OF ADAMS WARDS 1-5,55001950400,792,1
"ADAMS - CITY OF WISCONSIN DELLS WARDS 5,9",55001950700,92,1
ADAMS - TOWN OF ADAMS WARDS 1-3,55001950201,30,0.038510911424903725
ADAMS - TOWN OF ADAMS WARDS 1-3,55001950400,734,0.9422336328626444
ADAMS - TOWN OF ADAMS WARDS 1-3,55001950501,9,0.011553273427471117
ADAMS - TOWN OF ADAMS WARDS 1-3,55001950502,6,0.007702182284980745
ADAMS - TOWN OF BIG FLATS WARDS 1-2,55001950203,321,0.5496575342465754
ADAMS - TOWN OF BIG FLATS WARDS 1-2,55001950204,263,0.4503424657534247
ADAMS - TOWN OF COLBURN WARD 1,55001950203,96,0.6357615894039735
ADAMS - TOWN OF COLBURN WARD 1,55001950204,55,0.36423841059602646
ADAMS - TOWN OF DELL PRAIRIE WARDS 1-3,55001950700,949,1
ADAMS - TOWN OF EASTON WARD 1,55001950501,164,0.281786941580756
ADAMS - TOWN OF EASTON WARD 1,55001950502,418,0.718213058419244
ADAMS - TOWN OF JACKSON WARDS 1-2,55001950700,723,1
ADAMS - TOWN OF LEOLA WARD 1,55001950100,158,0.9753086419753086
ADAMS - TOWN OF LEOLA WARD 1,55001950203,4,0.024691358024691357
ADAMS - TOWN OF LINCOLN WARD 1,55001950400,214,1
ADAMS - TOWN OF MONROE WARD 1,55001950204,294,1
ADAMS - TOWN OF NEW CHESTER WARDS 1-3,55001950400,28,0.060215053763440864
ADAMS - TOWN OF NEW CHESTER WARDS 1-3,55001950502,326,0.7010752688172043
ADAMS - TOWN OF NEW CHESTER WARDS 1-3,55001950700,111,0.23870967741935484
ADAMS - TOWN OF NEW HAVEN WARD 1,55001950700,386,1
ADAMS - TOWN OF PRESTON WARDS 1-2,55001950201,327,0.410288582183187
ADAMS - TOWN OF PRESTON WARDS 1-2,55001950203,147,0.18444165621079048
ADAMS - TOWN OF PRESTON WARDS 1-2,55001950204,133,0.1668757841907152
ADAMS - TOWN OF PRESTON WARDS 1-2,55001950400,190,0.2383939774153074
